"address","suburb","land_area","price"
"11 Hiscox Place, Redcliffe","Redcliffe",233,355000
"11 Hitek Court, Merriwa","Merriwa",602,270000
"11 Holmfirth Street, Menora","Menora",1060,1000000
"11 Hovea Crescent, Walliston","Walliston",1039,520000
"11 Huntingdale Crescent, Connolly","Connolly",912,707500
"11 Intrepid Court, Two Rocks","Two Rocks",811,377500
"11 Inverness Court, Cooloongup","Cooloongup",544,275000
"11 Ironwood Avenue, Heathridge","Heathridge",705,500000
"11 Irrawaddy Place, Beechboro","Beechboro",738,375000
"11 Irwin Road, Embleton","Embleton",318,300000
"11 Itea Place, Mindarie","Mindarie",180,522000
"11 Jamaican Road, Safety Bay","Safety Bay",685,365000
"11 Jandabup Close, Sinagra","Sinagra",525,410000
"11 Janet Street, Hazelmere","Hazelmere",1335,440000
"11 Jarrah Place, Woodvale","Woodvale",1006,810000
"11 Jason Court, Thornlie","Thornlie",893,495000
"11 Jobson Loop, Brookdale","Brookdale",465,372500
"11 Joel Way, Wanneroo","Wanneroo",565,365000
"11 Johnson Avenue, Guildford","Guildford",1052,920000
"11 Jordan Street, Haynes","Haynes",420,215000
"11 Kadina Street, North Perth","North Perth",261,890000
"11 Karbar Pass, Ellenbrook","Ellenbrook",364,332000
"11 Karda Way, Bertram","Bertram",538,382000
"11 Karimba Street, Wanneroo","Wanneroo",690,341000
"11 Keanefield Drive, Carramar","Carramar",601,600000
"11 Keedes Court, Parmelia","Parmelia",956,268000
"11 Keeling Way, South Fremantle","South Fremantle",511,1550000
"11 Kellam Way, Medina","Medina",709,260000
"11 Keppell Street, Willagee","Willagee",544,683000
"11 Kesiya Turn, Aubin Grove","Aubin Grove",656,530000
"11 Kilkenny Road, Floreat","Floreat",809,2300000
"11 Kimber Place, Mount Helena","Mount Helena",1095,395000
"11 Kincraig Way, Duncraig","Duncraig",731,825000
"11 Kinghorn Place, Redcliffe","Redcliffe",455,381000
"11 Knutsford Crescent, Port Kennedy","Port Kennedy",575,300000
"11 Koojarra Rise, South Lake","South Lake",600,435000
"11 Koolgoo Way, Koongamia","Koongamia",528,310000
"11 Kooralbyn Valley Crescent, Jandakot","Jandakot",612,960000
"11 Kooringa Place, Currambine","Currambine",584,515000
"11 Kyarra Street, Innaloo","Innaloo",228,507500
"11 Kyeema Way, Ellenbrook","Ellenbrook",547,315000
"11 La Grange Loop, Currambine","Currambine",822,870000
"11 Ladywell Crescent, Butler","Butler",300,293000
"11 Lamond Close, Kinross","Kinross",532,395000
"11 Lanciano Way, Piara Waters","Piara Waters",357,430000
"11 Landon Way, Mount Claremont","Mount Claremont",768,1640000
"11 Langler Street, East Victoria Park","East Victoria Park",616,1150000
"11 Lantana Way, Camillo","Camillo",683,320000
"11 Latham Street, Alfred Cove","Alfred Cove",589,875000
"11 Laverick Street, Haynes","Haynes",458,185000
"11 Laverstock Street, South Guildford","South Guildford",508,665000
"11 Lefroy Road, Mount Nasura","Mount Nasura",857,415000
"11 Lendich Pass, Maddington","Maddington",289,350000
"11 Letchworth Centre Avenue, Salter Point","Salter Point",1006,1350000
"11 Liata Court, Thornlie","Thornlie",809,532500
"11 Lilian Avenue, Applecross","Applecross",961,2000000
"11 Lillian Court, Beldon","Beldon",758,470500
"11 Limone Street, Aveley","Aveley",375,420000
"11 Lincoln Mews, Orelia","Orelia",614,325000
"11 Lincoln Road, Morley","Morley",390,535000
"11 Littlemore Road, Orelia","Orelia",1021,348000
"11 Lomond Crescent, Wandi","Wandi",405,481000
"11 Loncar Rise, Gwelup","Gwelup",471,895000
"11 London Way, Bateman","Bateman",700,1200000
"11 Longson Street, Hamilton Hill","Hamilton Hill",693,571000
"11 Lowry Street, Shelley","Shelley",303,715000
"11 Lullworth Terrace, North Coogee","North Coogee",463,1100000
"11 Lund Court, Roleystone","Roleystone",2011,674000
"11 Madden Way, Parmelia","Parmelia",710,272000
"11 Madeira Place, Safety Bay","Safety Bay",681,397500
"11 Mader Road, Mundijong","Mundijong",992,375000
"11 Mainsail Crescent, Waikiki","Waikiki",736,430000
"11 Maitland Place, Thornlie","Thornlie",681,375000
"11 Makin Court, Byford","Byford",1000,517000
"11 Malbeling Close, Hillman","Hillman",894,270000
"11 Maley Street, Ashfield","Ashfield",329,479000
"11 Mallina Circuit, Carramar","Carramar",603,460000
"11 Manjiri Drive, Glen Forrest","Glen Forrest",1800,695000
"11 Manor Gardens, High Wycombe","High Wycombe",501,460000
"11 Mansfield Way, Piara Waters","Piara Waters",619,630000
"11 Marginata Close, Jane Brook","Jane Brook",591,495000
"11 Marion Way, Gooseberry Hill","Gooseberry Hill",1976,865000
"11 Marjorie Street, Mullaloo","Mullaloo",906,1200000
"11 Markethill Road, Ridgewood","Ridgewood",538,415000
"11 Marloo Road, Greenmount","Greenmount",1848,635000
"11 Marnie Road, Glen Forrest","Glen Forrest",1806,640000
"11 Marsh Avenue, Manning","Manning",431,780000
"11 Marsh Way, Bull Creek","Bull Creek",683,601000
"11 Martini Way, Tapping","Tapping",608,425000
"11 Marybrook Road, Heathridge","Heathridge",684,510000
"11 Matilda Street, Huntingdale","Huntingdale",683,330000
"11 Matthews Way, Stoneville","Stoneville",2000,520000
"11 Mayor Street, Harrisdale","Harrisdale",364,455000
"11 Mcdermott Road, Kwinana Town Centre","Kwinana Town Centre",200,156977
"11 McGellin Court, Jandakot","Jandakot",628,570000
"11 McGrath Place, Seville Grove","Seville Grove",612,253000
"11 McKimmie Street, Embleton","Embleton",769,665000
"11 Mcnabb Place, Lesmurdie","Lesmurdie",2395,1050000
"11 Mead Street, Warnbro","Warnbro",769,410000
"11 Meagher Way, Beechboro","Beechboro",442,332000
"11 Mears Way, Hilbert","Hilbert",255,329000
"11 Meath Mews, Mosman Park","Mosman Park",461,1000000
"11 Meelah Way, Koongamia","Koongamia",692,290000
"11 Meharry Road, Leeming","Leeming",774,638000
"11 Melksham Way, Butler","Butler",300,330000
"11 Melrose Crescent, Menora","Menora",945,1295000
"11 Melton Hill Lane, Champion Lakes","Champion Lakes",269,205000
"11 Merens Terrace, Henley Brook","Henley Brook",736,720000
"11 Merian Close, Bentley","Bentley",809,530000
"11 Midsummer Avenue, Jindalee","Jindalee",375,799000
"11 Milgun Drive, Yangebup","Yangebup",783,520000
"11 Milverton Loop, Leda","Leda",497,322000
"11 Mimica Street, Dayton","Dayton",203,381000
"11 Mingara Avenue, Harrisdale","Harrisdale",572,739000
"11 Minora Way, Jane Brook","Jane Brook",628,528000
"11 Mirror Lane, Ascot","Ascot",312,780000
"11 Mirto Rise, Sinagra","Sinagra",450,520000
"11 Monaco Place, Dianella","Dianella",833,811000
"11 Moncrieff Road, Langford","Langford",701,422500
"11 Mons Street, Ashfield","Ashfield",533,450000
"11 Moombaki Avenue, Bertram","Bertram",680,508000
"11 Moonah Way, Hammond Park","Hammond Park",549,600000
"11 Moonbooli Street, Forrestfield","Forrestfield",608,610000
"11 Moondyne Court, Seville Grove","Seville Grove",1000,439000
"11 Moore Court, Cooloongup","Cooloongup",727,220000
"11 Moorine Court, Hillman","Hillman",699,330000
"11 Moreing Street, Ascot","Ascot",1127,790000
"11 Morella Cross, Ellenbrook","Ellenbrook",413,300000
"11 Morey Crescent, Bayswater","Bayswater",412,780000
"11 Morris Street, Beaconsfield","Beaconsfield",330,515000
"11 Motto Pass, Aveley","Aveley",617,560000
"11 Moysey Court, Parmelia","Parmelia",758,327000
"11 Mudalla Way, Koongamia","Koongamia",690,280000
"11 Mullingar Close, Waterford","Waterford",462,680000
"11 Mustang Drive, Henley Brook","Henley Brook",629,490000
"11 Myaree Way, Duncraig","Duncraig",949,625000
"11 Myrtle Street, Walliston","Walliston",1912,500000
"11 Nabberu Loop, Cooloongup","Cooloongup",680,250750
"11 Nankeen Way, Gwelup","Gwelup",510,1160000
"11 Nardina Crescent, Dalkeith","Dalkeith",1015,1935000
"11 Narla Retreat, Stoneville","Stoneville",1801,520000
"11 Nasidi Place, Sinagra","Sinagra",591,500000
"11 Neah Place, Butler","Butler",509,399000
"11 Needlewood Loop, Wandi","Wandi",375,295000
"11 Nethercott Street, Huntingdale","Huntingdale",683,320000
"11 NEWBOLD PLACE, Jane Brook","Jane Brook",581,368000
"11 Newbridge Green, Butler","Butler",573,590000
"11 Nias Ramble, Iluka","Iluka",420,762500
"11 Nicholl Street, Glen Forrest","Glen Forrest",2445,625000
"11 Noalimba Crescent, Bateman","Bateman",503,1385000
"11 Nolyang Crescent, Wanneroo","Wanneroo",709,170000
"11 Nooyan Close, South Guildford","South Guildford",567,490000
"11 Norfolk Street, South Perth","South Perth",412,2200000
"11 Nyinda Entrance, South Guildford","South Guildford",510,490000
"11 Oakover Way, Gosnells","Gosnells",680,320000
"11 Oberon Grove, Mount Nasura","Mount Nasura",1741,579000
"11 Ohrid Place, Joondalup","Joondalup",724,580000
"11 Omagh Grove, Waterford","Waterford",662,1350000
"11 O'reilly Court, Jane Brook","Jane Brook",756,386000
"11 Orion Way, Marangaroo","Marangaroo",695,407000
"11 Ostend Parade, Mindarie","Mindarie",659,580000
"11 Ostling Avenue, Bertram","Bertram",489,345000
"11 Otway Place, Shoalwater","Shoalwater",386,280000
"11 Outlook Drive, Edgewater","Edgewater",720,535000
"11 Oxcliffe Road, Doubleview","Doubleview",679,1100000
"11 Ozone Parade, Trigg","Trigg",401,1025000
"11 Pagden Place, Parkwood","Parkwood",519,440000
"11 Paisley Court, Warwick","Warwick",933,723000
"11 Palmerston Street, St James","St James",523,645000
"11 Panorama Drive, Kelmscott","Kelmscott",791,425000
"11 Paragon Rise, Currambine","Currambine",675,640000
"11 Parakeet Way, Coogee","Coogee",812,1035000
"11 Parkin Way, Marangaroo","Marangaroo",501,462500
"11 Parkland Close, Edgewater","Edgewater",700,608000
"11 Parrotbush Road, Churchlands","Churchlands",436,1320000
"11 Passendale Crescent, Piara Waters","Piara Waters",360,415000
"11 Patonga Road, City Beach","City Beach",1109,1700000
"11 Patula Place, Menora","Menora",708,1650000
"11 Peacock Avenue, Singleton","Singleton",472,445000
"11 Pedder Way, Parmelia","Parmelia",781,237500
"11 Peerless Place, Noranda","Noranda",721,675000
"11 Perina Place, Wilson","Wilson",863,572000
"11 Persian Street, Eglinton","Eglinton",375,452000
"11 Petworth Drive, The Vines","The Vines",700,620000
"11 Phillip Grove, Kalamunda","Kalamunda",1007,712000
"11 Piermont Avenue, Burns Beach","Burns Beach",576,895500
"11 Piesse Way, Helena Valley","Helena Valley",281,500000
"11 Pinaster Street, Menora","Menora",711,1250000
"11 Platte Court, Gosnells","Gosnells",1107,422000
"11 Pomarine Drive, Gwelup","Gwelup",207,510000
"11 PONDANA MEWS, Ballajura","Ballajura",579,418000
"11 Porpoise Court, Coogee","Coogee",700,825000
"11 Portland Mews, Bennett Springs","Bennett Springs",607,430000
"11 Portland Way, Ridgewood","Ridgewood",576,350000
"11 Portsea Gardens, Jandakot","Jandakot",495,700000
"11 Poseidon Road, Heathridge","Heathridge",591,570000
"11 Prairie Street, Southern River","Southern River",571,490000
"11 Pratt Street, Cloverdale","Cloverdale",805,423000
"11 Pravia Way, Alkimos","Alkimos",448,360000
"11 Princess Street, Huntingdale","Huntingdale",682,235000
"11 Priscilla Avenue, Beldon","Beldon",800,675000
"11 Prospero Crescent, Coolbellup","Coolbellup",728,464000
"11 Prosser Way, Myaree","Myaree",716,826500
"11 Pudney Place, Orelia","Orelia",868,249000
"11 Purser Cove, Murdoch","Murdoch",706,915000
"11 Queenscliff Court, Kallaroo","Kallaroo",935,1175000
"11 Red Wattle Place, Churchlands","Churchlands",842,1268000
"11 Redheart Way, Beeliar","Beeliar",646,657500
"11 Redunca Close, Helena Valley","Helena Valley",707,480000
"11 Regency Avenue, Madeley","Madeley",640,550000
"11 Regent Court, Cockburn Central","Cockburn Central",617,524000
"11 Reginald Street, Queens Park","Queens Park",438,582000
"11 Reilly Street, Orelia","Orelia",797,259000
"11 Rhagodia Court, Heathridge","Heathridge",680,440000
"11 Rhyder Court, Murdoch","Murdoch",709,555000
"11 Richmond Street, North Perth","North Perth",473,1425000
"11 Ridge Road, Cockburn Central","Cockburn Central",665,950000
"11 Riverway, Applecross","Applecross",563,1410000
"11 Robin Street, Menora","Menora",460,1050000
"11 Rochester Drive, Mindarie","Mindarie",707,840000
"11 Romani Court, Lockridge","Lockridge",491,359500
"11 Rometta Way, Sinagra","Sinagra",493,555000
"11 Rosemary Court, Huntingdale","Huntingdale",683,400000
"11 Rossiter Way, Winthrop","Winthrop",719,1550000
"11 Rossmore Drive, Madeley","Madeley",594,595000
"11 Round Hill Drive, Port Kennedy","Port Kennedy",533,261000
"11 Roxwell Way, Girrawheen","Girrawheen",692,310000
"11 Ruan Place, Kewdale","Kewdale",911,630000
"11 Rummer Way, Bateman","Bateman",769,780000
"11 Ryce Court, Eden Hill","Eden Hill",536,555000
"11 Sabot Place, Ocean Reef","Ocean Reef",869,803000
"11 Salter Place, Parmelia","Parmelia",457,355000
"11 Salter Point Parade, Salter Point","Salter Point",856,2000000
"11 Salvia Court, Yangebup","Yangebup",705,390000
"11 Samphire Turn, Beeliar","Beeliar",661,680000
"11 Sandalwood Avenue, Woodlands","Woodlands",792,1641500
"11 Sandridge Street, Gosnells","Gosnells",1000,425000
"11 SAPPHIRE COURT, Mount Richon","Mount Richon",2112,629000
"11 Sauvignon Avenue, The Vines","The Vines",783,497500
"11 Scarfo Approach, Tapping","Tapping",577,530000
"11 Scarlet Close, Tapping","Tapping",580,575100
"11 Scholar Close, Marangaroo","Marangaroo",638,390000
"11 SCOLLEY ROAD, Medina","Medina",960,385000
"11 Scott Street, Guildford","Guildford",610,710000
"11 Second Avenue, Kensington","Kensington",520,1300000
"11 Second Avenue, Woodbridge","Woodbridge",607,780000
"11 Selloa Place, Mirrabooka","Mirrabooka",711,410000
"11 Shallow Close, Waikiki","Waikiki",863,359000
"11 Shannon Street, Floreat","Floreat",809,2200000
"11 Shaw Close, Brentwood","Brentwood",680,790000
"11 Shea Grove, Leeming","Leeming",694,685000
"11 Shepherd Street, Glen Forrest","Glen Forrest",2258,705000
"11 Shiralee Bend, Carramar","Carramar",582,425000
"11 Shirley Avenue, Mount Pleasant","Mount Pleasant",553,1090000
"11 Sierra Nevada Ridge, Merriwa","Merriwa",462,260000
"11 Silich Court, Mundijong","Mundijong",901,420000
"11 Silkwood Street, Southern River","Southern River",594,515000
"11 Sittella Street, Stirling","Stirling",710,720000
"11 Slate Way, Eglinton","Eglinton",225,265000
"11 Sleight Street, St James","St James",350,480000
"11 Smith Street, Glen Forrest","Glen Forrest",1996,450000
"11 Snowdrop Retreat, Mirrabooka","Mirrabooka",688,288000
"11 Sophia Grove, Roleystone","Roleystone",2109,610000
"11 Soverel Close, Heathridge","Heathridge",512,460000
"11 Spiers Place, Middle Swan","Middle Swan",601,410000
"11 Spinaway Crescent, Brentwood","Brentwood",713,1400000
"11 Spitfire Avenue, Burns Beach","Burns Beach",601,1225000
"11 Splendid Gardens, Harrisdale","Harrisdale",576,630000
"11 St Kilda Turn, Clarkson","Clarkson",519,379000
"11 St Stephens Crescent, Tapping","Tapping",602,424000
"11 Stanley Street, Mount Lawley","Mount Lawley",491,1210000
"11 Station Street, Guildford","Guildford",377,548000
"11 Stephen Street, Guildford","Guildford",389,665000
"11 Stoate Place, Mirrabooka","Mirrabooka",530,350000
"11 Stokesay Street, Orelia","Orelia",603,315000
"11 Stoneman Street, Karrinyup","Karrinyup",755,1340000
"11 Strathalbyn Loop, Carramar","Carramar",641,485000
"11 Stretton Way, Kenwick","Kenwick",683,315000
"11 Strome Road, Applecross","Applecross",496,1187500
"11 Stuart Court, Bateman","Bateman",505,645000
"11 Stuart Place, Two Rocks","Two Rocks",812,299000
"11 Stubbs Terrace, Daglish","Daglish",623,1160000
"11 Styne Road, City Beach","City Beach",1029,1400000
"11 Sulphur Road, Orelia","Orelia",729,300000
"11 Swallow Grove, Waikiki","Waikiki",680,540000
"11 Sweeting Street, Woodlands","Woodlands",771,1425000
"11 Sylvan Court, Singleton","Singleton",756,405000
"11 Syme Road, Alexander Heights","Alexander Heights",564,430000
"11 SYNANDRA Way, Dayton","Dayton",186,324000
"11 Tahiti Lane, Hillarys","Hillarys",402,1470000
"11 Takari Crescent, City Beach","City Beach",1107,1900000
"11 Tanglewood Way, Currambine","Currambine",558,691500
"11 Tangney Crescent, Samson","Samson",779,611500
"11 Tapalla Turn, Merriwa","Merriwa",499,295000
"11 Tarata Way, Forrestfield","Forrestfield",700,409000
"11 Tarcoola Retreat, Ocean Reef","Ocean Reef",705,670000
"11 Tarragon Place, Thornlie","Thornlie",711,511500
"11 Tellen Street, Mullaloo","Mullaloo",703,670000
"11 Teslin Road, Mount Claremont","Mount Claremont",877,2025000
"11 Thaxted Street, Wellard","Wellard",287,280000
"11 The Boardwalk, Ascot","Ascot",313,705000
"11 The Crest, Cockburn Central","Cockburn Central",622,485000
"11 The Fairways, The Vines","The Vines",225,290000
"11 The Ramble, Parmelia","Parmelia",709,435000
"11 The Rise, Gwelup","Gwelup",567,860000
"11 Third Avenue, Rossmoyne","Rossmoyne",521,800000
"11 Thompson Road, North Fremantle","North Fremantle",373,730000
"11 Thorley Way, Lockridge","Lockridge",683,220000
"11 Thornton Place, Gooseberry Hill","Gooseberry Hill",2321,768000
"11 Thurleigh Approach, Butler","Butler",608,430000
"11 Timbrell Way, Leeming","Leeming",717,840000
"11 Tinaroo Court, South Lake","South Lake",700,466000
"11 Tintagel Loop, Orelia","Orelia",510,340000
"11 Tolbury Retreat, Kiara","Kiara",566,426500
"11 Tredegar Street, Butler","Butler",221,300000
"11 Tremlett Street, Thornlie","Thornlie",809,325000
"11 Tristram Lane, Wattle Grove","Wattle Grove",700,680000
"11 Trusley Way, Karrinyup","Karrinyup",756,920000
"11 Truslove Close, Willagee","Willagee",487,457000
"11 Trusty Way, Piara Waters","Piara Waters",510,462000
"11 Tuckett Street, Carlisle","Carlisle",797,585000
"11 Tulloch Close, Brigadoon","Brigadoon",1530,950000
"11 Tunis Place, Coogee","Coogee",974,877500
"11 Turnbull Close, Atwell","Atwell",595,565000
"11 Turnbury Park Drive, Jandakot","Jandakot",736,678000
"11 Turtle Point Cove, Jandakot","Jandakot",630,729000
"11 Turton Street, Guildford","Guildford",831,1100000
"11 Tuscan Way, Karnup","Karnup",405,169500
"11 Tuxedo Link, Clarkson","Clarkson",447,370000
"11 Twin Branch Rise, Leeming","Leeming",701,960000
"11 Tyson Place, Quinns Rocks","Quinns Rocks",1354,742000
"11 Unwin Crescent, Salter Point","Salter Point",1063,925000
"11 Valencia Road, Carmel","Carmel",1011,680000
"11 Valley Views Drive, Landsdale","Landsdale",552,429100
"11 Vanda Retreat, Bennett Springs","Bennett Springs",567,499000
"11 Venice Entrance, Iluka","Iluka",655,880000
"11 Verbana Drive, Aveley","Aveley",395,365000
"11 Vernallan Way, Lesmurdie","Lesmurdie",1260,575000
"11 Verve Court, Marmion","Marmion",442,1710000
"11 Viewcrest Rise, Coogee","Coogee",793,800000
"11 Vinciullo Way, Sinagra","Sinagra",634,460000
"11 Virginia Avenue, Maddington","Maddington",1084,360000
"11 Vista Drive, Parkerville","Parkerville",1880,650000
"11 Vitis Chase, Ashby","Ashby",246,475000
"11 Wagstaff Road, Redcliffe","Redcliffe",575,590000
"11 Walker Street, Mount Helena","Mount Helena",2446,399000
"11 Walker Street, South Fremantle","South Fremantle",455,1025000
"11 Wallawa Street, Wanneroo","Wanneroo",686,450000
"11 Walton Crescent, Mundijong","Mundijong",1182,420000
"11 Wangalla Road, Koongamia","Koongamia",809,193000
"11 Warnham Road, Cottesloe","Cottesloe",207,1900000
"11 Warrego Street, Kensington","Kensington",908,1335000
"11 Waterside Crescent, Gwelup","Gwelup",245,540000
"11 Waterton Way, Cooloongup","Cooloongup",684,345000
"11 Waterview Way, Singleton","Singleton",389,290000
"11 Watkins Road, Dalkeith","Dalkeith",1012,1880000
"11 Waverley Street, South Perth","South Perth",414,1200000
"11 Weetman Cove, Cannington","Cannington",285,380000
"11 Wellard Road, Calista","Calista",812,280000
"11 Wellington Street, Mosman Park","Mosman Park",307,695000
"11 Wellman Street, Guildford","Guildford",448,590000
"11 Wendo Court, Hillman","Hillman",734,249500
"11 Westcliff Street, Wellard","Wellard",447,325000
"11 Westerly Crescent, Heathridge","Heathridge",940,420000
"11 Westgate Way, Marangaroo","Marangaroo",700,392000
"11 Wexford Meander, Landsdale","Landsdale",778,640000
"11 Whitehorses Drive, Burns Beach","Burns Beach",578,822000
"11 Whitewater Lookout, Iluka","Iluka",737,900000
"11 Willcock Avenue, Daglish","Daglish",651,1000000
"11 Willis Street, East Victoria Park","East Victoria Park",430,777000
"11 Willmott Drive, Cooloongup","Cooloongup",698,220000
"11 Willow Road, Woodlands","Woodlands",731,1200000
"11 Wiluna Avenue, White Gum Valley","White Gum Valley",799,920000
"11 Winchester Road, Armadale","Armadale",790,275000
"11 Winnacott Street, Willagee","Willagee",728,440000
"11 Wintergreene Drive, Bennett Springs","Bennett Springs",638,563000
"11 Withers Close, Murdoch","Murdoch",720,850000
"11 Wonil Way, Karawara","Karawara",550,800000
"11 Woolowra Road, Greenmount","Greenmount",910,374500
"11 Woolwich Close, Kallaroo","Kallaroo",864,940000
"11 wroxton street, Midland","Midland",1011,970000
"11 Wundu Entrance, South Guildford","South Guildford",500,512000
"11 Wyee Place, Gooseberry Hill","Gooseberry Hill",962,745000
"11 Wyville Court, Huntingdale","Huntingdale",682,410000
"11 Yallambee Place, Karawara","Karawara",750,630000
"11 Yarrunga Close, Jane Brook","Jane Brook",700,620000
"11 Yonga Way, South Guildford","South Guildford",589,560000
"11 York Terrace, Mosman Park","Mosman Park",954,1900000
"11 Zircon Place, Maida Vale","Maida Vale",600,450000
"11 Zuvela Court, Murdoch","Murdoch",821,810000
"11/128 Forrest Street, Peppermint Grove","Peppermint Grove",195,930000
"11/13 Chich Place, Cannington","Cannington",188,307500
"11/146 Joel Terrace, Mount Lawley","Mount Lawley",278,1010000
"11/18 Oligantha Elbow, Banksia Grove","Banksia Grove",318,325000
"11/19 Flora Terrace, Watermans Bay","Watermans Bay",316,520000
"11/19 Serls Street, Armadale","Armadale",239,221000
"11/19 St Marks Drive, Hillarys","Hillarys",254,550000
"11/191 Railway Avenue, Kelmscott","Kelmscott",216,208000
"11/28 Porter Street, Gwelup","Gwelup",317,765000
"11/3 Mountain View, Kelmscott","Kelmscott",228,309000
"11/444 Marmion Street, Myaree","Myaree",144,380000
"11/5 Marsh Road, Mount Richon","Mount Richon",369,385000
"11/7 Park Road, Midvale","Midvale",316,260000
"11/70 Vellgrove Avenue, Parkwood","Parkwood",304,487500
"11/8 Benson Court, Mount Nasura","Mount Nasura",305,425000
"110 Aristride Avenue, Kallaroo","Kallaroo",915,1280000
"110 Beenyup Road, Atwell","Atwell",441,455000
"110 Boomerang Loop, Banksia Grove","Banksia Grove",450,361000
"110 Boundary Road, St James","St James",703,860000
"110 Bridgewater Drive, Kallaroo","Kallaroo",684,650000
"110 Broadbeach Boulevard, Hillarys","Hillarys",726,900000
"110 Camarino Drive, Woodvale","Woodvale",710,725000
"110 Carosa Road, Ashby","Ashby",623,525000
"110 Collier Road, Embleton","Embleton",906,380000
"110 Dorchester Avenue, Warwick","Warwick",690,640000
"110 Edward Street, Bedford","Bedford",400,665000
"110 Eglinton Crescent, Hamersley","Hamersley",728,670000
"110 Gloucester Crescent, Shoalwater","Shoalwater",990,680000
"110 Guadalupe Drive, Ballajura","Ballajura",498,320000
"110 Harris Street, Bicton","Bicton",426,775000
"110 Lacey Street, Beckenham","Beckenham",971,381000
"110 Matheson Road, Ascot","Ascot",964,410000
"110 Paterson Street, Mundijong","Mundijong",849,390000
"110 Pectoral Promenade, Alkimos","Alkimos",510,625000
"110 Shaftesbury Avenue, Bedford","Bedford",983,760000
"110 Shenton Road, Swanbourne","Swanbourne",402,1900000
"110 Stoneham Road, Attadale","Attadale",910,1350000
"110 Sydenham Street, Kewdale","Kewdale",674,455000
"110 Terrace Road, Guildford","Guildford",1010,1500000
"110 The Promenade, Mount Pleasant","Mount Pleasant",550,1300000
"110 Three Bears Loop, Secret Harbour","Secret Harbour",594,560000
"110 Union Road, Carmel","Carmel",2074,950000
"110 Warrandyte Drive, Craigie","Craigie",684,429000
"110 Wood Street, Inglewood","Inglewood",562,700000
"110A Salisbury Street, Bedford","Bedford",765,622000
"110C Raleigh Street, Carlisle","Carlisle",331,510000
"111 Ashdale Boulevard, Darch","Darch",607,730000
"111 Balladong Loop, Carramar","Carramar",703,462500
"111 Bradford Street, Coolbinia","Coolbinia",759,1075000
"111 Calais Road, Wembley Downs","Wembley Downs",859,1345000
"111 Clement Drive, Karrinyup","Karrinyup",799,940000
"111 Cook Avenue, Hillarys","Hillarys",490,760000
"111 East Road, Hocking","Hocking",562,489000
"111 Fruit Tree Crescent, Forrestfield","Forrestfield",660,448000
"111 Great Eastern Highway, South Guildford","South Guildford",802,562500
"111 Gwenyfred Road, Kensington","Kensington",679,1170000
"111 Kinross Drive, Kinross","Kinross",612,460000
"111 Lansdowne Road, Kensington","Kensington",766,1005000
"111 Litchfield Circle, Wandi","Wandi",438,260000
"111 Maamba Road, Wattle Grove","Wattle Grove",813,440000
"111 Main Street, Osborne Park","Osborne Park",1012,825000
"111 Meller Road, Bibra Lake","Bibra Lake",701,440000
"111 PAPAGO Loop, Brabham","Brabham",662,395000
"111 Paramatta Road, Doubleview","Doubleview",707,1100000
"111 Princess Road, Doubleview","Doubleview",846,1270000
"111 Rosedale Street, Floreat","Floreat",838,1240000
"111 Roselea Boulevard, Stirling","Stirling",330,925000
"111 St Barnabas Boulevard, Quinns Rocks","Quinns Rocks",560,352500
"111 Stubbs Terrace, Daglish","Daglish",612,1080000
"111 Tangadee Road, Golden Bay","Golden Bay",375,335000
"111 Willmott Drive, Cooloongup","Cooloongup",681,270000
"1115 Katharine Street, Bellevue","Bellevue",809,368000
"111A Drummond Street, Bedford","Bedford",283,570000
"111A Hampton Road, South Fremantle","South Fremantle",301,755000
"111B Crawford Street, East Cannington","East Cannington",438,485000
"111B Osborne Street, Tuart Hill","Tuart Hill",241,680000
"112 Ardleigh Crescent, Hamersley","Hamersley",694,660000
"112 Broun Avenue, Embleton","Embleton",728,545000
"112 Celeste Street, Eglinton","Eglinton",345,392500
"112 Clayton Street, Bellevue","Bellevue",860,575000
"112 Dampier Drive, Golden Bay","Golden Bay",846,290000
"112 Dulwich Street, Beckenham","Beckenham",816,400000
"112 Elliot Road, Hocking","Hocking",547,527500
"112 Grove Road, Lesmurdie","Lesmurdie",1629,650000
"112 Hardey Road, Glen Forrest","Glen Forrest",2399,980000
"112 Harris Street, Bicton","Bicton",440,1095000
"112 HONEYWOOD Avenue, Wandi","Wandi",582,565000
"112 Iolanthe Street, Eden Hill","Eden Hill",670,480000
"112 Kinross Drive, Kinross","Kinross",671,485000
"112 Kitchener Road, Alfred Cove","Alfred Cove",386,540000
"112 Naturaliste Boulevard, Iluka","Iluka",474,605000
"112 Old York Road, Greenmount","Greenmount",1012,532500
"112 Pannage Way, Brabham","Brabham",540,400000
"112 Queens Road, South Guildford","South Guildford",590,415000
"112 Railway Street, Cottesloe","Cottesloe",587,1550000
"112 Sydenham Road, Doubleview","Doubleview",847,1335000
"112 Union Road, Carmel","Carmel",2075,590000
"112 Warner Road, Parmelia","Parmelia",540,317500
"112 Welwyn Avenue, Salter Point","Salter Point",1012,1300000
"1125 Glen Forrest Drive, Glen Forrest","Glen Forrest",2000,512000
"112A Ewen Street, Scarborough","Scarborough",302,605000
"112A Mackie Street, Victoria Park","Victoria Park",257,668000
"112B Newborough Street, Karrinyup","Karrinyup",285,1050000
"113 Altone Road, Lockridge","Lockridge",684,400000
