ADDRESS,BEDROOMS
"19 Cobby Place, Marangaroo",4
"19 Cobden Street, Bayswater",4
"19 Coci Road, Balcatta",3
"19 Cockman Way, Orelia",4
"19 Cohn Court, Willagee",3
"19 Coleridge Place, North Lake",4
"19 Collaroy Court, Kallaroo",4
"19 Collier Street, Wembley",4
"19 Colwyn Road, Bayswater",3
"19 Coneflower Corner, Churchlands",3
"19 Congdon Way, Booragoon",4
"19 Constance Street, Darlington",3
"19 Coolbarro Lane, Redcliffe",4
"19 Cornish Crescent, Manning",4
"19 Cotswold Parade, Aubin Grove",4
"19 Cowper Street, Parkwood",4
"19 Craighall Turn, Madeley",3
"19 Criterium Place, Middle Swan",3
"19 Crown Terrace, Coogee",3
"19 Culloden Road, Duncraig",3
"19 Dakin Street, Daglish",3
"19 Daleview Close, Glen Forrest",4
"19 Dalzell Turn, Kinross",4
"19 Danbulla Loop, Yanchep",4
"19 Danja Rise, Hocking",4
"19 Darkin Drive, Gosnells",3
"19 Darling Street, White Gum Valley",2
"19 Dawson Street, Armadale",3
"19 Daylesford Elbow, Jane Brook",4
"19 Desert Ash Place, Helena Valley",4
"19 Devereux Crescent, Aveley",4
"19 Dilkera Place, Quinns Rocks",4
"19 Diosma Way, Forrestfield",3
"19 Dolphin Way, Beldon",3
"19 Donatti Retreat, Caversham",3
"19 Downhill Way, Langford",4
"19 Downing Crescent, Wanneroo",4
"19 Dryandra Crescent, Darlington",4
"19 Dryandra Drive, Mirrabooka",3
"19 Duncan Place, Mahogany Creek",4
"19 Earl Street, Bentley",5
"19 Eastwood Way, Hamersley",3
"19 Ecton Street, Gosnells",3
"19 Edmund Way, Calista",2
"19 Edward Street, Queens Park",3
"19 Elemi Bend, Atwell",4
"19 Ellesmere Road, Swan View",3
"19 Elma Street, Coolbinia",4
"19 ELYARD CRESCENT, Stirling",4
"19 Eradu Ramble, Hocking",4
"19 Errina Road, Alexander Heights",3
"19 Esmerelda Pass, Darch",4
"19 Eucla Mews, Stratton",4
"19 Eucumbene Crescent, Joondalup",3
"19 Evington Pass, Landsdale",4
"19 Ewart Street, Midvale",2
"19 Exmouth Drive, Butler",4
"19 Fairland Loop, Madeley",4
"19 Farrier Terrace, Henley Brook",4
"19 Feathertop Rise, Alexander Heights",4
"19 Ferrar Street, Menora",3
"19 Fifth Avenue, Bassendean",3
"19 Fionn Street, Hamersley",4
"19 First Avenue, Bickley",4
"19 First Avenue, Shoalwater",3
"19 Fitzpatrick Way, Noranda",6
"19 Fleet Circle, High Wycombe",3
"19 Fleming Parkway, Clarkson",4
"19 Floresta Street, Sinagra",4
"19 Forge Lane, Henley Brook",4
"19 Foxfield Road, Darch",5
"19 Frankland Place, Jane Brook",4
"19 Frederic Street, Koongamia",4
"19 Freeth Court, Brentwood",3
"19 Furnivall Parade, Baldivis",4
"19 Galaxy Way, Carlisle",4
"19 Gamin Vista, Aveley",4
"19 Garvey Street, Cloverdale",3
"19 Geranium Place, Canning Vale",5
"19 Gillings Parade, Wattle Grove",4
"19 Gladstone Avenue, Swan View",3
"19 Glen Iris Drive, Jandakot",4
"19 Glenfine Way, Carramar",4
"19 Glengarry Street, Parkwood",3
"19 Glenmere Road, Warwick",4
"19 Glenten Way, Ferndale",4
"19 Gloster Loop, Brookdale",4
"19 Goldsbrough Entrance, Helena Valley",4
"19 Gowther Street, Leeming",4
"19 Grace Pass, Bennett Springs",4
"19 Graham Road, Gooseberry Hill",4
"19 Graham Road, Menora",3
"19 Grenache Crescent, Caversham",3
"19 Grenoble Street, Piara Waters",4
"19 Grose Way, Noranda",4
"19 Gundaring Turn, Canning Vale",4
"19 Hackett Street, Bellevue",4
"19 Haga Parkway, Landsdale",4
"19 Haig Street, Ashfield",4
"19 Haldane Link, Baldivis",4
"19 Halleendale Road, Walliston",4
"19 Hallstrom Way, Canning Vale",5
"19 Hampshire Street, East Victoria Park",3
"19 Harding Street, Hilbert",3
"19 Harford Avenue, Viveash",3
"19 Harford Grove, Yanchep",4
"19 Harrow Street, Mount Hawthorn",3
"19 Hassars Road, Secret Harbour",4
"19 Hayward Parade, Coogee",3
"19 Hazlett Place, Waikiki",4
"19 Heaton Way, Safety Bay",3
"19 Heidelberg Street, Aubin Grove",4
"19 Hennessy Drive, Ashby",4
"19 Hepworth Road, Trigg",4
"19 Hester Street, Langford",4
"19 Heysham Bend, Butler",4
"19 Hibiscus Court, Churchlands",5
"19 Hicks Way, Hillarys",4
"19 Hodge Street, Willagee",2
"19 Honeymyrtle Turn, Stirling",5
"19 Hope Avenue, Salter Point",4
"19 Hudleston Rise, Alexander Heights",4
"19 Hudson Avenue, Girrawheen",4
"19 Hybanthus Avenue, High Wycombe",4
"19 Illawarra Crescent, Canning Vale",4
"19 Illawong Way, Kingsley",5
"19 Ind Street, Lesmurdie",3
"19 Indiana Parade, Singleton",4
"19 Integra Street, Aveley",4
"19 Inveraray Crescent, Hamersley",4
"19 Inverness Court, Cooloongup",4
"19 Inverness Crescent, Menora",5
"19 Inwood Place, Murdoch",4
"19 Jaccard Way, Lynwood",3
"19 Jaeger Bend, Tapping",3
"19 James Road, Kalamunda",5
"19 Jewell Parade, North Fremantle",3
"19 Jobson Loop, Brookdale",3
"19 Johnson Close, Winthrop",4
"19 Johnson Street, Redcliffe",3
"19 Jouissance Bend, Atwell",4
"19 Jupiter Bend, Rockingham",4
"19 Justicia Close, Woodvale",4
"19 Kambalda Way, Kewdale",4
"19 Kane Way, Byford",3
"19 Karalundie Way, Mullaloo",3
"19 Kembla Circle, Madeley",4
"19 Kennard Street, Kensington",4
"19 Kerswell Way, Warnbro",3
"19 Kiandra Parade, Ballajura",4
"19 Kilborne Avenue, Quinns Rocks",4
"19 Kinbrace Way, Lynwood",3
"19 Kinloch Pass, Aubin Grove",4
"19 Kinross Road, Applecross",5
"19 Kinsale Bend, Port Kennedy",4
"19 Kinsale Drive, Mindarie",4
"19 Kippilaw Loop, Carramar",4
"19 Kirby Way, Samson",3
"19 Klem Avenue, Redcliffe",4
"19 Klem Avenue, Salter Point",1
"19 Koolgoo Way, Koongamia",3
"19 Kooya Way, Wattle Grove",3
"19 Kurrajong Road, Safety Bay",3
"19 Kurrat Elbow, South Guildford",3
"19 Kurrawa Street, Hillman",3
"19 Kurrden Way, Swan View",4
"19 Lakeside Drive, Helena Valley",4
"19 Landbeach Boulevard, Butler",4
"19 Landon Way, Mount Claremont",4
"19 Langridge Crescent, Orelia",3
"19 Langsford Street, Claremont",4
"19 Larkin Court, Medina",4
"19 lawlor Road, Attadale",4
"19 Lawson Way, Padbury",4
"19 Leach Street, Marmion",3
"19 Lee Avenue, Hilton",3
"19 Lennox Place, Hamersley",4
"19 Letterkenny Road, Bullsbrook",4
"19 Leyton Court, Kingsley",4
"19 Lifford Way, Bellevue",3
"19 Lillico Avenue, Burns Beach",4
"19 Limetree Circuit, Mindarie",4
"19 Lincoln Mews, Orelia",4
"19 Linden Way, Forrestfield",5
"19 Lindholm Retreat, Mindarie",4
"19 Lindley Street, Embleton",3
"19 Linear Avenue, Mullaloo",4
"19 Lissadell Terrace, Ellenbrook",4
"19 Logpine Crescent, Camillo",4
"19 Lombe Gardens, Atwell",4
"19 Lowan Loop, Karawara",3
"19 Lucida Road, Southern River",4
"19 Lunata Street, Dayton",3
"19 Lydon Boulevard, Atwell",4
"19 Madrid Terrace, Hocking",4
"19 Maguire Avenue, Beechboro",3
"19 Maidos Street, Ashfield",4
"19 Maidstone Parade, Secret Harbour",4
"19 Maracas Cove, Iluka",4
"19 Maritime Avenue, Kardinya",6
"19 Marjorie Avenue, Shelley",4
"19 Markethill Road, Ridgewood",4
"19 Marlin Way, Golden Bay",4
"19 Marmion Street, Fremantle",3
"19 Martindale Avenue, Madeley",4
"19 Martinique Mews, Hillarys",3
"19 Masters Street, Kenwick",4
"19 Mataitai Loop, Cooloongup",4
"19 Mattingley Heights, Murdoch",4
"19 Maydwell Way, Calista",4
"19 MAYFIELD Drive, Brabham",4
"19 Mcalinden Close, Noranda",4
"19 McCombe Avenue, Samson",4
"19 Mccormick Street, Warnbro",3
"19 Meagher Way, Beechboro",3
"19 Melrose Crescent, Menora",5
"19 Melton Hill Lane, Champion Lakes",2
"19 Messina Drive, Sinagra",4
"19 Mifflin Place, Leeming",4
"19 Mileura Street, Golden Bay",3
"19 Millbrook Avenue, Bertram",3
"19 Miller Avenue, Redcliffe",4
"19 Minton Bend, Harrisdale",4
"19 Minyon Circuit, Atwell",4
"19 Mirima Way, Wandi",4
"19 Mitford Street, Swanbourne",4
"19 Mockeridge Circuit, Middle Swan",2
"19 Modena Place, Balga",3
"19 Monaltrie Loop, Carramar",4
"19 Monota Avenue, Shelley",5
"19 Monticello Meander, Landsdale",4
"19 Monument Street, Mosman Park",4
"19 Mount Henry Road, Salter Point",4
"19 Mulligan Way, Orelia",4
"19 Myerson Crescent, Maida Vale",4
"19 Narrier Close, South Guildford",3
"19 Naunton Crescent, Eden Hill",4
"19 Neilson Street, Hammond Park",3
"19 Newgate Street, Alexander Heights",3
"19 Newport Way, Lynwood",3
"19 Nirimba Close, South Guildford",4
"19 Noonameena Place, Darlington",3
"19 Noosa Drive, Secret Harbour",4
"19 Noreena Avenue, Golden Bay",4
"19 NORTHECUT RISE, Parmelia",4
"19 Oakdale Street, Floreat",5
"19 Oakover Way, Gosnells",3
"19 Opal Way, Mount Richon",4
"19 Orberry Place, Thornlie",4
"19 Orchid Avenue, Bennett Springs",4
"19 O'reilly Court, Jane Brook",4
"19 Oriole Way, Tapping",4
"19 Orion Way, Marangaroo",4
"19 Oxley Place, Darlington",5
"19 Parkinson Road, Banksia Grove",4
"19 Pascal Mews, Ridgewood",4
"19 Patchett Street, Cloverdale",3
"19 Peel Street, Jolimont",3
"19 Pelican Loop, High Wycombe",4
"19 Peninsula Avenue, Heathridge",4
"19 Pennington Way, Brabham",3
"19 Periwinkle Way, Parkwood",4
"19 Peterborough Circle, North Lake",4
"19 Pexton Drive, South Guildford",4
"19 Pira Loop, Byford",4
"19 Plane Tree Green, Forrestfield",4
"19 Plumeria Rise, Sinagra",4
"19 Polglass Way, Ardross",4
"19 Prendiville Way, Langford",3
"19 Quail Place, Langford",4
"19 Quartz Avenue, Wellard",4
"19 Queenscliff Court, Kallaroo",4
"19 Railway Crescent, Herne Hill",3
"19 Railway Parade, Glen Forrest",3
"19 Rainbow Way, Gwelup",4
"19 Ramsay Street, Karrinyup",2
"19 Ranunculus Court, Beeliar",4
"19 Rathay Street, Victoria Park",3
"19 Ravenscroft Way, Kelmscott",3
"19 Reeves Entrance, Success",5
"19 Regent Court, Cockburn Central",3
"19 Richardson Road, Coogee",4
"19 Riding Way, Bull Creek",4
"19 River Bank Boulevard, South Guildford",5
"19 Rivett Way, Brentwood",3
"19 Robin Street, Menora",3
"19 Rosedale Vista, Hocking",4
"19 Rotohine Place, Cooloongup",4
"19 Rungine Way, Pearsall",4
"19 Russon Court, Alexander Heights",5
"19 Saddler Circle, Mirrabooka",6
"19 Sailfish Close, Beldon",3
"19 Salamanca Boulevard, Seville Grove",4
"19 Salicina Gardens, Roleystone",4
"19 Salisbury Road, Midvale",2
"19 Salter Point Parade, Salter Point",3
"19 Salvator Street, Noranda",4
"19 Salzburg Way, Wanneroo",4
"19 San Pedro Turn, Iluka",4
"19 Sandleford Way, Hammond Park",4
"19 Sandover Crescent, Winthrop",4
"19 Sandstone Place, Marmion",4
"19 Sanford Court, Lockridge",3
"19 Sao Jorge Green, Secret Harbour",4
"19 Sapphire Crescent, Balcatta",4
"19 Saturn Street, Beckenham",3
"19 Scaddan Street, Wembley",4
"19 Seabird Bend, Jindalee",4
"19 Seabrook Place, Success",4
"19 Sebago Street, Wellard",4
"19 Second Avenue, Kensington",4
"19 Sekem Street, North Perth",2
"19 Selkirk Drive, Kinross",4
"19 Sellafield Bend, Waikiki",4
"19 Sessilis Crescent, Wattle Grove",4
"19 Shacklock Crescent, Winthrop",5
"19 Shirley Road, Walliston",4
"19 Sholl Avenue, North Beach",5
"19 Short Street, Kenwick",3
"19 Sierra Nevada Ridge, Merriwa",4
"19 Silich Court, Mundijong",3
"19 Simmons Loop, Parmelia",3
"19 Singleton Beach Road, Singleton",4
"19 Slade Street, Bayswater",3
"19 Sloan Drive, Leda",3
"19 Small Street, Beechboro",3
"19 Smith Street, Claremont",4
"19 Solquest Way, Cooloongup",3
"19 Southwark Way, Morley",3
"19 Spiers Place, Middle Swan",4
"19 Sporing Way, Hillarys",3
"19 Spring Hill, Tapping",4
"19 Sproxton Way, Embleton",4
"19 St Andrews Way, Duncraig",3
"19 St Elias Place, Caversham",4
"19 St Helens Grove, Landsdale",4
"19 Stanley Street, Glen Forrest",3
"19 Stewart Way, Noranda",4
"19 Storey Road, Thornlie",3
"19 Stradbroke Gardens, Ridgewood",4
"19 Strathclyde Circuit, Champion Lakes",4
"19 Swanway Crescent, Swanbourne",4
"19 Sweeting Street, Woodlands",4
"19 Tapalla Turn, Merriwa",4
"19 Teaguer Street, Wilson",3
"19 Tedrake Street, Willagee",3
"19 Templemore Drive, Heathridge",3
"19 Terelinck Crescent, Redcliffe",3
"19 Tern Loop, Yangebup",4
"19 Tetbury Road, Butler",4
"19 Thackeray Street, Spearwood",4
"19 Thaxted Street, Wellard",3
"19 The Embankment, South Guildford",3
"19 The Lakes Boulevard, Jandakot",5
"19 Third Avenue, Burns Beach",3
"19 Thrive Terrace, Seville Grove",3
"19 Thurleigh Approach, Butler",5
"19 Tintern Road, Ashby",3
"19 Tolbury Retreat, Kiara",4
"19 Tolladine Vista, The Vines",4
"19 Tonkin Street, Mundijong",4
"19 Torrenova Way, Sinagra",3
"19 TOWNSEND DALE, Mount Claremont",5
"19 Trafalgar Road, Lesmurdie",3
"19 Truscott Elbow, Alexander Heights",4
"19 Tuart Court, Thornlie",4
"19 Tuart Road, Lesmurdie",4
"19 Turnstone Glade, Bennett Springs",4
"19 Unnaro Street, Hillman",3
"19 Ventnor Avenue, Mount Pleasant",4
"19 Veronica Street, Riverton",3
"19 Waddington Crescent, Koondoola",4
"19 Wade Square, Stratton",4
"19 Waldorf Ramble, Currambine",4
"19 Wallan Court, Maddington",2
"19 Waltham Court, Bateman",3
"19 Wangalla Place, Koongamia",3
"19 Waratah Drive, Camillo",4
"19 Warner Court, Manning",4
"19 Warnford Street, Butler",4
"19 Waterfields Drive, Bertram",3
"19 Waterlily Close, Huntingdale",4
"19 Waterway Pass, Bennett Springs",4
"19 Watkins Street, White Gum Valley",3
"19 Wenn Road, Singleton",3
"19 Westfield Road, Camillo",3
"19 Westlake Road, Morley",3
"19 Westport Parade, Darch",4
"19 Whatley Crescent, Bayswater",3
"19 Whitcombe Way, Alexander Heights",3
"19 Whitehaven Avenue, Burns Beach",4
"19 Williamson Way, Trigg",4
"19 Willis Terrace, Hammond Park",4
"19 Willow Bank Entrance, Gwelup",5
"19 Windy Lane, Yanchep",3
"19 Wisteria Parade, Edgewater",3
"19 Wortley Road, Greenmount",3
"19 Yenisey Crescent, Beechboro",3
"19 Yoondarn Elbow, Wattle Grove",3
"19/15 Scaphella Avenue, Mullaloo",3
"19/4 Allum Green, Merriwa",2
"19/6 York Street, Inglewood",2
"190 Balfour Street, Huntingdale",4
"190 Bickley Road, Beckenham",4
"190 Caridean Street, Heathridge",3
"190 Gaebler Road, Aubin Grove",4
"190 Landsdale Road, Landsdale",4
"190 Newborough Street, Karrinyup",3
"190 Riseley Street, Booragoon",5
"190 Runnymede Gate, Leda",4
"190 Suffolk Street, Caversham",3
"191 South Street, Beaconsfield",3
"191 Stock Road, Palmyra",2
"192 Daglish Street, Wembley",4
"192 Eddystone Avenue, Beldon",4
"192 Ferndale Crescent, Ferndale",4
"192 Grand Ocean Boulevard, Port Kennedy",4
"192 Honeywood Avenue, Wandi",4
"192 Swan Street, Guildford",3
"192 Yangebup Road, Yangebup",3
"192A Hancock Street, Doubleview",3
"192A Woodside Street, Doubleview",3
"193 Edgewater Drive, Edgewater",4
"193 Harpenden Street, Huntingdale",4
"193 Hector Street, Osborne Park",4
"193 Leach Highway, Willagee",4
"193a Bishopsgate Street, Carlisle",3
"194 Currie Street, Warnbro",4
"194 Lagoon Drive, Yanchep",4
"194 Shaftesbury Avenue, Bedford",3
"194A Hardey Road, Belmont",4
"194B Nicholson Road, Langford",4
"195 Daglish Street, Wembley",4
"195 Fendam Street, Warnbro",4
"195 Gloucester Street, Victoria Park",3
"195 Hardey Road, Belmont",3
"195 Ninth Avenue, Inglewood",3
"195 Robinson Road, Mahogany Creek",4
"195 Rosedale Road, Chidlow",3
"195 Viveash Road, Swan View",3
"195 Wentworth Parade, Success",3
"195 Wungong Road, Brookdale",4
"195A Bateman Road, Brentwood",3
"195A Kitchener Road, Booragoon",3
"196 Blackadder Road, Swan View",3
"196 Central Avenue, Inglewood",4
"196 Fendam Street, Warnbro",4
"197 Coode Street, Bedford",3
"197 Kenwick Road, Kenwick",3
"197 Salisbury Street, Bedford",3
"197 Secret Harbour Boulevard, Secret Harbour",4
"197 Winterfold Road, Coolbellup",5
"197A Brookton Highway, Kelmscott",3
"197A Holbeck Street, Doubleview",3
"197A Newborough Street, Doubleview",3
"197A Rosebery Street, Bedford",2
"197B Hale Road, Wembley Downs",2
"198 Bridgewater Drive, Kallaroo",4
"198 Clayton Street, Koongamia",3
"198 Kitchener Road, Booragoon",3
"198 Lakey Street, Southern River",4
"198 Newborough Street, Karrinyup",4
"198 Runnymede Gate, Leda",3
"198 Shaftesbury Avenue, Bedford",3
"198 Watts Road, Wilson",4
"198 Wright Road, Harrisdale",4
"198A Seventh Avenue, Inglewood",3
"198B Bateman Road, Brentwood",3
"199 Eddystone Avenue, Beldon",3
"199 Elderberry Drive, South Lake",3
"199 Huntriss Road, Doubleview",3
"199 McDonald Street, Joondanna",3
"199 Patricia Street, Caversham",4
"199 Twickenham Drive, Kingsley",4
"199B Reynolds Road, Mount Pleasant",4
"19A Allen Street, East Fremantle",3
"19A Bay Road, Claremont",3
"19A Bayview Vista, Ballajura",4
"19A Bilgoman Road, Glen Forrest",4
"19A Brockway Road, Mount Claremont",4
"19A Burdekin Turn, Hilbert",3
"19A Burroughs Road, Karrinyup",3
"19A Chancery Lane, Alexander Heights",4
"19A Chiswick Street, Wembley Downs",3
"19A Collier Street, Ardross",4
"19A Dean Road, Bateman",3
"19A Ednah Street, Como",4
"19a Fern Road, Wilson",4
"19a Gnobar Way, Mullaloo",4
"19A Gray Road, Gooseberry Hill",3
"19A Harrolyn Avenue, Riverton",3
"19a Howard Parade, Salter Point",3
"19A Instone Street, Hilton",3
"19A Jackson Road, Karawara",3
"19A Latham Street, Alfred Cove",4
"19A Malone Street, Willagee",4
"19A Millet Street, Joondanna",4
"19A Mimosa Avenue, Mount Claremont",2
"19A Minibah Street, Wembley Downs",3
"19A Morden Street, Wembley Downs",4
"19A O'rourke Close, Murdoch",3
"19A Penelope Place, Innaloo",3
"19A Robertson Street, Hazelmere",2
"19A Robin Street, Menora",4
"19a Schacht Court, Myaree",3
"19A Stirk Road, Alfred Cove",4
"19a Tuart Street, Yokine",3
"19A Walcha Street, Mullaloo",3
"19A Wattle Mews, Hocking",3
"19B Beach Road, Marmion",4
"19B Conical Rise, Woodvale",4
"19B Gairloch Place, Joondalup",3
"19B Galahad Way, Carine",3
"19B Huntington Road, Coogee",3
"19B Lombardy Street, Woodlands",3
"19B Portree Way, Ardross",5
"19B Prince Street, Queens Park",3
"19B Robertson Street, Hazelmere",4
"19B Salen Court, Ardross",4
"19B Snook Crescent, Hilton",3
"19B Vernon Place, Spearwood",3
"19C Coonawarra Drive, Caversham",3
"1A Acapulco Way, Southern River",3
"1A Alford Street, Balcatta",3
"1a Andrews Way, Herne Hill",3
"1A Angler Court, Wilson",3
"1A Anona Place, Riverton",4
"1A Apara Way, Nollamara",3
"1A Boon Street, Willagee",4
"1A Bradley Way, Lockridge",3
"1a Bromley Street, Embleton",3
"1A Bulimba Road, Nedlands",3
"1A Bushell Place, Ardross",4
"1a Caple Street, Willagee",2
"1a Casablanca Avenue, Southern River",3
"1A Cetara Chase, Sinagra",3
"1A Chipala Road, Westminster",3
"1A Cullen Street, Shenton Park",3
"1A Derry Avenue, Mount Nasura",3
"1a Egham Road, Burswood",3
"1A Elvire Street, Watermans Bay",3
"1A Everard Close, Woodvale",3
"1A Forster Avenue, Lathlain",3
"1a Guildford Road, Ashfield",4
"1A Gull Street, Marmion",3
"1A Hamersley Road, Sorrento",4
"1A Harley Street, Highgate",3
"1A Hassett Street, Cloverdale",3
"1A Helen Street, Bellevue",3
"1A Johanson Promenade, Murdoch",4
"1A Johnson Avenue, Guildford",4
"1a Kadina Street, Craigie",3
"1A Karoonda Road, Booragoon",3
"1A Kirwan Street, Floreat",3
"1A Leach Avenue, Riverton",4
"1A Lesser Street, West Leederville",3
"1A Lewes Road, Nollamara",3
"1A Nailsworth Street, Cottesloe",3
"1A Old York Road, Greenmount",4
"1A Pannell Road, Bateman",4
"1A Perkins Road, Melville",4
"1A Queen Street, Claremont",3
"1A Spargo Street, Myaree",4
"1A Tavistock Crescent, Lynwood",3
"1A Thomas Street, Nedlands",5
"1A Warnes Street, Maylands",3
"1A Webb Street, Rossmoyne",2
"1A York Avenue, Bentley",4
"1B Beryl Street, Balcatta",3
"1B Charles Street, Karrinyup",4
"1B David Street, Mount Pleasant",4
"1B Frobisher Avenue, Sorrento",3
"1B Harrow Street, Maylands",4
"1B Hayward Street, Myaree",3
"1B Hugh Street, Watermans Bay",2
"1B Klein Street, Karrinyup",3
"1B Knutsford Street, Fremantle",3
"1b Letchworth Centre Avenue, Salter Point",4
"1B Malsbury Street, Bicton",4
"1B Mcknight Place, Melville",4
"1B Moennich Court, Coolbellup",3
"1B Norma Road, Alfred Cove",4
"1B Old Maida Vale Road, Maida Vale",3
"1B Plankton Place, Heathridge",3
"1B Rawlins Street, Glendalough",3
"1B Taplow Parade, Ashby",3
"1B Tavistock Crescent, Lynwood",3
"1b Tetworth Crescent, Nollamara",3
"1b Williams Road, Melville",2
"1C Atwell Street, Belmont",3
"1C Cambey Way, Brentwood",3
"1C Collier Avenue, Balcatta",3
"1C Errinbee Street, Riverton",3
"1C Hayward Street, Myaree",3
"1C Lee Place, Bicton",3
"1D Kitchener Road, Melville",3
"1F Clydesdale Street, Burswood",3
"1F Kitchener Road, Melville",4
"2 Abbey Court, Cockburn Central",4
"2 Abilene Link, Success",4
"2 Abraham Court, Wanneroo",4
"2 Addison Street, South Perth",4
"2 Aero Drive, Maylands",4
"2 Alice Road, Port Kennedy",3
"2 Alice Street, Bellevue",3
"2 Allpike Street, Guildford",5
"2 Allport Close, Huntingdale",4
"2 Almond Street, Guildford",4
"2 Aloe Court, Woodvale",4
"2 Altair Way, Beldon",3
"2 Altea Rise, Secret Harbour",5
"2 Alvah Street, St James",5
"2 Amber Grove, Ballajura",4
"2 Anstie Way, Bull Creek",4
"2 Anthony Street, South Perth",2
"2 Antigua Place, Southern River",3
"2 Archer Way, Wattle Grove",4
"2 Aries Court, Shelley",5
"2 Armadale Crescent, Coolbinia",4
"2 Armata Walk, Mirrabooka",4
"2 Arne Court, Ocean Reef",5
"2 Arundel Street, Kensington",3
"2 Ashwood Place, South Lake",4
"2 Augusta Court, Connolly",4
"2 Aurora Grove, Ocean Reef",4
"2 Austin Place, Winthrop",4
"2 Ava Court, Quinns Rocks",5
"2 Avila Link, Burns Beach",6
"2 Baal Street, Palmyra",4
"2 Babbler Court, Maida Vale",4
"2 Ballart Way, Dianella",3
"2 Ballymote Gardens, Ridgewood",4
"2 Bangor Way, Orelia",4
"2 Banjong Street, Martin",4
"2 Barang Circuit, Karawara",4
"2 Barlow Street, Sawyers Valley",3
"2 Barnsley Street, Queens Park",4
"2 Barracuda Court, Sorrento",4
"2 Barrow Crescent, North Coogee",3
"2 Bassina Court, Hillarys",4
"2 Batavia Way, Salter Point",4
"2 Bates loop, Lockridge",3
"2 Beard Street, Beaconsfield",5
"2 Beckler Court, Padbury",4
"2 Bedale Street, Dianella",3
"2 Bedford Road, Ardross",3
"2 Beenan Elbow, South Guildford",3
"2 Belfast Crescent, Ridgewood",4
"2 Bell Court, Armadale",4
"2 Bellata Place, Kenwick",3
"2 Bellevue Avenue, Dalkeith",5
"2 Ben Close, Craigie",3
"2 Bennevis Turn, Kinross",4
"2 Berrow Place, Leda",4
"2 Betula Court, Woodvale",5
"2 Billing Place, Mount Richon",4
"2 Billings Way, Winthrop",5
"2 Bittern Lane, Beeliar",5
"2 Blancoa Lane, Stirling",4
"2 Blaxland Elbow, Seville Grove",4
"2 Bonita Way, Tapping",5
"2 Bourke View, Jane Brook",4
"2 Bovell Gardens, Leeming",4
"2 Bowline Avenue, Alkimos",3
"2 Bowood Cove, Kiara",4
"2 Boyle Road, Ridgewood",4
"2 Bradshaw Crescent, Manning",4
"2 Brady Road, Jarrahdale",2
"2 Branksome Gardens, City Beach",5
"2 Breaden Pass, Success",4
"2 Brentwood Way, The Vines",4
"2 Bridgeman Drive, Bennett Springs",3
"2 Bridgewater Drive, Kallaroo",4
"2 Brinckley Crescent, Koondoola",4
"2 Brolo Court, Stirling",4
"2 Brora Grove, Boya",4
"2 Brunswick Bend, Jane Brook",4
"2 Bruny Meander, Wandi",4
"2 Brushfield Way, Gwelup",4
"2 Burkinshaw Road, Glen Forrest",3
"2 Burnettia Lane, Mount Claremont",3
"2 Burra Court, Clarkson",4
"2 Butt Place, Orelia",3
"2 Buxton Street, Mount Hawthorn",3
"2 Byfield Road, Parkerville",3
"2 Bywood Way, Lynwood",3
"2 Caladenia Way, Koongamia",2
"2 Callistemon Close, Helena Valley",4
"2 Calume Street, Hillman",3
"2 Camer Court, Huntingdale",3
"2 Campbell Road, Canning Vale",4
"2 Cann Place, Marmion",3
"2 Canova Road, Butler",4
"2 Cantara Rise, Ocean Reef",4
"2 Canunda Way, Yanchep",4
"2 Capri Rise, Yangebup",4
"2 Caraway Avenue, Byford",4
"2 Carbine Drive, Wattle Grove",4
"2 Carmine Street, Eglinton",4
"2 Carnelian Parkway, Caversham",4
"2 Carrello Circuit, Coogee",4
"2 Casey Street, Cloverdale",3
"2 Castagno Approach, Ashby",4
"2 Catenary Court, Mullaloo",4
"2 Cavello View, Iluka",4
"2 Celina Crescent, Kingsley",4
"2 Champions Court, Connolly",4
"2 Chapel Court, Kingsley",5
"2 Chardonnay Grove, Mount Nasura",4
"2 Charles Street, Maida Vale",3
"2 Charnwood Place, Two Rocks",4
"2 Chatburn Road, Butler",3
"2 Chelsfield Street, Gosnells",3
"2 Cherry Hills Crescent, Connolly",5
"2 Chipperfield Court, Mosman Park",4
"2 Chipperton Road, Bertram",4
"2 Clapton Court, Kingsley",4
"2 Clearwater Way, Ascot",3
"2 Clegg Road, Kwinana Town Centre",3
"2 Cleland Court, Aubin Grove",4
"2 Cliff Street, Marmion",4
"2 Coaldale Link, Clarkson",4
"2 Coll Place, Warwick",4
"2 Coma Place, Beldon",3
"2 Concord Place, Connolly",4
"2 Congenial Loop, Atwell",4
"2 Congha Court, Hillman",3
"2 Coniston Way, Ferndale",4
"2 Cooinda Close, Quinns Rocks",4
"2 Cook Place, Lesmurdie",4
"2 Coolgardie Avenue, East Fremantle",4
"2 Cornell Place, East Cannington",4
"2 Cottontree Lane, Bennett Springs",4
"2 Cowara Way, Byford",4
"2 Craighall Turn, Madeley",4
"2 Craignish Loop, Kinross",4
"2 Crawshaw Crescent, Manning",5
"2 Creswick Cross, Kiara",3
"2 Cristobal Crescent, Mindarie",4
"2 Crossland Court, Peppermint Grove",4
"2 Cruiser Turn, Landsdale",4
"2 Cubbine Close, Hillman",3
"2 Culford Court, Camillo",3
"2 Culloch Way, Kinross",4
"2 Cumbor Way, Samson",3
