ADDRESS,LAND_AREA
"17 Warrandyte Drive, Craigie",704
"17 Warrior Pass, Bertram",429
"17 Waterlily CLose, Huntingdale",538
"17 Watkins Street, Fremantle",579
"17 Waylen Square, Beeliar",741
"17 Webb Street, Rossmoyne",850
"17 Welara Circle, Henley Brook",554
"17 Wellesley Way, Samson",750
"17 Wescap Rise, Merriwa",759
"17 Westbourne Way, Lynwood",832
"17 Westerway Terrace, North Lake",631
"17 Whitby Close, Mindarie",457
"17 Whitney Road, Byford",225
"17 Wicklow Circle, Darch",610
"17 Wilcannia Elbow, Currambine",559
"17 Wildwood Heights, Leeming",749
"17 Windsor Avenue, Roleystone",2024
"17 Windsor Place, Kallaroo",684
"17 Wingrove Road, Langford",514
"17 Winston Way, Madeley",640
"17 Wirilda Crescent, Greenwood",688
"17 Wonil Way, Karawara",550
"17 Woodcroft Place, Mount Richon",2104
"17 Woodrush Way, Canning Vale",700
"17 Woodview Retreat, Caversham",546
"17 Woolgar Way, Lockridge",786
"17 Woolowra Road, Greenmount",1074
"17 Wooramel Street, Heathridge",720
"17 Worrell Avenue, High Wycombe",623
"17 Wundu Entrance, South Guildford",489
"17 YALLUP PLACE, Cannington",263
"17/1 Riverside Road, East Fremantle",231
"17/11 Elvire Street, Viveash",223
"17/5 Isoodon Street, Dayton",213
"170 Broome Street, Cottesloe",655
"170 Camberwarra Drive, Craigie",722
"170 Glen Forrest Drive, Glen Forrest",2045
"170 Glen Iris Drive, Jandakot",703
"170 Samuel Street, Mount Helena",2000
"170 Shaftesbury Avenue, Bedford",470
"170 Southacre Drive, Canning Vale",624
"170 Treasure Road, Queens Park",270
"170 Westminster Street, East Victoria Park",850
"170A Baden Street, Joondanna",343
"170A Flamborough Street, Doubleview",224
"170B Railway Parade, Queens Park",440
"171 Balfour Street, Huntingdale",608
"171 Leake Street, Belmont",819
"171 Stevens Street, White Gum Valley",974
"172 Carmel Road, Carmel",2435
"172 Douglas Avenue, Kensington",483
"172 Jersey Street, Wembley",943
"172 Lakey Street, Southern River",648
"172 Morrison Road, Midvale",848
"172 Onslow Road, Shenton Park",424
"172 Planet Street, Carlisle",513
"172 Treasure Road, Queens Park",266
"172 Woodside Street, Doubleview",338
"172C Odin Road, Innaloo",200
"173 Bertram Road, Bertram",711
"173 Daglish Street, Wembley",645
"173 Huntriss Road, Doubleview",644
"173 Shaftesbury Avenue, Bedford",984
"173 St Stephens Crescent, Tapping",492
"173 Station Street, East Cannington",635
"1735 Cook Street, Mount Helena",2001
"173B Herbert Street, Doubleview",312
"174 Alma Road, North Perth",455
"174 Calais Road, Wembley Downs",1042
"174 Eddystone Avenue, Beldon",717
"174 Heritage Drive, Roleystone",2005
"174 Hubert Street, East Victoria Park",359
"174 Kinross Drive, Kinross",642
"174 River Way, Salter Point",945
"174 Roberts Street, Joondanna",648
"174 Waterhall Road, South Guildford",507
"174A Jersey Street, Wembley",422
"175 Cedric Street, Stirling",657
"175 Collier Road, Embleton",875
"175 Craigie Drive, Beldon",730
"175 Currie Street, Warnbro",699
"175 Ferndale Crescent, Ferndale",995
"175 Honeywood Avenue, Wandi",299
"175 Pearce Street, Sawyers Valley",2010
"175 Sexton Street, Sawyers Valley",2365
"175 Surrey Road, Rivervale",995
"175A Elliott Road, Scarborough",366
"175B Mcdonald Street, Joondanna",337
"176 Coode Street, Bedford",510
"176 Daglish Street, Wembley",671
"176 Douglas Avenue, Kensington",433
"176 ERINDALE Road, Hamersley",720
"176 Gwenyfred Road, Kensington",388
"176 Hampton Road, Beaconsfield",422
"176 Jones Street, Balcatta",627
"176 Pickering Brook Road, Pickering Brook",2000
"176 Seville Drive, Seville Grove",523
"176 Suffolk Street, Caversham",360
"176a Hampton Road, Beaconsfield",414
"177 Acton Avenue, Rivervale",728
"177 Egina Street, Mount Hawthorn",491
"177 Hamilton Street, Queens Park",250
"177 Jersey Street, Wembley",430
"177 Nicholson Road, Lynwood",881
"177 Pomeroy Road, Lesmurdie",1883
"177 Salisbury Street, Bedford",495
"177 The Boulevard, Floreat",930
"177A Eighth Avenue, Inglewood",200
"177A Shaftesbury Avenue, Bedford",531
"178 Cedric Street, Balcatta",751
"178 Douglas Avenue, Kensington",471
"178 Fremantle Road, Gosnells",884
"178 Harrington Waters Drive, Waikiki",512
"178 Kalamunda Road, Gooseberry Hill",2057
"178 Weaponess Road, Wembley Downs",737
"1785 Cook Street, Mount Helena",2002
"178A Calais Road, Wembley Downs",463
"178A Camberwarra Drive, Craigie",341
"178B Alice Street, Doubleview",464
"179 Balfour Street, Huntingdale",607
"179 Bridgewater Drive, Kallaroo",700
"179 Currie Street, Warnbro",668
"179 Manning Road, Bentley",811
"179 Patricia Street, Caversham",711
"179 Sequoia Road, Duncraig",800
"179 Station Street, East Cannington",583
"179 The Boulevard, Floreat",930
"179 Treasure Road, Queens Park",1235
"179 Weaponess Road, Wembley Downs",398
"17A Adamson Road, Brentwood",774
"17a Beach Road, Marmion",493
"17A Blaven Way, Ardross",450
"17A Blythe Avenue, Yokine",600
"17A Boston Court, Woodvale",422
"17A Carcoo Court, Beckenham",337
"17A Chapman Road, St James",289
"17A Collick Street, Hilton",356
"17A Fraser Street, East Fremantle",465
"17A Hawker Avenue, Warwick",939
"17A Isted Avenue, Hamilton Hill",549
"17A Jackson Road, Karawara",545
"17A Lombardy Street, Woodlands",948
"17A Maple Street, Lathlain",530
"17A Mimosa Avenue, Mount Claremont",366
"17A Phillips Court, Kiara",440
"17A Prospect Grove, Heathridge",565
"17A Reddington Way, Brentwood",293
"17A Robin Hood Avenue, Armadale",441
"17A Sedgman Mews, Murdoch",476
"17A Shaw Place, Innaloo",340
"17a Spence Street, Trigg",1061
"17A Streatley Road, Lathlain",570
"17A Valmae Road, Riverton",485
"17A Vervain Way, Riverton",355
"17A View Street, Peppermint Grove",759
"17a Watts Road, Shoalwater",440
"17A Weston Street, Carlisle",442
"17B Anglesey Drive, Kardinya",1280
"17B Burdett Retreat, Murdoch",900
"17B Eureka Road, Wilson",595
"17B Josephine Way, Alexander Heights",467
"17b Jutland Rise, Ocean Reef",1045
"17B Salina Way, Yangebup",225
"17B Sanderson Street, Embleton",330
"17B Sedgman Mews, Murdoch",474
"17B Wyong Road, Bentley",516
"17C Maroog Way, Nollamara",260
"18 Abbeytown Circle, Waikiki",569
"18 Acton Avenue, Bentley",424
"18 Addis Way, Wandi",286
"18 Adora Street, Alexander Heights",741
"18 Alcock Street, Maddington",450
"18 All Saints Way, Churchlands",733
"18 Allanson Retreat, Gwelup",425
"18 Alps Street, Mount Helena",1800
"18 Andrews Way, Herne Hill",819
"18 Annevoie Road, Landsdale",416
"18 Anzac Street, Bayswater",357
"18 Apricot Street, Forrestfield",602
"18 Archer Street, Pearsall",570
"18 Ardmore Parade, Ellenbrook",510
"18 Ardross Street, Seville Grove",680
"18 Arkwell Way, Marmion",720
"18 ASHBY TERRACE, Viveash",809
"18 Ashworth Street, Cloverdale",957
"18 Ashworth Way, Brookdale",522
"18 Atwick Way, Craigie",684
"18 Auckland Way, Hocking",601
"18 Aureate Way, Eglinton",277
"18 Aventurine Way, Byford",541
"18 Avocet Road, Stirling",654
"18 Bailey Place, Beechboro",785
"18 Balboa Row, Willetton",742
"18 Ballina Close, Merriwa",617
"18 Bamlett Street, Mount Nasura",823
"18 Banjong Street, Martin",568
"18 Barang Circuit, Karawara",511
"18 Barbarossa Drive, Caversham",502
"18 Basico Avenue, Sinagra",613
"18 Bateson Heights, Clarkson",624
"18 Bayeux Avenue, Port Kennedy",705
"18 Bayley Street, Woodbridge",919
"18 Beachwood Crescent, Butler",641
"18 BEENAN CLOSE, Karawara",818
"18 Benson Way, High Wycombe",538
"18 Bergalia Mews, Currambine",514
"18 Berlotto Drive, Ashby",608
"18 Beverley Street, Coolbinia",790
"18 Bibbulmun Entrance, Sinagra",540
"18 Bicheno Way, Willetton",680
"18 Bildjar Close, South Guildford",744
"18 Bilkurra Way, Mount Nasura",786
"18 Bingfield Road, Medina",910
"18 Birch Street, Attadale",809
"18 Birdwood Road, Melville",477
"18 Blake Street, North Perth",356
"18 Blay Road, Calista",917
"18 Blissett Way, Hamersley",729
"18 Bluewater Drive, Alkimos",357
"18 Bonnard Crescent, Ashby",570
"18 Bonville Glen, Jandakot",684
"18 Boona Court, Karawara",349
"18 Boxworth Court, Huntingdale",683
"18 Bracken Way, Bibra Lake",706
"18 Bradbourne Drive, Carine",701
"18 Bradbury Way, Samson",711
"18 Brady Road, Jarrahdale",1012
"18 Bramdean Crescent, Canning Vale",601
"18 Bramshott Approach, Butler",576
"18 Brantwood Turn, Wellard",462
"18 Braxan Street, Glen Forrest",1060
"18 Bridgeway Avenue, Ferndale",809
"18 Broad Street, Kensington",430
"18 Brook Road, Darlington",726
"18 Brookes Way, Calista",1642
"18 Brooking Street, South Guildford",401
"18 Brundall Street, Aveley",375
"18 Buckle Street, Balcatta",828
"18 Burndale Road, Mount Richon",2002
"18 Burnett Road, Manning",486
"18 Burtenshaw Way, Calista",946
"18 Cabarita Road, Armadale",698
"18 Cabra Avenue, Seville Grove",662
"18 Caladenia Way, Koongamia",655
"18 Calume Street, Hillman",687
"18 Campbell Way, Parkerville",2101
"18 Campden Loop, Parmelia",582
"18 Canara Road, Westminster",809
"18 Canopus Loop, Hammond Park",452
"18 Carcoo Court, Beckenham",680
"18 Cardigan Terrace, Jolimont",466
"18 Carew Place, Greenwood",1000
"18 Carlin Way, Butler",348
"18 Carnelian Parkway, Caversham",406
"18 Carrello Circuit, Coogee",663
"18 Casino Road, Glen Forrest",1995
"18 Centennial Gardens, Hillarys",778
"18 Cerulean Road, Karnup",450
"18 Cesare Circle, Madeley",612
"18 Cezanne Bend, Ashby",578
"18 Chartwell Bend, Hocking",585
"18 Chelsford Road, Warwick",721
"18 Cheriton Drive, Carramar",549
"18 Chernoff Loop, Darch",201
"18 Cherry Road, Woodlands",726
"18 Chester Road, Claremont",508
"18 Chiara Avenue, Harrisdale",682
"18 Chiswick Street, Wembley Downs",545
"18 Chrysostom Street, North Beach",535
"18 Chullwyne Mews, High Wycombe",600
"18 City Vista, Kalamunda",2001
"18 Cliverton Court, Marmion",721
"18 Coci Road, Balcatta",305
"18 Cockram Place, Beechboro",783
"18 Coldlake Court, Joondalup",846
"18 Colin Road, Scarborough",392
"18 Collie Close, Rockingham",711
"18 Colstoun Road, Ashfield",487
"18 Columbia Crescent, Alkimos",450
"18 Conti Road, Tapping",608
"18 Contour Road, Roleystone",2009
"18 Conway Loop, Waikiki",680
"18 Cook Street, Crawley",683
"18 Cookham Green, Wellard",218
"18 Coorong Street, Yanchep",350
"18 Copeland Drive, Redcliffe",537
"18 Covent Fairway, Pearsall",739
"18 Cricklewood Way, Carine",525
"18 Cygnet Street, Dianella",728
"18 Dacelo Vista, Waterford",506
"18 Darlington Loop, Pearsall",701
"18 Dellavanzo Street, Maddington",796
"18 Denia Rise, Bennett Springs",544
"18 Derricap Avenue, Ellenbrook",495
"18 Derry Avenue, Mount Nasura",1096
"18 Devon Road, Swanbourne",514
"18 Driftwood Avenue, Karrinyup",458
"18 Drummonds Approach, Secret Harbour",708
"18 Duncannon Rise, Mindarie",876
"18 Duranbah Road, Secret Harbour",648
"18 Earlston Place, Booragoon",707
"18 Eden Drive, Bullsbrook",615
"18 EDGBASTON DRIVE, Madeley",586
"18 Edmund Way, Calista",765
"18 Ellement Parade, Coogee",929
"18 Elmwood Crescent, Lesmurdie",1013
"18 Elson Way, Cloverdale",450
"18 Epsom Avenue, Ascot",764
"18 Escalus Street, Coolbellup",842
"18 Essington Street, Huntingdale",793
"18 Eudanda Place, Cannington",689
"18 Ewart Street, Midvale",1052
"18 Eyre Street, Waikiki",544
"18 Fairbairn Road, Coogee",710
"18 Farrin Street, Attadale",900
"18 Fenton Way, Hillarys",683
"18 Ferndown Corner, Wellard",444
"18 Ferry Way, Quinns Rocks",541
"18 Fineview Crescent, Carramar",609
"18 Finn Cove, Ascot",190
"18 Fireball Way, Ocean Reef",901
"18 Firenze Loop, Landsdale",607
"18 Fisherton Circuit, Kinross",637
"18 Flagstaff Road, Landsdale",576
"18 Florence Road, Nedlands",1012
"18 Fontenay Court, Port Kennedy",677
"18 Forward Street, Baldivis",580
"18 Friendly Way, Marangaroo",500
"18 Fulbrooke Loop, Canning Vale",523
"18 Fullston Way, Beaconsfield",223
"18 Galena Way, Ferndale",731
"18 Gallagher Street, Eden Hill",747
"18 Gardon Rise, Gwelup",830
"18 Garnkirk Road, Greenwood",683
"18 Gaskin Road, Kenwick",716
"18 Gausson Turn, Ashby",539
"18 George Street, Kensington",801
"18 Gilbreth Bend, Tapping",572
"18 Gimbon Green, Leda",610
"18 Glanville Street, Mosman Park",328
"18 Gleddon Road, Bull Creek",693
"18 Glenview Way, Southern River",686
"18 Glick Road, Coolbinia",711
"18 Gloucester Road, Kalamunda",1631
"18 Gloves Place, Beechboro",832
"18 Glyde Road, Lesmurdie",1010
"18 Golden Ash Gardens, Helena Valley",662
"18 Goldfinch Avenue, Churchlands",800
"18 Goodrich Way, Darch",450
"18 Goongarrie Drive, Waikiki",700
"18 Gordon Street, Maida Vale",815
"18 Grand Paradiso Parade, Merriwa",543
"18 Grasswren Way, Alkimos",375
"18 Gray Court, Hamilton Hill",166
"18 Greenhill Court, Kallaroo",851
"18 Greenough Court, Jane Brook",679
"18 Hackett Street, Bellevue",955
"18 Haddington Street, Beldon",714
"18 Haflinger Drive, Henley Brook",736
"18 Haig Street, Ashfield",566
"18 Hapuna Street, Butler",510
"18 Harbour Town Heights, Connolly",806
"18 Harding Close, Waikiki",480
"18 Harman Street, Belmont",432
"18 Harpenden Street, Huntingdale",685
"18 Harrington Waters Drive, Waikiki",557
"18 Harrisdale Drive, Harrisdale",756
"18 Hazeltine Court, Yanchep",750
"18 Heirisson Way, Victoria Park",222
"18 Helm Street, Maddington",1248
"18 Henley Park Rise, Pearsall",648
"18 Hennessy Drive, Ashby",576
"18 Hickey Avenue, Daglish",630
"18 Hidcote Way, Pearsall",308
"18 Honours Rise, Marangaroo",478
"18 Hooley Street, Swanbourne",592
"18 Horner Way, Herne Hill",809
"18 Hueston Lookout, Leda",510
"18 Hyland Way, Wilson",680
"18 Icterine Road, Eglinton",375
"18 Indle Street, Willagee",767
"18 Indooroopilly Place, Connolly",1058
"18 Inquirer Lane, Stratton",581
"18 Ironbark Terrace, Hammond Park",594
"18 Isaac Way, Calista",850
"18 Ivankovich Avenue, Beeliar",612
"18 Jeffrey Loop, Brookdale",332
"18 Jimbell Street, Mosman Park",770
"18 John Street, Darlington",1663
"18 Joondanna Drive, Joondanna",860
"18 Jordan Street, Haynes",377
"18 Jubaea Gardens, Mount Claremont",482
"18 Kendari Road, Clarkson",465
"18 Kenilworth Street, Maylands",650
"18 Kentia Close, Warnbro",680
"18 Keyes Street, Lathlain",764
"18 Keystone Loop, Secret Harbour",660
"18 Kilborne Avenue, Quinns Rocks",600
"18 King William Street, South Fremantle",595
"18 Kingsland Avenue, City Beach",1174
"18 Kingsley Drive, Kingsley",683
"18 Kingston Heath Mews, Jandakot",755
"18 Kishorn Road, Applecross",1011
"18 La Spezia Drive, Secret Harbour",726
"18 Langham Street, Nedlands",905
"18 Lapage Street, Belmont",759
"18 Lauraine Drive, Harrisdale",496
"18 Lautrec Loop, Ashby",624
"18 Leece Street, Coolbellup",728
"18 Leicester Crescent, Canning Vale",508
"18 Leonidas Road, North Coogee",453
"18 Leopold Street, Nedlands",1019
"18 Leslie Road, Middle Swan",908
"18 Lindsay Way, Padbury",724
"18 Linthorn Crescent, Greenmount",1805
"18 Liriope Parkway, Sinagra",603
"18 Locock Street, Ascot",595
"18 Lookout Vista, Singleton",640
"18 Lowan Loop, Karawara",535
"18 Lucinda Court, Huntingdale",504
"18 Lynn Street, Trigg",574
"18 Macdermott Parade, Darch",640
"18 Madden Place, Huntingdale",710
"18 Mader Road, Mundijong",910
"18 Mallion Street, Embleton",750
"18 Manhattan Avenue, Iluka",770
"18 Mariners View, Mindarie",612
"18 Maritime Terrace, Coogee",901
"18 Markethill Road, Ridgewood",686
"18 Marquis Court, Gosnells",741
"18 Matthews Way, Stoneville",2204
"18 Mattison Way, Greenwood",681
"18 McClure Street, Safety Bay",809
"18 McCormick Street, Warnbro",728
"18 Mcdermott Road, Kwinana Town Centre",203
"18 Mckeown Court, Armadale",727
"18 McKim Street, Canning Vale",731
"18 McPherson Avenue, Clarkson",610
"18 Meadowbrook Boulevard, Dianella",595
"18 Melinga Court, Karawara",258
"18 Meredith Way, Koondoola",688
"18 Mereworth Way, Girrawheen",692
"18 Messina Avenue, Stirling",666
"18 Michael Crescent, Boya",1913
"18 Midgegooroo Street, Ellenbrook",422
"18 Milina Street, Hillman",729
"18 Millimumul Way, Mullaloo",539
"18 Mills Road, Martin",762
"18 Milverton Loop, Leda",593
"18 Minjah Circuit, Carramar",700
"18 Minter Way, Aubin Grove",501
"18 Miramare Boulevard, Currambine",453
"18 Mitchell Street, Wooroloo",2152
"18 Moir Place, Midvale",850
"18 Monet Drive, Ashby",540
"18 Monroe Cross, Aveley",450
"18 Montelimar Elbow, Port Kennedy",700
"18 Montrose Street, Lynwood",873
"18 Mornington Drive, Banksia Grove",603
"18 Morrison Street, Redcliffe",500
"18 Muja Lane, Woodbridge",280
"18 Mulloway Court, Sorrento",744
"18 Mulloway Place, Warnbro",364
"18 Munday Way, Medina",728
"18 Murphy Crescent, Bertram",728
"18 Musgrove Crescent, Boya",1417
"18 Mustang Drive, Henley Brook",544
"18 Mutiny Terrace, Quinns Rocks",561
"18 Narloo Way, Golden Bay",300
"18 Nash Street, Daglish",637
"18 Nasidi Place, Sinagra",581
"18 NEEDLEWOOD RISE, Kenwick",507
"18 Nerang Mews, Merriwa",763
"18 Newmarket Street, Beaconsfield",469
"18 Nightingale Way, Warnbro",501
"18 Nodder Lane, Banksia Grove",160
"18 Nogga Retreat, Beeliar",583
"18 Noora Way, Quinns Rocks",615
"18 Norma Road, Alfred Cove",541
"18 Normandy Parade, Currambine",574
"18 Northcliffe Avenue, Clarkson",434
"18 Novelli Parade, Piara Waters",450
"18 Oakover Street, East Fremantle",674
"18 Oceanic Court, Port Kennedy",692
"18 Old York Road, Greenmount",1596
"18 Oldham Pass, High Wycombe",647
"18 Olding Street, Melville",769
"18 Olive Street, Guildford",307
"18 Ollera Meander, Carramar",603
"18 O'Mara Boulevard, Iluka",360
"18 Omaroo Terrace, City Beach",360
"18 Opal Way, Mount Richon",683
"18 Orchid Street, Joondanna",358
"18 Oriana Place, Currambine",809
"18 Orkney Road, Greenwood",683
"18 Osaka Loop, Hocking",590
"18 Ostling Avenue, Bertram",596
"18 Pardalote Court, Beeliar",384
"18 PARK ROAD, Kenwick",544
"18 Parkfield Boulevard, Bertram",621
"18 Parkhill Way, Wilson",760
"18 Parkin Court, Eden Hill",332
"18 Parkin Way, Marangaroo",537
"18 Parkview Drive, Southern River",375
"18 Parsons Way, Innaloo",398
"18 Partridge Street, Orelia",728
"18 Pasalich Bend, Aveley",700
"18 Patfield Street, Myaree",574
"18 Pavo Close, Rockingham",586
"18 Pavonia Parade, Baldivis",281
"18 Peacock Avenue, Singleton",586
"18 Pearson Street, Ashfield",487
"18 Peoples Avenue, Gooseberry Hill",1207
"18 Perrona Gardens, Mullaloo",906
"18 Persian Grove, Karnup",432
"18 Phar Lap Road, Wattle Grove",582
"18 Piermont Avenue, Burns Beach",544
"18 Pilkington Street, Canning Vale",450
"18 Pinewood Avenue, Woodlands",685
"18 Pleasant Mews, Marangaroo",451
"18 Ploughshare Place, South Lake",723
"18 Plumosa Crescent, Dayton",266
"18 Polyantha Gardens, Mirrabooka",637
"18 Pomarine Drive, Gwelup",214
"18 Ponte Vecchio Boulevard, Ellenbrook",760
"18 Porteous Road, Sorrento",755
"18 Portland Mews, Bennett Springs",600
"18 Portsmouth Place, Waikiki",707
"18 Portsmouth Street, Jindalee",524
"18 Poseidon Road, Byford",502
"18 Powell Crescent, Brookdale",831
"18 Priestley Street, Embleton",728
"18 Princeton Circle, Alexander Heights",502
"18 Priory Road, Maida Vale",852
"18 Putting Green, Maddington",524
"18 PYMORE CRESCENT, Butler",359
"18 Quorn Street, Wembley Downs",606
"18 Radiata Street, Maddington",683
"18 Raeburn Crescent, Landsdale",612
"18 Rainham Avenue, Mindarie",766
"18 Ranthus Avenue, Bennett Springs",510
"18 Redcliffe Street, East Cannington",1280
"18 Reddington Way, Brentwood",412
"18 Redgate Court, Kiara",570
"18 Redmond Street, Salter Point",770
"18 Reen Street, St James",649
"18 Reeve Street, Swanbourne",307
"18 Regatta Boulevard, Champion Lakes",316
"18 Regelia Vista, Beeliar",630
"18 Regina Loop, Currambine",769
"18 Rheingold Place, Mirrabooka",495
"18 Rhine Way, Swan View",258
"18 Richmond Street, North Perth",284
"18 Rickman Street, Balcatta",737
"18 Ridgewood Boulevard, Ridgewood",759
"18 River View Terrace, Mount Pleasant",656
"18 Roberta Street, Daglish",381
"18 Robinson Road, Darlington",2091
"18 Romani Court, Lockridge",468
"18 Romeo Road, Coolbellup",729
"18 Rosaglen Rise, Noranda",761
"18 Rowell Gardens, High Wycombe",503
"18 Roxwell Way, Girrawheen",687
"18 Ruby Way, Maida Vale",611
"18 Rudall Court, Clarkson",715
"18 Rutherford Square, Orelia",684
"18 Sandgate Boulevard, Baldivis",527
"18 Sandilands Circuit, Tapping",603
"18 Sandover Road, Darlington",1930
"18 Sandra Way, Rossmoyne",850
"18 Sarus Rise, Gwelup",533
"18 Scido Rise, Darch",576
"18 Seabird Bend, Jindalee",609
"18 Seafarer Way, Jindalee",639
"18 Seagrove Boulevard, Merriwa",450
"18 Seashells Crescent, Singleton",327
"18 Seeadler Street, Clarkson",240
"18 Sefton Avenue, Viveash",818
"18 Serotina Lane, Aubin Grove",436
"18 Sharach Retreat, Hilbert",2049
"18 Sherwin Rise, Landsdale",573
"18 SHOREHAM TURN, Mindarie",354
"18 Sierra Nevada Ridge, Merriwa",527
"18 Silas Parade, Alkimos",375
"18 Silvereye Court, Beeliar",511
"18 Sittella Gardens, East Cannington",547
"18 Sittella Turn, Joondalup",354
"18 Smoke Bush Way, Ellenbrook",543
"18 Spence Street, Trigg",1062
"18 Spinifex Way, Canning Vale",735
"18 St James Approach, Iluka",727
"18 St Kilda Road, Rivervale",362
"18 Stanford Road, Kallaroo",765
"18 Starlight Pass, Seville Grove",525
"18 Stevens Road, High Wycombe",799
"18 Stirling Close, Swan View",823
"18 Stuart Street, Mosman Park",421
"18 Sullivan Way, Kardinya",717
"18 Sunart Close, Hamersley",465
"18 Susan Road, Madeley",528
"18 Swiftlet Way, Gwelup",678
"18 Swinford Approach, Butler",483
"18 Sylvan Way, Seville Grove",534
"18 Syree Court, Marmion",719
"18 Talbot Road, Swan View",971
"18 Tarn Drive, Canning Vale",468
"18 Tarwarri Close, Hillman",683
"18 Taunton Way, Karrinyup",728
"18 Taylor Street, White Gum Valley",123
"18 Tella Street, Gooseberry Hill",1200
"18 Tenby Close, Merriwa",581
"18 Teneriffe Place, Mirrabooka",675
"18 The Lakes Boulevard, Jandakot",645
"18 The Ramble, Booragoon",713
"18 Third Avenue, Shoalwater",860
"18 Tiller Road, Ocean Reef",770
"18 Tivoli Drive, Stirling",456
"18 Tolbury Retreat, Kiara",466
"18 Toledo Drive, Hocking",600
"18 Townson Place, Leeming",788
"18 Trafalgar Place, Queens Park",380
"18 Triandra Drive, Helena Valley",768
"18 Tullow Gardens, Darch",609
"18 Tyne Crescent, Wanneroo",601
"18 Underwood Grove, Kardinya",683
"18 Vanderlin Crescent, Ridgewood",510
"18 Verona Street, Hocking",585
"18 Victoria Street, Redcliffe",281
"18 Virgilia Terrace, South Lake",766
"18 Vivian Way, Boya",2023
"18 Wagoora Way, Koongamia",716
"18 Wandoo Street, Mount Nasura",966
"18 Waratah Avenue, Dalkeith",1173
"18 Warda Crescent, Forrestfield",692
"18 Warragoon Crescent, Attadale",1096
"18 Warralong Crescent, Coolbinia",880
"18 Waterside Crescent, Gwelup",385
"18 Wattlebird Crescent, Ellenbrook",709
"18 Waverley Road, Coolbellup",728
"18 Waxflower Bend, Huntingdale",533
"18 Waylen Street, Guildford",625
"18 Webb Street, Rossmoyne",850
"18 Wendlebury Way, Eden Hill",695
"18 Wenstead Place, Stratton",531
"18 Wesley Way, Aveley",299
"18 Weston Terrace, Kelmscott",823
"18 Whitehart Entrance, Aveley",630
"18 Whitehaven Avenue, Burns Beach",522
"18 Whitehead Street, Singleton",910
"18 Whitehorses Drive, Burns Beach",601
"18 Whitfeld Terrace, Winthrop",776
"18 Whittome Street, Middle Swan",759
"18 Wicks Street, Eden Hill",691
"18 William Street, Wattle Grove",604
"18 Williamson Avenue, Belmont",845
"18 Willow Bank Entrance, Gwelup",651
"18 Wiltshire Avenue, Thornlie",458
"18 Winchester Place, Ballajura",700
"18 Winmarley Street, Floreat",802
"18 Winston Crescent, Viveash",1031
"18 Winterthur Street, Landsdale",448
"18 Woodbridge Drive, Cooloongup",703
"18 Woolgar Way, Lockridge",724
"18 Woolmore Cross, Atwell",2000
"18 Wordsworth Drive, Darch",612
"18/1 Coojong Link, Success",207
"18/22 Fantail Drive, Bibra Lake",117
"18/5 Shoveler Terrace, Joondalup",127
"180 Bridgewater Drive, Kallaroo",696
"180 Douglas Avenue, Kensington",446
"180 Ferndale Crescent, Ferndale",935
"180 Grosvenor Road, North Perth",575
"180 Honeywood Avenue, Wandi",495
"180 Riseley Street, Booragoon",809
"180 Rutland Avenue, Carlisle",1037
"180 Sydenham Street, Kewdale",500
"180 Thomas Road, Glen Forrest",2001
"180 York Street, Subiaco",203
"180a Alice Street, Doubleview",645
"180A Keymer Street, Belmont",606
"180B Grand Promenade, Doubleview",238
"181 Baltimore Parade, Merriwa",500
"181 Cranleigh Street, Dayton",270
"181 Edgewater Drive, Edgewater",774
"181 Ninth Avenue, Inglewood",721
"181 Railway Road, Gooseberry Hill",1453
"181 Selby Street, Floreat",451
"181 Weaponess Road, Wembley Downs",398
"181A Herbert Street, Doubleview",663
"182 Birkett Street, Dianella",894
"182 Coode Street, Como",708
"182 Labouchere Road, Como",880
"182 Lakey Street, Southern River",685
"182 North Beach Drive, Tuart Hill",376
"182 Rockingham Road, Hamilton Hill",747
"182 Shaftesbury Avenue, Bedford",484
"182 Sunrise Boulevard, Wellard",450
"182 Warton Road, Huntingdale",645
"182a Forest Lakes Drive, Thornlie",722
"183 Ardross Street, Ardross",392
"183 Daglish Street, Wembley",645
"183 Eddystone Avenue, Beldon",704
"183 ERINDALE Road, Hamersley",1014
"183 Ewen Street, Doubleview",394
"183 Lilburne Road, Duncraig",742
"183 Secret Harbour Boulevard, Secret Harbour",691
"183A Gibbs Street, East Cannington",463
"183A Salisbury Street, Bedford",532
"183B Huntriss Road, Doubleview",326
"184 Bennett Springs Drive, Bennett Springs",548
"184 Brenchley Drive, Atwell",578
"184 Currie Street, Warnbro",598
"184 Delgado Parade, Iluka",745
"184 Gaebler Road, Aubin Grove",400
"184 Glen Iris Drive, Jandakot",668
"184 Lagoon Drive, Yanchep",601
"184 Lilburne Road, Duncraig",704
"184A Kent Street, Rockingham",750
"184A Newborough Street, Karrinyup",378
"184a Royal Street, Yokine",394
"184C Mcdonald Street, Joondanna",471
"185 Bailup Road, Wooroloo",2428
"185 Balfour Street, Huntingdale",607
"185 Coolgardie Street, Mundaring",1815
"185 Erindale Road, Hamersley",925
"185 Hamersley Road, Subiaco",440
"185 Mcdonald Street, Joondanna",231
"185 Ravenswood Drive, Westminster",777
"185 Rosebery Street, Bedford",423
"185 St Brigids Terrace, Scarborough",692
"185A Northstead Street, Scarborough",693
"186 Brenchley Drive, Atwell",578
"186 Douglas Avenue, Kensington",470
