ADDRESS,NEAREST_SCH
"17 Negresco Turn, Currambine",LAKE JOONDALUP BAPTIST COLLEGE
"17 New England Drive, Hillarys",ST MARK'S ANGLICAN COMMUNITY SCHOOL
"17 Newport Way, Darch",ASHDALE SECONDARY COLLEGE
"17 Nicholson Loop, Bateman",CORPUS CHRISTI COLLEGE
"17 Ninda Road, Shoalwater",ROCKINGHAM SENIOR HIGH SCHOOL
"17 Nolan Way, Bateman",CORPUS CHRISTI COLLEGE
"17 North Lake Road, Alfred Cove",MELVILLE SENIOR HIGH SCHOOL
"17 Northumberland Avenue, Alexander Heights",MERCY COLLEGE
"17 Northwood Loop, Thornlie",THORNLIE SENIOR HIGH SCHOOL
"17 Nowranie Place, Hillman",KOLBE CATHOLIC COLLEGE
"17 Nunney Road, Orelia",GILMORE COLLEGE
"17 Oakmont Turn, Connolly",BELRIDGE SECONDARY COLLEGE
"17 Oakwood Crescent, Waikiki",SOUTH COAST BAPTIST COLLEGE
"17 Octagon Gardens, Aveley",SWAN VALLEY ANGLICAN COMMUNITY SCHOOL
"17 Ohrid Place, Joondalup",LAKE JOONDALUP BAPTIST COLLEGE
"17 Oleander Way, Kallaroo",ST MARK'S ANGLICAN COMMUNITY SCHOOL
"17 Opperman Place, Middle Swan",SWAN CHRISTIAN COLLEGE
"17 Orara Way, Merriwa",ALKIMOS BAPTIST COLLEGE
"17 Ornata Bend, Banksia Grove",JOSEPH BANKS SECONDARY COLLEGE
"17 Otterden Street, Gosnells",SOUTHERN RIVER COLLEGE
"17 Otunic Way, Madeley",KINGSWAY CHRISTIAN COLLEGE
"17 Ozone Road, Marmion",SACRED HEART COLLEGE
"17 Panarea Crest, Yangebup",DIVINE MERCY COLLEGE
"17 Parker Avenue, Mount Nasura",SOWILO COMMUNITY HIGH SCHOOL
"17 Parkfarm Drive, South Guildford",GUILDFORD GRAMMAR SCHOOL
"17 Pasalich Bend, Aveley",SWAN VALLEY ANGLICAN COMMUNITY SCHOOL
"17 Paul Way, Orelia",GILMORE COLLEGE
"17 Pawlett Way, Karrinyup",CARINE SENIOR HIGH SCHOOL
"17 Penlea Glade, Kiara",KIARA COLLEGE
"17 Pennine Pass, Merriwa",IRENE MCCORMACK CATHOLIC COLLEGE
"17 Persian Street, Eglinton",YANCHEP SECONDARY COLLEGE
"17 Phar Lap Road, Wattle Grove",REHOBOTH CHRISTIAN COLLEGE
"17 Pikes Close, Caversham",KIARA COLLEGE
"17 Pinewood Avenue, Kardinya",KENNEDY BAPTIST COLLEGE
"17 Pinewood Place, Beechboro",KIARA COLLEGE
"17 Pintabona Drive, Sinagra",WANNEROO SECONDARY COLLEGE
"17 Plankton Place, Heathridge",BELRIDGE SECONDARY COLLEGE
"17 Portsea Gardens, Jandakot",LAKELAND SENIOR HIGH SCHOOL
"17 Portsmouth Street, Jindalee",BUTLER COLLEGE
"17 Potter Street, Huntingdale",SOUTHERN RIVER COLLEGE
"17 Pownall Gardens, Churchlands",CHURCHLANDS SENIOR HIGH SCHOOL
"17 Price Parkway, Bertram",THE KING'S COLLEGE
"17 Princess Road, Doubleview",INTERNATIONAL SCHOOL OF WESTERN AUSTRALIA
"17 Privet Pass, Bennett Springs",KIARA COLLEGE
"17 Properjohn Drive, Rockingham",ROCKINGHAM SENIOR HIGH SCHOOL
"17 Pulo Road, Brentwood",ALL SAINTS' COLLEGE
"17 Purdie Avenue, Ardross",APPLECROSS SENIOR HIGH SCHOOL
"17 Purser Cove, Murdoch",CORPUS CHRISTI COLLEGE
"17 Quoll Mews, Alkimos",BUTLER COLLEGE
"17 Quondong Close, Kenwick",REHOBOTH CHRISTIAN COLLEGE
"17 Radiant Glade, Eglinton",YANCHEP SECONDARY COLLEGE
"17 Ragley Way, The Vines",HOLY CROSS COLLEGE
"17 Raine Terrace, Winthrop",CORPUS CHRISTI COLLEGE
"17 Rainsford Way, Parkerville",MUNDARING CHRISTIAN COLLEGE
"17 Raphael Rise, Landsdale",LANDSDALE CHRISTIAN SCHOOL
"17 Recreation Road, Kalamunda",KALAMUNDA SENIOR HIGH SCHOOL
"17 Redbank Drive, Ellenbrook",HOLY CROSS COLLEGE
"17 Redgate Court, Kiara",KIARA COLLEGE
"17 Redheart Road, Carramar",JOSEPH BANKS SECONDARY COLLEGE
"17 Redheart Way, Beeliar",DIVINE MERCY COLLEGE
"17 Reilly Street, Orelia",GILMORE COLLEGE
"17 Ridge Road, Cockburn Central",EMMANUEL CATHOLIC COLLEGE
"17 Riley Road, Kardinya",NORTH LAKE SENIOR CAMPUS
"17 Riversdale Pass, Jandakot",LAKELAND SENIOR HIGH SCHOOL
"17 Robertson Road, Gooseberry Hill",KALAMUNDA SENIOR HIGH SCHOOL
"17 Robin Street, Menora",MOUNT LAWLEY SENIOR HIGH SCHOOL
"17 Ronez Elbow, Merriwa",ALKIMOS BAPTIST COLLEGE
"17 Rosedale Vista, Hocking",ALTA-1
"17 Rosenburg Gardens, Dayton",GOVERNOR STIRLING SENIOR HIGH SCHOOL
"17 Rosetta Street, Bassendean",CYRIL JACKSON SENIOR CAMPUS
"17 Rosslare Promenade, Mindarie",MINDARIE SENIOR COLLEGE
"17 Rotorua Grove, Joondalup",LAKE JOONDALUP BAPTIST COLLEGE
"17 Royston Place, Mount Helena",EASTERN HILLS SENIOR HIGH SCHOOL
"17 Russell Road, Madeley",KINGSWAY CHRISTIAN COLLEGE
"17 Russell Road, Maida Vale",DARLING RANGE SPORTS COLLEGE
"17 Sackville Terrace, Scarborough",ST MARY'S ANGLICAN GIRLS' SCHOOL
"17 Saladin Street, Swanbourne",SCOTCH COLLEGE
"17 Saligna Way, Dayton",GOVERNOR STIRLING SENIOR HIGH SCHOOL
"17 Salisbury Road, Midvale",SWAN VIEW SENIOR HIGH SCHOOL
"17 Salmond Way, Bull Creek",ALL SAINTS' COLLEGE
"17 Sandpiper Street, Sorrento",DUNCRAIG SENIOR HIGH SCHOOL
"17 Santorini Turn, Ellenbrook",ELLENBROOK CHRISTIAN COLLEGE
"17 Sao Vincente Parkway, Secret Harbour",COMET BAY COLLEGE
"17 Sasse Avenue, Mount Hawthorn",BOLD PARK COMMUNITY SCHOOL
"17 Saw Drive, Darlington",TREETOPS MONTESSORI SCHOOL
"17 Scott Street, Guildford",GUILDFORD GRAMMAR SCHOOL
"17 Seabrook Grove, Clarkson",QUINNS BAPTIST COLLEGE
"17 Seagull Way, Yangebup",DIVINE MERCY COLLEGE
"17 Seaton Court, South Guildford",GUILDFORD GRAMMAR SCHOOL
"17 Second Avenue, Rossmoyne",AQUINAS COLLEGE
"17 Sedgeland Way, Ascot",BELMONT CITY COLLEGE
"17 Seurat Loop, Ashby",WANNEROO SECONDARY COLLEGE
"17 Shann Street, Floreat",SHENTON COLLEGE
"17 Shepherd Street, Beaconsfield",FREMANTLE COLLEGE
"17 Shrike Lane, Beeliar",DIVINE MERCY COLLEGE
"17 Sibley Ramble, Baldivis",TRANBY COLLEGE
"17 Silich Court, Mundijong",COURT GRAMMAR SCHOOL
"17 Simmental Vale, Stratton",SWAN VIEW SENIOR HIGH SCHOOL
"17 Simper Crescent, White Gum Valley",FREMANTLE COLLEGE
"17 Sistina Road, Ashby",WANNEROO SECONDARY COLLEGE
"17 Sittella Plaza, Brookdale",DALE CHRISTIAN SCHOOL
"17 St Claire Gardens, Atwell",ATWELL COLLEGE
"17 St Tropez Vista, Ellenbrook",ELLENBROOK CHRISTIAN COLLEGE
"17 St Vincents Avenue, Wembley",BOLD PARK COMMUNITY SCHOOL
"17 Stewart Way, Noranda",MORLEY SENIOR HIGH SCHOOL
"17 Stirling Road, Greenmount",SWAN VIEW SENIOR HIGH SCHOOL
"17 Stitfold Promenade, Salter Point",AQUINAS COLLEGE
"17 Strasbourg Ramble, Port Kennedy",WARNBRO COMMUNITY HIGH SCHOOL
"17 Stringybark Way, Yanchep",YANCHEP SECONDARY COLLEGE
"17 Strombus Way, Heathridge",BELRIDGE SECONDARY COLLEGE
"17 Stylis Place, Bennett Springs",KIARA COLLEGE
"17 Sulman Avenue, Salter Point",AQUINAS COLLEGE
"17 Summerhayes Drive, Karrinyup",ST MARY'S ANGLICAN GIRLS' SCHOOL
"17 Sunshine Way, Burns Beach",YOUTH FUTURES COMMUNITY SCHOOL
"17 Swallow Drive, Yangebup",DIVINE MERCY COLLEGE
"17 Swinford Approach, Butler",BUTLER COLLEGE
"17 Syme Road, Alexander Heights",GIRRAWHEEN SENIOR HIGH SCHOOL
"17 Tallinn Loop, Mindarie",YOUTH FUTURES COMMUNITY SCHOOL
"17 Tapalla Turn, Merriwa",ALKIMOS BAPTIST COLLEGE
"17 Taronga Drive, Kelmscott",JOHN WOLLASTON ANGLICAN COMMUNITY SCHOOL
"17 Teakdale Close, Safety Bay",SAFETY BAY SENIOR HIGH SCHOOL
"17 Terrex Rise, Merriwa",QUINNS BAPTIST COLLEGE
"17 Thackeray Street, Spearwood",PORT SCHOOL
"17 The Boardwalk, Ascot",BELMONT CITY COLLEGE
"17 The Grange, The Vines",HOLY CROSS COLLEGE
"17 Third Avenue, Burns Beach",PRENDIVILLE CATHOLIC COLLEGE
"17 Thongsbridge Street, Menora",MOUNT LAWLEY SENIOR HIGH SCHOOL
"17 Thornbill Loop, Beeliar",DIVINE MERCY COLLEGE
"17 Tibicen Road, Tapping",JOSEPH BANKS SECONDARY COLLEGE
"17 Tillery Way, Secret Harbour",COMET BAY COLLEGE
"17 Tindale Crest, Aveley",SWAN VALLEY ANGLICAN COMMUNITY SCHOOL
"17 Tintern Road, Ashby",WANNEROO SECONDARY COLLEGE
"17 Tivoli Drive, Stirling",SERVITE COLLEGE
"17 Tolbury Retreat, Kiara",KIARA COLLEGE
"17 Tondoon Bend, Aveley",SWAN VALLEY ANGLICAN COMMUNITY SCHOOL
"17 Tottenham Street, Chidlow",EASTERN HILLS SENIOR HIGH SCHOOL
"17 Tralee Way, Waterford",CLONTARF ABORIGINAL COLLEGE
"17 Tratton Street, Balga",JOHN SEPTIMUS ROE ANGLICAN COMMUNITY SCHOOL
"17 Trifund Court, Merriwa",PETER MOYES ANGLICAN COMMUNITY SCHOOL
"17 Trigger Plant Avenue, Ellenbrook",ELLENBROOK SECONDARY COLLEGE
"17 Troy Street, Applecross",APPLECROSS SENIOR HIGH SCHOOL
"17 Tryall Avenue, Port Kennedy",WARNBRO COMMUNITY HIGH SCHOOL
"17 Tulipwood Place, South Lake",LAKELAND SENIOR HIGH SCHOOL
"17 Tullamore Drive, Darch",ASHDALE SECONDARY COLLEGE
"17 Tunnel Road, Swan View",SWAN VIEW SENIOR HIGH SCHOOL
"17 Turnix Road, Gwelup",BALCATTA SENIOR HIGH SCHOOL
"17 Umina Way, Burns Beach",YOUTH FUTURES COMMUNITY SCHOOL
"17 Valentine Road, Kelmscott",SOWILO COMMUNITY HIGH SCHOOL
"17 Valinco Avenue, Ellenbrook",ELLENBROOK CHRISTIAN COLLEGE
"17 Vermont Approach, Hocking",WANNEROO SECONDARY COLLEGE
"17 Veronica Parkway, Stirling",BALCATTA SENIOR HIGH SCHOOL
"17 Vervain Way, Riverton",CLONTARF ABORIGINAL COLLEGE
"17 Vilamour Close, Currambine",PRENDIVILLE CATHOLIC COLLEGE
"17 Violet Grove, Shenton Park",SHENTON COLLEGE
"17 Vitis Chase, Ashby",JOSEPH BANKS SECONDARY COLLEGE
"17 Vivian Way, Boya",TREETOPS MONTESSORI SCHOOL
"17 Wade Street, Gosnells",SOUTHERN RIVER COLLEGE
"17 Wahroonga Way, Greenwood",GREENWOOD COLLEGE
"17 Wangalla Road, Koongamia",SWAN VIEW SENIOR HIGH SCHOOL
"17 Wangoola Terrace, Mount Nasura",JOHN CALVIN CHRISTIAN COLLEGE
"17 WANLISS STREET, Jarrahdale",COURT GRAMMAR SCHOOL
"17 Wardle Road, Beaconsfield",FREMANTLE COLLEGE
"17 Warner Court, Manning",COMO SECONDARY COLLEGE
"17 Warrandyte Drive, Craigie",BELRIDGE SECONDARY COLLEGE
"17 Warrior Pass, Bertram",THE KING'S COLLEGE
"17 Waterlily CLose, Huntingdale",THORNLIE SENIOR HIGH SCHOOL
"17 Watkins Street, Fremantle",FREMANTLE COLLEGE
"17 Waylen Square, Beeliar",DIVINE MERCY COLLEGE
"17 Webb Street, Rossmoyne",ROSSMOYNE SENIOR HIGH SCHOOL
"17 Welara Circle, Henley Brook",ELLENBROOK SECONDARY COLLEGE
"17 Wellesley Way, Samson",SETON CATHOLIC COLLEGE
"17 Wescap Rise, Merriwa",PETER MOYES ANGLICAN COMMUNITY SCHOOL
"17 Westbourne Way, Lynwood",LANGFORD ISLAMIC COLLEGE
"17 Westerway Terrace, North Lake",LEEMING SENIOR HIGH SCHOOL
"17 Whitby Close, Mindarie",YOUTH FUTURES COMMUNITY SCHOOL
"17 Whitney Road, Byford",BYFORD SECONDARY COLLEGE
"17 Wicklow Circle, Darch",KINGSWAY CHRISTIAN COLLEGE
"17 Wilcannia Elbow, Currambine",LAKE JOONDALUP BAPTIST COLLEGE
"17 Wildwood Heights, Leeming",LEEMING SENIOR HIGH SCHOOL
"17 Windsor Avenue, Roleystone",KELMSCOTT SENIOR HIGH SCHOOL
"17 Windsor Place, Kallaroo",ST MARK'S ANGLICAN COMMUNITY SCHOOL
"17 Wingrove Road, Langford",LANGFORD ISLAMIC COLLEGE
"17 Winston Way, Madeley",KINGSWAY CHRISTIAN COLLEGE
"17 Wirilda Crescent, Greenwood",GREENWOOD COLLEGE
"17 Wonil Way, Karawara",CANNING COLLEGE
"17 Woodcroft Place, Mount Richon",ARMADALE SENIOR HIGH SCHOOL
"17 Woodrush Way, Canning Vale",CANNING VALE COLLEGE
"17 Woodview Retreat, Caversham",KIARA COLLEGE
"17 Woolgar Way, Lockridge",KIARA COLLEGE
"17 Woolowra Road, Greenmount",SWAN VIEW SENIOR HIGH SCHOOL
"17 Wooramel Street, Heathridge",PRENDIVILLE CATHOLIC COLLEGE
"17 Worrell Avenue, High Wycombe",DARLING RANGE SPORTS COLLEGE
"17 Wundu Entrance, South Guildford",GUILDFORD GRAMMAR SCHOOL
"17 YALLUP PLACE, Cannington",ST NORBERT COLLEGE
"17/1 Riverside Road, East Fremantle",JOHN CURTIN COLLEGE OF THE ARTS
"17/11 Elvire Street, Viveash",LA SALLE COLLEGE
"17/5 Isoodon Street, Dayton",KIARA COLLEGE
"170 Broome Street, Cottesloe",PRESBYTERIAN LADIES COLLEGE
"170 Camberwarra Drive, Craigie",BELRIDGE SECONDARY COLLEGE
"170 Glen Forrest Drive, Glen Forrest",HELENA COLLEGE
"170 Glen Iris Drive, Jandakot",LAKELAND SENIOR HIGH SCHOOL
"170 Samuel Street, Mount Helena",EASTERN HILLS SENIOR HIGH SCHOOL
"170 Shaftesbury Avenue, Bedford",CHISHOLM CATHOLIC COLLEGE
"170 Southacre Drive, Canning Vale",CANNING VALE COLLEGE
"170 Treasure Road, Queens Park",ST NORBERT COLLEGE
"170 Westminster Street, East Victoria Park",KENT STREET SENIOR HIGH SCHOOL
"170A Baden Street, Joondanna",SERVITE COLLEGE
"170A Flamborough Street, Doubleview",INTERNATIONAL SCHOOL OF WESTERN AUSTRALIA
"170B Railway Parade, Queens Park",ST NORBERT COLLEGE
"171 Balfour Street, Huntingdale",SOUTHERN RIVER COLLEGE
"171 Leake Street, Belmont",BELMONT CITY COLLEGE
"171 Stevens Street, White Gum Valley",FREMANTLE COLLEGE
"172 Carmel Road, Carmel",CARMEL ADVENTIST COLLEGE
"172 Douglas Avenue, Kensington",WESLEY COLLEGE
"172 Jersey Street, Wembley",BOLD PARK COMMUNITY SCHOOL
"172 Lakey Street, Southern River",PROVIDENCE CHRISTIAN COLLEGE
"172 Morrison Road, Midvale",YOUTH FUTURES COMMUNITY SCHOOL
"172 Onslow Road, Shenton Park",SHENTON COLLEGE
"172 Planet Street, Carlisle",AUSTRALIAN ISLAMIC COLLEGE - KEWDALE
"172 Treasure Road, Queens Park",ST NORBERT COLLEGE
"172 Woodside Street, Doubleview",INTERNATIONAL SCHOOL OF WESTERN AUSTRALIA
"172C Odin Road, Innaloo",BALCATTA SENIOR HIGH SCHOOL
"173 Bertram Road, Bertram",THE KING'S COLLEGE
"173 Daglish Street, Wembley",BOLD PARK COMMUNITY SCHOOL
"173 Huntriss Road, Doubleview",INTERNATIONAL SCHOOL OF WESTERN AUSTRALIA
"173 Shaftesbury Avenue, Bedford",CHISHOLM CATHOLIC COLLEGE
"173 St Stephens Crescent, Tapping",JOSEPH BANKS SECONDARY COLLEGE
"173 Station Street, East Cannington",SEVENOAKS SENIOR COLLEGE
"1735 Cook Street, Mount Helena",EASTERN HILLS SENIOR HIGH SCHOOL
"173B Herbert Street, Doubleview",INTERNATIONAL SCHOOL OF WESTERN AUSTRALIA
"174 Alma Road, North Perth",ARANMORE CATHOLIC COLLEGE
"174 Calais Road, Wembley Downs",HALE SCHOOL
"174 Eddystone Avenue, Beldon",BELRIDGE SECONDARY COLLEGE
"174 Heritage Drive, Roleystone",SOUTHERN HILLS CHRISTIAN COLLEGE
"174 Hubert Street, East Victoria Park",KENT STREET SENIOR HIGH SCHOOL
"174 Kinross Drive, Kinross",YOUTH FUTURES COMMUNITY SCHOOL
"174 River Way, Salter Point",AQUINAS COLLEGE
"174 Roberts Street, Joondanna",SERVITE COLLEGE
"174 Waterhall Road, South Guildford",GUILDFORD GRAMMAR SCHOOL
"174A Jersey Street, Wembley",BOLD PARK COMMUNITY SCHOOL
"175 Cedric Street, Stirling",BALCATTA SENIOR HIGH SCHOOL
"175 Collier Road, Embleton",JOHN FORREST SECONDARY COLLEGE
"175 Craigie Drive, Beldon",BELRIDGE SECONDARY COLLEGE
"175 Currie Street, Warnbro",LIVING WATERS LUTHERAN COLLEGE
"175 Ferndale Crescent, Ferndale",FOUNTAIN COLLEGE
"175 Honeywood Avenue, Wandi",ATWELL COLLEGE
"175 Pearce Street, Sawyers Valley",MUNDARING CHRISTIAN COLLEGE
"175 Sexton Street, Sawyers Valley",MUNDARING CHRISTIAN COLLEGE
"175 Surrey Road, Rivervale",ST CLARE'S SCHOOL
"175A Elliott Road, Scarborough",ST MARY'S ANGLICAN GIRLS' SCHOOL
"175B Mcdonald Street, Joondanna",SERVITE COLLEGE
"176 Coode Street, Bedford",JOHN FORREST SECONDARY COLLEGE
"176 Daglish Street, Wembley",BOLD PARK COMMUNITY SCHOOL
"176 Douglas Avenue, Kensington",WESLEY COLLEGE
"176 ERINDALE Road, Hamersley",WARWICK SENIOR HIGH SCHOOL
"176 Gwenyfred Road, Kensington",KENT STREET SENIOR HIGH SCHOOL
"176 Hampton Road, Beaconsfield",FREMANTLE COLLEGE
"176 Jones Street, Balcatta",BALCATTA SENIOR HIGH SCHOOL
"176 Pickering Brook Road, Pickering Brook",CARMEL ADVENTIST COLLEGE
"176 Seville Drive, Seville Grove",CECIL ANDREWS COLLEGE
"176 Suffolk Street, Caversham",GOVERNOR STIRLING SENIOR HIGH SCHOOL
"176a Hampton Road, Beaconsfield",FREMANTLE COLLEGE
"177 Acton Avenue, Rivervale",BELMONT CITY COLLEGE
"177 Egina Street, Mount Hawthorn",SERVITE COLLEGE
"177 Hamilton Street, Queens Park",ST NORBERT COLLEGE
"177 Jersey Street, Wembley",BOLD PARK COMMUNITY SCHOOL
"177 Nicholson Road, Lynwood",LANGFORD ISLAMIC COLLEGE
"177 Pomeroy Road, Lesmurdie",LESMURDIE SENIOR HIGH SCHOOL
"177 Salisbury Street, Bedford",CHISHOLM CATHOLIC COLLEGE
"177 The Boulevard, Floreat",NEWMAN COLLEGE
"177A Eighth Avenue, Inglewood",PERTH COLLEGE
"177A Shaftesbury Avenue, Bedford",JOHN FORREST SECONDARY COLLEGE
"178 Cedric Street, Balcatta",BALCATTA SENIOR HIGH SCHOOL
"178 Douglas Avenue, Kensington",WESLEY COLLEGE
"178 Fremantle Road, Gosnells",THORNLIE SENIOR HIGH SCHOOL
"178 Harrington Waters Drive, Waikiki",SOUTH COAST BAPTIST COLLEGE
"178 Kalamunda Road, Gooseberry Hill",HILLSIDE CHRISTIAN COLLEGE
"178 Weaponess Road, Wembley Downs",HALE SCHOOL
"1785 Cook Street, Mount Helena",EASTERN HILLS SENIOR HIGH SCHOOL
"178A Calais Road, Wembley Downs",HALE SCHOOL
"178A Camberwarra Drive, Craigie",BELRIDGE SECONDARY COLLEGE
"178B Alice Street, Doubleview",INTERNATIONAL SCHOOL OF WESTERN AUSTRALIA
"179 Balfour Street, Huntingdale",SOUTHERN RIVER COLLEGE
"179 Bridgewater Drive, Kallaroo",ST MARK'S ANGLICAN COMMUNITY SCHOOL
"179 Currie Street, Warnbro",LIVING WATERS LUTHERAN COLLEGE
"179 Manning Road, Bentley",CANNING COLLEGE
"179 Patricia Street, Caversham",KIARA COLLEGE
"179 Sequoia Road, Duncraig",CARINE SENIOR HIGH SCHOOL
"179 Station Street, East Cannington",SEVENOAKS SENIOR COLLEGE
"179 The Boulevard, Floreat",NEWMAN COLLEGE
"179 Treasure Road, Queens Park",ST NORBERT COLLEGE
"179 Weaponess Road, Wembley Downs",HALE SCHOOL
"17A Adamson Road, Brentwood",CORPUS CHRISTI COLLEGE
"17a Beach Road, Marmion",SACRED HEART COLLEGE
"17A Blaven Way, Ardross",APPLECROSS SENIOR HIGH SCHOOL
"17A Blythe Avenue, Yokine",CARMEL SCHOOL
"17A Boston Court, Woodvale",WOODVALE SECONDARY COLLEGE
"17A Carcoo Court, Beckenham",SEVENOAKS SENIOR COLLEGE
"17A Chapman Road, St James",CANNING COLLEGE
"17A Collick Street, Hilton",SETON CATHOLIC COLLEGE
"17A Fraser Street, East Fremantle",JOHN CURTIN COLLEGE OF THE ARTS
"17A Hawker Avenue, Warwick",WARWICK SENIOR HIGH SCHOOL
"17A Isted Avenue, Hamilton Hill",PORT SCHOOL
"17A Jackson Road, Karawara",COMO SECONDARY COLLEGE
"17A Lombardy Street, Woodlands",HALE SCHOOL
"17A Maple Street, Lathlain",ST CLARE'S SCHOOL
"17A Mimosa Avenue, Mount Claremont",JOHN XXIII COLLEGE
"17A Phillips Court, Kiara",KIARA COLLEGE
"17A Prospect Grove, Heathridge",MATER DEI COLLEGE
"17A Reddington Way, Brentwood",ALL SAINTS' COLLEGE
"17A Robin Hood Avenue, Armadale",JOHN CALVIN CHRISTIAN COLLEGE
"17A Sedgman Mews, Murdoch",KENNEDY BAPTIST COLLEGE
"17A Shaw Place, Innaloo",INTERNATIONAL SCHOOL OF WESTERN AUSTRALIA
"17a Spence Street, Trigg",ST MARY'S ANGLICAN GIRLS' SCHOOL
"17A Streatley Road, Lathlain",ST CLARE'S SCHOOL
"17A Valmae Road, Riverton",ROSSMOYNE SENIOR HIGH SCHOOL
"17A Vervain Way, Riverton",CLONTARF ABORIGINAL COLLEGE
"17A View Street, Peppermint Grove",PRESBYTERIAN LADIES COLLEGE
"17a Watts Road, Shoalwater",SAFETY BAY SENIOR HIGH SCHOOL
"17A Weston Street, Carlisle",ST CLARE'S SCHOOL
"17B Anglesey Drive, Kardinya",NORTH LAKE SENIOR CAMPUS
"17B Burdett Retreat, Murdoch",CORPUS CHRISTI COLLEGE
"17B Eureka Road, Wilson",CANNING COLLEGE
"17B Josephine Way, Alexander Heights",MERCY COLLEGE
"17b Jutland Rise, Ocean Reef",OCEAN REEF SENIOR HIGH SCHOOL
"17B Salina Way, Yangebup",DIVINE MERCY COLLEGE
"17B Sanderson Street, Embleton",JOHN FORREST SECONDARY COLLEGE
"17B Sedgman Mews, Murdoch",KENNEDY BAPTIST COLLEGE
"17B Wyong Road, Bentley",CANNING COLLEGE
"17C Maroog Way, Nollamara",DIANELLA SECONDARY COLLEGE
"18 Abbeytown Circle, Waikiki",SOUTH COAST BAPTIST COLLEGE
"18 Acton Avenue, Bentley",ST NORBERT COLLEGE
"18 Addis Way, Wandi",ATWELL COLLEGE
"18 Adora Street, Alexander Heights",MERCY COLLEGE
"18 Alcock Street, Maddington",ST FRANCIS' SCHOOL
"18 All Saints Way, Churchlands",CHURCHLANDS SENIOR HIGH SCHOOL
"18 Allanson Retreat, Gwelup",BALCATTA SENIOR HIGH SCHOOL
"18 Alps Street, Mount Helena",EASTERN HILLS SENIOR HIGH SCHOOL
"18 Andrews Way, Herne Hill",SWAN CHRISTIAN COLLEGE
"18 Annevoie Road, Landsdale",LANDSDALE CHRISTIAN SCHOOL
"18 Anzac Street, Bayswater",CYRIL JACKSON SENIOR CAMPUS
"18 Apricot Street, Forrestfield",DARLING RANGE SPORTS COLLEGE
"18 Archer Street, Pearsall",ALTA-1
"18 Ardmore Parade, Ellenbrook",HOLY CROSS COLLEGE
"18 Ardross Street, Seville Grove",CECIL ANDREWS COLLEGE
"18 Arkwell Way, Marmion",SACRED HEART COLLEGE
"18 ASHBY TERRACE, Viveash",LA SALLE COLLEGE
"18 Ashworth Street, Cloverdale",BELMONT CITY COLLEGE
"18 Ashworth Way, Brookdale",DALE CHRISTIAN SCHOOL
"18 Atwick Way, Craigie",BELRIDGE SECONDARY COLLEGE
"18 Auckland Way, Hocking",WANNEROO SECONDARY COLLEGE
"18 Aureate Way, Eglinton",YANCHEP SECONDARY COLLEGE
"18 Aventurine Way, Byford",BYFORD SECONDARY COLLEGE
"18 Avocet Road, Stirling",BALCATTA SENIOR HIGH SCHOOL
"18 Bailey Place, Beechboro",KIARA COLLEGE
"18 Balboa Row, Willetton",WILLETTON SENIOR HIGH SCHOOL
"18 Ballina Close, Merriwa",ALKIMOS BAPTIST COLLEGE
"18 Bamlett Street, Mount Nasura",SOWILO COMMUNITY HIGH SCHOOL
"18 Banjong Street, Martin",LUMEN CHRISTI COLLEGE
"18 Barang Circuit, Karawara",CLONTARF ABORIGINAL COLLEGE
"18 Barbarossa Drive, Caversham",KIARA COLLEGE
"18 Basico Avenue, Sinagra",WANNEROO SECONDARY COLLEGE
"18 Bateson Heights, Clarkson",CLARKSON COMMUNITY HIGH SCHOOL
"18 Bayeux Avenue, Port Kennedy",LIVING WATERS LUTHERAN COLLEGE
"18 Bayley Street, Woodbridge",GOVERNOR STIRLING SENIOR HIGH SCHOOL
"18 Beachwood Crescent, Butler",BUTLER COLLEGE
"18 BEENAN CLOSE, Karawara",COMO SECONDARY COLLEGE
"18 Benson Way, High Wycombe",YOUTH FUTURES COMMUNITY SCHOOL
"18 Bergalia Mews, Currambine",LAKE JOONDALUP BAPTIST COLLEGE
"18 Berlotto Drive, Ashby",JOSEPH BANKS SECONDARY COLLEGE
"18 Beverley Street, Coolbinia",CARMEL SCHOOL
"18 Bibbulmun Entrance, Sinagra",WANNEROO SECONDARY COLLEGE
"18 Bicheno Way, Willetton",ONESCHOOL GLOBAL WA
"18 Bildjar Close, South Guildford",GUILDFORD GRAMMAR SCHOOL
"18 Bilkurra Way, Mount Nasura",JOHN CALVIN CHRISTIAN COLLEGE
"18 Bingfield Road, Medina",GILMORE COLLEGE
"18 Birch Street, Attadale",SANTA MARIA COLLEGE
"18 Birdwood Road, Melville",MELVILLE SENIOR HIGH SCHOOL
"18 Blake Street, North Perth",MOUNT LAWLEY SENIOR HIGH SCHOOL
"18 Blay Road, Calista",GILMORE COLLEGE
"18 Blissett Way, Hamersley",WARWICK SENIOR HIGH SCHOOL
"18 Bluewater Drive, Alkimos",BUTLER COLLEGE
"18 Bonnard Crescent, Ashby",LAKE JOONDALUP BAPTIST COLLEGE
"18 Bonville Glen, Jandakot",LAKELAND SENIOR HIGH SCHOOL
"18 Boona Court, Karawara",CLONTARF ABORIGINAL COLLEGE
"18 Boxworth Court, Huntingdale",THORNLIE SENIOR HIGH SCHOOL
"18 Bracken Way, Bibra Lake",PERTH WALDORF SCHOOL
"18 Bradbourne Drive, Carine",CARINE SENIOR HIGH SCHOOL
