ADDRESS,YEAR_SOLD
"18 Fineview Crescent, Carramar",2019
"18 Finn Cove, Ascot",2015
"18 Fireball Way, Ocean Reef",2020
"18 Firenze Loop, Landsdale",2019
"18 Fisherton Circuit, Kinross",2018
"18 Flagstaff Road, Landsdale",2020
"18 Florence Road, Nedlands",2017
"18 Fontenay Court, Port Kennedy",2019
"18 Forward Street, Baldivis",2020
"18 Friendly Way, Marangaroo",2017
"18 Fulbrooke Loop, Canning Vale",2020
"18 Fullston Way, Beaconsfield",2018
"18 Galena Way, Ferndale",2015
"18 Gallagher Street, Eden Hill",2017
"18 Gardon Rise, Gwelup",2015
"18 Garnkirk Road, Greenwood",2017
"18 Gaskin Road, Kenwick",2016
"18 Gausson Turn, Ashby",2014
"18 George Street, Kensington",2016
"18 Gilbreth Bend, Tapping",2019
"18 Gimbon Green, Leda",2014
"18 Glanville Street, Mosman Park",2017
"18 Gleddon Road, Bull Creek",2020
"18 Glenview Way, Southern River",2019
"18 Glick Road, Coolbinia",2019
"18 Gloucester Road, Kalamunda",2018
"18 Gloves Place, Beechboro",2016
"18 Glyde Road, Lesmurdie",2020
"18 Golden Ash Gardens, Helena Valley",2017
"18 Goldfinch Avenue, Churchlands",2016
"18 Goodrich Way, Darch",2017
"18 Goongarrie Drive, Waikiki",2019
"18 Gordon Street, Maida Vale",2018
"18 Grand Paradiso Parade, Merriwa",2017
"18 Grasswren Way, Alkimos",2020
"18 Gray Court, Hamilton Hill",2020
"18 Greenhill Court, Kallaroo",2017
"18 Greenough Court, Jane Brook",2015
"18 Hackett Street, Bellevue",2013
"18 Haddington Street, Beldon",2018
"18 Haflinger Drive, Henley Brook",2016
"18 Haig Street, Ashfield",2012
"18 Hapuna Street, Butler",2020
"18 Harbour Town Heights, Connolly",2017
"18 Harding Close, Waikiki",2019
"18 Harman Street, Belmont",2017
"18 Harpenden Street, Huntingdale",2019
"18 Harrington Waters Drive, Waikiki",2017
"18 Harrisdale Drive, Harrisdale",2020
"18 Hazeltine Court, Yanchep",2020
"18 Heirisson Way, Victoria Park",2017
"18 Helm Street, Maddington",2019
"18 Henley Park Rise, Pearsall",2017
"18 Hennessy Drive, Ashby",2014
"18 Hickey Avenue, Daglish",2015
"18 Hidcote Way, Pearsall",2017
"18 Honours Rise, Marangaroo",2019
"18 Hooley Street, Swanbourne",2015
"18 Horner Way, Herne Hill",2012
"18 Hueston Lookout, Leda",2015
"18 Hyland Way, Wilson",2017
"18 Icterine Road, Eglinton",2017
"18 Indle Street, Willagee",2017
"18 Indooroopilly Place, Connolly",2014
"18 Inquirer Lane, Stratton",2014
"18 Ironbark Terrace, Hammond Park",2019
"18 Isaac Way, Calista",2016
"18 Ivankovich Avenue, Beeliar",2020
"18 Jeffrey Loop, Brookdale",2013
"18 Jimbell Street, Mosman Park",2017
"18 John Street, Darlington",2015
"18 Joondanna Drive, Joondanna",2018
"18 Jordan Street, Haynes",2020
"18 Jubaea Gardens, Mount Claremont",2016
"18 Kendari Road, Clarkson",2018
"18 Kenilworth Street, Maylands",2019
"18 Kentia Close, Warnbro",2019
"18 Keyes Street, Lathlain",2015
"18 Keystone Loop, Secret Harbour",2019
"18 Kilborne Avenue, Quinns Rocks",2019
"18 King William Street, South Fremantle",2015
"18 Kingsland Avenue, City Beach",2019
"18 Kingsley Drive, Kingsley",2020
"18 Kingston Heath Mews, Jandakot",2015
"18 Kishorn Road, Applecross",2019
"18 La Spezia Drive, Secret Harbour",2018
"18 Langham Street, Nedlands",2018
"18 Lapage Street, Belmont",2020
"18 Lauraine Drive, Harrisdale",2020
"18 Lautrec Loop, Ashby",2017
"18 Leece Street, Coolbellup",2016
"18 Leicester Crescent, Canning Vale",2019
"18 Leonidas Road, North Coogee",2019
"18 Leopold Street, Nedlands",2018
"18 Leslie Road, Middle Swan",2014
"18 Lindsay Way, Padbury",2020
"18 Linthorn Crescent, Greenmount",2019
"18 Liriope Parkway, Sinagra",2015
"18 Locock Street, Ascot",2014
"18 Lookout Vista, Singleton",2017
"18 Lowan Loop, Karawara",2010
"18 Lucinda Court, Huntingdale",2016
"18 Lynn Street, Trigg",2014
"18 Macdermott Parade, Darch",2020
"18 Madden Place, Huntingdale",2018
"18 Mader Road, Mundijong",2014
"18 Mallion Street, Embleton",2018
"18 Manhattan Avenue, Iluka",2019
"18 Mariners View, Mindarie",2018
"18 Maritime Terrace, Coogee",2018
"18 Markethill Road, Ridgewood",2017
"18 Marquis Court, Gosnells",2018
"18 Matthews Way, Stoneville",2015
"18 Mattison Way, Greenwood",2018
"18 McClure Street, Safety Bay",2020
"18 McCormick Street, Warnbro",2020
"18 Mcdermott Road, Kwinana Town Centre",2013
"18 Mckeown Court, Armadale",2018
"18 McKim Street, Canning Vale",2020
"18 McPherson Avenue, Clarkson",2019
"18 Meadowbrook Boulevard, Dianella",2020
"18 Melinga Court, Karawara",2006
"18 Meredith Way, Koondoola",2013
"18 Mereworth Way, Girrawheen",2017
"18 Messina Avenue, Stirling",2018
"18 Michael Crescent, Boya",2014
"18 Midgegooroo Street, Ellenbrook",2019
"18 Milina Street, Hillman",2018
"18 Millimumul Way, Mullaloo",2016
"18 Mills Road, Martin",2014
"18 Milverton Loop, Leda",2014
"18 Minjah Circuit, Carramar",2019
"18 Minter Way, Aubin Grove",2020
"18 Miramare Boulevard, Currambine",2020
"18 Mitchell Street, Wooroloo",2013
"18 Moir Place, Midvale",2013
"18 Monet Drive, Ashby",2020
"18 Monroe Cross, Aveley",2019
"18 Montelimar Elbow, Port Kennedy",2019
"18 Montrose Street, Lynwood",2015
"18 Mornington Drive, Banksia Grove",2020
"18 Morrison Street, Redcliffe",2015
"18 Muja Lane, Woodbridge",2018
"18 Mulloway Court, Sorrento",2018
"18 Mulloway Place, Warnbro",2017
"18 Munday Way, Medina",2018
"18 Murphy Crescent, Bertram",2018
"18 Musgrove Crescent, Boya",2014
"18 Mustang Drive, Henley Brook",2013
"18 Mutiny Terrace, Quinns Rocks",2020
"18 Narloo Way, Golden Bay",2018
"18 Nash Street, Daglish",2017
"18 Nasidi Place, Sinagra",2014
"18 NEEDLEWOOD RISE, Kenwick",2016
"18 Nerang Mews, Merriwa",2017
"18 Newmarket Street, Beaconsfield",2019
"18 Nightingale Way, Warnbro",2019
"18 Nodder Lane, Banksia Grove",2020
"18 Nogga Retreat, Beeliar",2016
"18 Noora Way, Quinns Rocks",2019
"18 Norma Road, Alfred Cove",2016
"18 Normandy Parade, Currambine",2017
"18 Northcliffe Avenue, Clarkson",2018
"18 Novelli Parade, Piara Waters",2019
"18 Oakover Street, East Fremantle",2019
"18 Oceanic Court, Port Kennedy",2018
"18 Old York Road, Greenmount",2014
"18 Oldham Pass, High Wycombe",2018
"18 Olding Street, Melville",2020
"18 Olive Street, Guildford",2015
"18 Ollera Meander, Carramar",2017
"18 O'Mara Boulevard, Iluka",2019
"18 Omaroo Terrace, City Beach",2017
"18 Opal Way, Mount Richon",2015
"18 Orchid Street, Joondanna",2016
"18 Oriana Place, Currambine",2017
"18 Orkney Road, Greenwood",2018
"18 Osaka Loop, Hocking",2018
"18 Ostling Avenue, Bertram",2016
"18 Pardalote Court, Beeliar",2017
"18 PARK ROAD, Kenwick",2015
"18 Parkfield Boulevard, Bertram",2020
"18 Parkhill Way, Wilson",2016
"18 Parkin Court, Eden Hill",2014
"18 Parkin Way, Marangaroo",2018
"18 Parkview Drive, Southern River",2019
"18 Parsons Way, Innaloo",2019
"18 Partridge Street, Orelia",2016
"18 Pasalich Bend, Aveley",2018
"18 Patfield Street, Myaree",2018
"18 Pavo Close, Rockingham",2020
"18 Pavonia Parade, Baldivis",2020
"18 Peacock Avenue, Singleton",2015
"18 Pearson Street, Ashfield",2018
"18 Peoples Avenue, Gooseberry Hill",2016
"18 Perrona Gardens, Mullaloo",2017
"18 Persian Grove, Karnup",2014
"18 Phar Lap Road, Wattle Grove",2018
"18 Piermont Avenue, Burns Beach",2017
"18 Pilkington Street, Canning Vale",2020
"18 Pinewood Avenue, Woodlands",2018
"18 Pleasant Mews, Marangaroo",2018
"18 Ploughshare Place, South Lake",2016
"18 Plumosa Crescent, Dayton",2018
"18 Polyantha Gardens, Mirrabooka",2015
"18 Pomarine Drive, Gwelup",2018
"18 Ponte Vecchio Boulevard, Ellenbrook",2020
"18 Porteous Road, Sorrento",2018
"18 Portland Mews, Bennett Springs",2014
"18 Portsmouth Place, Waikiki",2019
"18 Portsmouth Street, Jindalee",2018
"18 Poseidon Road, Byford",2020
"18 Powell Crescent, Brookdale",2015
"18 Priestley Street, Embleton",2015
"18 Princeton Circle, Alexander Heights",2017
"18 Priory Road, Maida Vale",2016
"18 Putting Green, Maddington",2017
"18 PYMORE CRESCENT, Butler",2019
"18 Quorn Street, Wembley Downs",2018
"18 Radiata Street, Maddington",2018
"18 Raeburn Crescent, Landsdale",2019
"18 Rainham Avenue, Mindarie",2020
"18 Ranthus Avenue, Bennett Springs",2015
"18 Redcliffe Street, East Cannington",2016
"18 Reddington Way, Brentwood",2018
"18 Redgate Court, Kiara",2015
"18 Redmond Street, Salter Point",2013
"18 Reen Street, St James",2019
"18 Reeve Street, Swanbourne",2016
"18 Regatta Boulevard, Champion Lakes",2012
"18 Regelia Vista, Beeliar",2020
"18 Regina Loop, Currambine",2018
"18 Rheingold Place, Mirrabooka",2016
"18 Rhine Way, Swan View",2018
"18 Richmond Street, North Perth",2020
"18 Rickman Street, Balcatta",2019
"18 Ridgewood Boulevard, Ridgewood",2015
"18 River View Terrace, Mount Pleasant",2020
"18 Roberta Street, Daglish",2014
"18 Robinson Road, Darlington",2016
"18 Romani Court, Lockridge",2016
"18 Romeo Road, Coolbellup",2017
"18 Rosaglen Rise, Noranda",2018
"18 Rowell Gardens, High Wycombe",2018
"18 Roxwell Way, Girrawheen",2019
"18 Ruby Way, Maida Vale",2018
"18 Rudall Court, Clarkson",2020
"18 Rutherford Square, Orelia",2015
"18 Sandgate Boulevard, Baldivis",2020
"18 Sandilands Circuit, Tapping",2017
"18 Sandover Road, Darlington",2019
"18 Sandra Way, Rossmoyne",2018
"18 Sarus Rise, Gwelup",2018
"18 Scido Rise, Darch",2015
"18 Seabird Bend, Jindalee",2016
"18 Seafarer Way, Jindalee",2020
"18 Seagrove Boulevard, Merriwa",2018
"18 Seashells Crescent, Singleton",2017
"18 Seeadler Street, Clarkson",2019
"18 Sefton Avenue, Viveash",2009
"18 Serotina Lane, Aubin Grove",2016
"18 Sharach Retreat, Hilbert",2018
"18 Sherwin Rise, Landsdale",2019
"18 SHOREHAM TURN, Mindarie",2020
"18 Sierra Nevada Ridge, Merriwa",2016
"18 Silas Parade, Alkimos",2020
"18 Silvereye Court, Beeliar",2020
"18 Sittella Gardens, East Cannington",2016
"18 Sittella Turn, Joondalup",2020
"18 Smoke Bush Way, Ellenbrook",2019
"18 Spence Street, Trigg",2014
"18 Spinifex Way, Canning Vale",2020
"18 St James Approach, Iluka",2017
"18 St Kilda Road, Rivervale",2019
"18 Stanford Road, Kallaroo",2016
"18 Starlight Pass, Seville Grove",2017
"18 Stevens Road, High Wycombe",2018
"18 Stirling Close, Swan View",2016
"18 Stuart Street, Mosman Park",2020
"18 Sullivan Way, Kardinya",2017
"18 Sunart Close, Hamersley",2017
"18 Susan Road, Madeley",2017
"18 Swiftlet Way, Gwelup",2020
"18 Swinford Approach, Butler",2019
"18 Sylvan Way, Seville Grove",2018
"18 Syree Court, Marmion",2018
"18 Talbot Road, Swan View",2017
"18 Tarn Drive, Canning Vale",2020
"18 Tarwarri Close, Hillman",2009
"18 Taunton Way, Karrinyup",2020
"18 Taylor Street, White Gum Valley",2016
"18 Tella Street, Gooseberry Hill",2017
"18 Tenby Close, Merriwa",2017
"18 Teneriffe Place, Mirrabooka",2015
"18 The Lakes Boulevard, Jandakot",2015
"18 The Ramble, Booragoon",2016
"18 Third Avenue, Shoalwater",2016
"18 Tiller Road, Ocean Reef",2018
"18 Tivoli Drive, Stirling",2017
"18 Tolbury Retreat, Kiara",2012
"18 Toledo Drive, Hocking",2017
"18 Townson Place, Leeming",2018
"18 Trafalgar Place, Queens Park",2017
"18 Triandra Drive, Helena Valley",2015
"18 Tullow Gardens, Darch",2018
"18 Tyne Crescent, Wanneroo",2020
"18 Underwood Grove, Kardinya",2019
"18 Vanderlin Crescent, Ridgewood",2016
"18 Verona Street, Hocking",2019
"18 Victoria Street, Redcliffe",2017
"18 Virgilia Terrace, South Lake",2015
"18 Vivian Way, Boya",2012
"18 Wagoora Way, Koongamia",2015
"18 Wandoo Street, Mount Nasura",2015
"18 Waratah Avenue, Dalkeith",2016
"18 Warda Crescent, Forrestfield",2019
"18 Warragoon Crescent, Attadale",2018
"18 Warralong Crescent, Coolbinia",2017
"18 Waterside Crescent, Gwelup",2020
"18 Wattlebird Crescent, Ellenbrook",2020
"18 Waverley Road, Coolbellup",2016
"18 Waxflower Bend, Huntingdale",2016
"18 Waylen Street, Guildford",2018
"18 Webb Street, Rossmoyne",2020
"18 Wendlebury Way, Eden Hill",2015
"18 Wenstead Place, Stratton",2015
"18 Wesley Way, Aveley",2020
"18 Weston Terrace, Kelmscott",2019
"18 Whitehart Entrance, Aveley",2020
"18 Whitehaven Avenue, Burns Beach",2016
"18 Whitehead Street, Singleton",2018
"18 Whitehorses Drive, Burns Beach",2020
"18 Whitfeld Terrace, Winthrop",2019
"18 Whittome Street, Middle Swan",2013
"18 Wicks Street, Eden Hill",2019
"18 William Street, Wattle Grove",2018
"18 Williamson Avenue, Belmont",2016
"18 Willow Bank Entrance, Gwelup",2020
"18 Wiltshire Avenue, Thornlie",2019
"18 Winchester Place, Ballajura",2019
"18 Winmarley Street, Floreat",2019
"18 Winston Crescent, Viveash",2011
"18 Winterthur Street, Landsdale",2020
"18 Woodbridge Drive, Cooloongup",2019
"18 Woolgar Way, Lockridge",2015
"18 Woolmore Cross, Atwell",2017
"18 Wordsworth Drive, Darch",2016
"18/1 Coojong Link, Success",2018
"18/22 Fantail Drive, Bibra Lake",2015
"18/5 Shoveler Terrace, Joondalup",2019
"180 Bridgewater Drive, Kallaroo",2017
"180 Douglas Avenue, Kensington",2016
"180 Ferndale Crescent, Ferndale",2015
"180 Grosvenor Road, North Perth",2020
"180 Honeywood Avenue, Wandi",2017
"180 Riseley Street, Booragoon",2017
"180 Rutland Avenue, Carlisle",2018
"180 Sydenham Street, Kewdale",2018
"180 Thomas Road, Glen Forrest",2013
"180 York Street, Subiaco",2018
"180a Alice Street, Doubleview",2020
"180A Keymer Street, Belmont",2018
"180B Grand Promenade, Doubleview",2019
"181 Baltimore Parade, Merriwa",2019
"181 Cranleigh Street, Dayton",2016
"181 Edgewater Drive, Edgewater",2019
"181 Ninth Avenue, Inglewood",2018
"181 Railway Road, Gooseberry Hill",2017
"181 Selby Street, Floreat",2018
"181 Weaponess Road, Wembley Downs",2019
"181A Herbert Street, Doubleview",2020
"182 Birkett Street, Dianella",2020
"182 Coode Street, Como",2020
"182 Labouchere Road, Como",2019
"182 Lakey Street, Southern River",2018
"182 North Beach Drive, Tuart Hill",2017
"182 Rockingham Road, Hamilton Hill",2018
"182 Shaftesbury Avenue, Bedford",2017
"182 Sunrise Boulevard, Wellard",2018
"182 Warton Road, Huntingdale",2017
"182a Forest Lakes Drive, Thornlie",2020
"183 Ardross Street, Ardross",2020
"183 Daglish Street, Wembley",2019
"183 Eddystone Avenue, Beldon",2016
"183 ERINDALE Road, Hamersley",2018
"183 Ewen Street, Doubleview",2019
"183 Lilburne Road, Duncraig",2018
"183 Secret Harbour Boulevard, Secret Harbour",2019
"183A Gibbs Street, East Cannington",2016
"183A Salisbury Street, Bedford",2018
"183B Huntriss Road, Doubleview",2018
"184 Bennett Springs Drive, Bennett Springs",2015
"184 Brenchley Drive, Atwell",2019
"184 Currie Street, Warnbro",2018
"184 Delgado Parade, Iluka",2018
"184 Gaebler Road, Aubin Grove",2016
"184 Glen Iris Drive, Jandakot",2015
"184 Lagoon Drive, Yanchep",2020
"184 Lilburne Road, Duncraig",2020
"184A Kent Street, Rockingham",2019
"184A Newborough Street, Karrinyup",2019
"184a Royal Street, Yokine",2018
"184C Mcdonald Street, Joondanna",2016
"185 Bailup Road, Wooroloo",2014
"185 Balfour Street, Huntingdale",2017
"185 Coolgardie Street, Mundaring",2016
"185 Erindale Road, Hamersley",2020
"185 Hamersley Road, Subiaco",2019
"185 Mcdonald Street, Joondanna",2016
"185 Ravenswood Drive, Westminster",2018
"185 Rosebery Street, Bedford",2019
"185 St Brigids Terrace, Scarborough",2019
"185A Northstead Street, Scarborough",2019
"186 Brenchley Drive, Atwell",2017
"186 Douglas Avenue, Kensington",2018
"186 Fendam Street, Warnbro",2020
"186 Glen Iris Drive, Jandakot",2015
"186 Kenwick Road, Kenwick",2020
"186 Smirk Road, Baldivis",2020
"186 Weaponess Road, Wembley Downs",2018
"1865 Kintore Road, Parkerville",2012
"187 Bridgewater Drive, Kallaroo",2018
"187 Currie Street, Warnbro",2018
"187 Edgewater Drive, Edgewater",2017
"187 Fremantle Road, Gosnells",2018
"187 MAIDA VALE ROAD, High Wycombe",2019
"187 Selby Street, Floreat",2018
"187 Winterfold Road, Coolbellup",2016
"188 Eighth Avenue, Inglewood",2017
"188 Empire Avenue, Wembley Downs",2018
"188 Gaebler Road, Aubin Grove",2017
"188 Kenwick Road, Kenwick",2015
"1880 Richardson Road, Parkerville",2017
"188B Kew Street, Kewdale",2020
"189 Bishopsgate Street, Carlisle",2018
"189 Carrington Street, Beaconsfield",2018
"189 Coode Street, Bedford",2017
"189 Hamersley Road, Subiaco",2019
"189 Hampton Road, South Fremantle",2015
"189A Ninth Avenue, Inglewood",2017
"189A South Street, Beaconsfield",2016
"189B Burniston Street, Scarborough",2020
"18A Apollo Way, Carlisle",2017
"18A Ashburton Street, East Victoria Park",2019
"18a Broadway, Embleton",2015
"18A Cromer Road, Brentwood",2017
"18A Davenport Street, Karrinyup",2018
"18A Devon Way, Lynwood",2016
"18A East Street, Guildford",2014
"18A Fantail Way, Huntingdale",2018
"18A First Avenue, Kensington",2017
"18A Gosford Meander, Ashby",2014
"18A Grant Place, Bentley",2016
"18A Hilda Road, Waikiki",2018
"18A Kemp Street, Pearsall",2018
"18A Killilan Road, Applecross",2017
"18a King Albert Road, Trigg",2016
"18A Lagoon Place, Beldon",2020
"18a Latham Street, Alfred Cove",2020
"18A Leverburgh Street, Ardross",2017
"18A Mabena Place, Ocean Reef",2017
"18A Michael Crescent, Boya",2009
"18A Milroy Street, Willagee",2018
"18a Nola Avenue, Scarborough",2020
"18A Noreatt Place, Leeming",2019
"18A Parsons Avenue, Manning",2019
"18a Purkiss Street, Cannington",2016
"18A Queen Street, Bentley",2018
"18A Radney Street, Willagee",2017
"18A Raymond Street, Mount Pleasant",2018
"18A Rome Road, Alfred Cove",2016
"18A Selway Road, Brentwood",2018
"18A Swan Street, Osborne Park",2017
"18a Tulipwood Place, South Lake",2020
"18A Tyre Avenue, Riverton",2018
"18B Aldercress Rise, Connolly",2014
"18B Apollo Way, Carlisle",2017
"18b Beckenham Street, Beckenham",2018
"18B Conon Road, Applecross",2017
"18B Douglas Avenue, Yokine",2020
"18B Dounley Street, Balga",2020
"18b Inwood Place, Murdoch",2015
"18b King Albert Road, Trigg",2015
"18B Margery Road, High Wycombe",2018
"18B Ullapool Road, Mount Pleasant",2020
"18B Warnham Road, Cottesloe",2017
"18b Warringah Close, Kallaroo",2015
"18C Kilmurray Way, Balga",2018
"18C Morley Drive, Tuart Hill",2017
"18C Shoalwater Road, Shoalwater",2018
"18D Rhine Way, Swan View",2017
"18G Wardlow Way, Balga",2020
"19 Aberdare Way, Warwick",2016
"19 Adderley Street, Mount Claremont",2019
"19 Adela Place, Warwick",2015
"19 Aerolite Way, Beldon",2015
"19 Albemarle Way, High Wycombe",2019
"19 All Saints Way, Churchlands",2016
"19 Alsace Avenue, Caversham",2017
"19 Amberton Avenue, Girrawheen",2017
"19 Amherst Road, Woodbridge",2018
"19 Angler Way, Sorrento",2017
"19 Arkwell Way, Marmion",2017
"19 Arley Turn, Canning Vale",2020
"19 Ashbourne Way, Hamilton Hill",2020
"19 Athel Road, Woodlands",2017
"19 Aureate Way, Eglinton",2020
"19 Azalea Gardens, Forrestfield",2019
"19 Babbler Court, Maida Vale",2017
"19 Baden Road, Bickley",2016
"19 Ballard Mews, Success",2019
"19 Barnard Street, Alfred Cove",2017
"19 Barracuda Court, Sorrento",2019
"19 Barton Loop, Piara Waters",2019
"19 Bateman Road, Mount Pleasant",2020
"19 Bates Way, Warnbro",2017
"19 Baton Rouge Drive, Mindarie",2020
"19 Bay View Street, Bayswater",2019
"19 Beacham Crescent, Medina",2016
"19 Beaconsfield Avenue, Midvale",2014
"19 Bearing Parade, Mullaloo",2017
"19 Beaufortia Crescent, Ellenbrook",2020
"19 Beckett Circle, Darch",2020
"19 Beckworth Avenue, Kiara",2019
"19 Bedford Street, Bentley",2016
"19 Begbroke Way, Piara Waters",2018
"19 Belvoir Crescent, Orelia",2015
"19 Bembridge Loop, Hocking",2017
"19 Bendix Way, Girrawheen",2017
"19 Bentley Close, Mount Claremont",2016
"19 Beroona Way, South Lake",2018
"19 Beryl Avenue, Shelley",2017
"19 Bewick Avenue, Yanchep",2018
"19 Bibbulmun Entrance, Sinagra",2014
"19 Biccari Drive, Stirling",2019
"19 Birchwood Avenue, Woodlands",2015
"19 Bodrum Crescent, Mindarie",2018
"19 Bonchester Court, Duncraig",2019
"19 Bondi Street, Mount Hawthorn",2017
"19 Bonnard Crescent, Ashby",2018
"19 Bonnyrigg Pass, Kinross",2018
"19 Boxley Place, Langford",2018
"19 Boynton Gardens, Iluka",2019
"19 Bradford Street, Menora",2014
"19 Bradley Way, Lockridge",2016
"19 Brendon Way, Karrinyup",2018
"19 Bridgedale Close, Beldon",2015
"19 Bristow Street, Haynes",2013
"19 Brookeby Heights, Leda",2015
"19 Brora Grove, Boya",2014
"19 Broula Road, Kalamunda",2019
"19 Brunswick Road, Thornlie",2019
"19 Bryant Avenue, Mosman Park",2017
"19 Bullock Court, Huntingdale",2020
"19 Bunderra Close, Karawara",2011
"19 Burndale Road, Mount Richon",2013
"19 Burns Street, North Fremantle",2016
"19 Burton Retreat, Stratton",2014
"19 Butcher Street, Mundijong",2005
"19 Butterworth Place, Beaconsfield",2019
"19 Buvelot Turn, Southern River",2018
"19 Caledonia Avenue, Currambine",2019
"19 Calendia Way, Dayton",2018
"19 Caliban Way, Coolbellup",2015
"19 Calis Avenue, Iluka",2018
"19 Calla Street, Bennett Springs",2015
"19 Camellia Way, Bennett Springs",2015
"19 Campbell Street, East Cannington",2019
"19 Campbell Way, Parkerville",2017
"19 Camrose Lane, Darch",2016
"19 Carmathen Avenue, Butler",2020
"19 Carmen Circuit, The Vines",2019
"19 Carnaby Way, Harrisdale",2017
"19 Carnarvon Rise, Ocean Reef",2017
"19 Casitas Street, Champion Lakes",2018
"19 Cassidae Terrace, Karrinyup",2018
"19 Cato Place, Lockridge",2015
"19 Cavalier Court, Thornlie",2020
"19 Ceduna Way, Quinns Rocks",2020
"19 Centaur Circle, Woodbridge",2014
"19 Chalcombe Way, Warwick",2019
"19 Champaigne Drive, Tapping",2020
"19 Chase Court, Woodvale",2019
"19 Chateau Court, Mount Richon",2017
"19 Chauvel Court, Kiara",2020
"19 Chenile Mews, Mirrabooka",2015
"19 Chungking Grove, Stratton",2020
"19 Clanmel Road, Floreat",2019
"19 Clayden Street, Wooroloo",2016
"19 Clovelly Crescent, Lynwood",2015
"19 Cobby Place, Marangaroo",2019
"19 Cobden Street, Bayswater",2019
"19 Coci Road, Balcatta",2017
"19 Cockman Way, Orelia",2019
"19 Cohn Court, Willagee",2017
"19 Coleridge Place, North Lake",2006
"19 Collaroy Court, Kallaroo",2020
"19 Collier Street, Wembley",2018
"19 Colwyn Road, Bayswater",2019
"19 Coneflower Corner, Churchlands",2015
"19 Congdon Way, Booragoon",2016
"19 Constance Street, Darlington",2018
"19 Coolbarro Lane, Redcliffe",2017
"19 Cornish Crescent, Manning",2019
"19 Cotswold Parade, Aubin Grove",2016
"19 Cowper Street, Parkwood",2020
"19 Craighall Turn, Madeley",2018
"19 Criterium Place, Middle Swan",2015
"19 Crown Terrace, Coogee",2015
"19 Culloden Road, Duncraig",2020
"19 Dakin Street, Daglish",2015
"19 Daleview Close, Glen Forrest",2013
"19 Dalzell Turn, Kinross",2018
"19 Danbulla Loop, Yanchep",2019
"19 Danja Rise, Hocking",2016
"19 Darkin Drive, Gosnells",2018
"19 Darling Street, White Gum Valley",2018
"19 Dawson Street, Armadale",2019
"19 Daylesford Elbow, Jane Brook",2017
"19 Desert Ash Place, Helena Valley",2018
"19 Devereux Crescent, Aveley",2018
"19 Dilkera Place, Quinns Rocks",2020
"19 Diosma Way, Forrestfield",2020
"19 Dolphin Way, Beldon",2020
"19 Donatti Retreat, Caversham",2017
"19 Downhill Way, Langford",2015
"19 Downing Crescent, Wanneroo",2019
"19 Dryandra Crescent, Darlington",2016
"19 Dryandra Drive, Mirrabooka",2015
"19 Duncan Place, Mahogany Creek",2016
"19 Earl Street, Bentley",2019
"19 Eastwood Way, Hamersley",2020
"19 Ecton Street, Gosnells",2020
"19 Edmund Way, Calista",2013
"19 Edward Street, Queens Park",2016
"19 Elemi Bend, Atwell",2018
"19 Ellesmere Road, Swan View",2020
"19 Elma Street, Coolbinia",2017
"19 ELYARD CRESCENT, Stirling",2019
"19 Eradu Ramble, Hocking",2017
"19 Errina Road, Alexander Heights",2017
"19 Esmerelda Pass, Darch",2017
"19 Eucla Mews, Stratton",2016
"19 Eucumbene Crescent, Joondalup",2019
"19 Evington Pass, Landsdale",2019
"19 Ewart Street, Midvale",2015
"19 Exmouth Drive, Butler",2019
"19 Fairland Loop, Madeley",2018
"19 Farrier Terrace, Henley Brook",2014
"19 Feathertop Rise, Alexander Heights",2018
"19 Ferrar Street, Menora",2013
"19 Fifth Avenue, Bassendean",2020
"19 Fionn Street, Hamersley",2018
"19 First Avenue, Bickley",2014
"19 First Avenue, Shoalwater",2017
"19 Fitzpatrick Way, Noranda",2016
"19 Fleet Circle, High Wycombe",2019
"19 Fleming Parkway, Clarkson",2018
"19 Floresta Street, Sinagra",2018
"19 Forge Lane, Henley Brook",2013
"19 Foxfield Road, Darch",2015
"19 Frankland Place, Jane Brook",2019
"19 Frederic Street, Koongamia",2014
"19 Freeth Court, Brentwood",2020
"19 Furnivall Parade, Baldivis",2020
"19 Galaxy Way, Carlisle",2017
"19 Gamin Vista, Aveley",2019
"19 Garvey Street, Cloverdale",2017
"19 Geranium Place, Canning Vale",2020
"19 Gillings Parade, Wattle Grove",2017
"19 Gladstone Avenue, Swan View",2020
"19 Glen Iris Drive, Jandakot",2020
"19 Glenfine Way, Carramar",2017
"19 Glengarry Street, Parkwood",2016
"19 Glenmere Road, Warwick",2015
"19 Glenten Way, Ferndale",2016
"19 Gloster Loop, Brookdale",2016
"19 Goldsbrough Entrance, Helena Valley",2016
"19 Gowther Street, Leeming",2020
"19 Grace Pass, Bennett Springs",2016
"19 Graham Road, Gooseberry Hill",2014
"19 Graham Road, Menora",2009
"19 Grenache Crescent, Caversham",2016
"19 Grenoble Street, Piara Waters",2018
"19 Grose Way, Noranda",2019
"19 Gundaring Turn, Canning Vale",2020
"19 Hackett Street, Bellevue",2017
"19 Haga Parkway, Landsdale",2020
"19 Haig Street, Ashfield",2016
"19 Haldane Link, Baldivis",2020
"19 Halleendale Road, Walliston",2012
"19 Hallstrom Way, Canning Vale",2020
"19 Hampshire Street, East Victoria Park",2019
"19 Harding Street, Hilbert",2016
"19 Harford Avenue, Viveash",2010
"19 Harford Grove, Yanchep",2018
"19 Harrow Street, Mount Hawthorn",2019
