"address","year_sold","bedrooms","land_area","price"
"17 Mader Road, Mundijong",2020,4,800,370000
"17 Mal Bay Court, Mindarie",2019,4,588,515000
"17 Mallee Way, Gwelup",2017,5,420,900000
"17 Malone Street, Willagee",2019,5,493,585000
"17 MANAKOORA RISE, Sorrento",2018,5,834,1320000
"17 Mandarin Court, Craigie",2017,3,758,478000
"17 Manhattan Concourse, Hilbert",2016,4,527,525000
"17 Marbella Avenue, Seville Grove",2017,4,662,450000
"17 March Street, Gwelup",2016,2,856,470000
"17 marigold Place, Yangebup",2020,4,701,458000
"17 Marmion Street, Kelmscott",2019,3,809,265000
"17 Marquis Street, Mount Helena",2016,4,1740,520000
"17 Marriott Road, Boya",2009,3,1069,397000
"17 Marsden Way, Padbury",2020,3,456,525000
"17 Maxwell Street, Serpentine",2014,2,2029,393000
"17 Maxworthy Place, Hamilton Hill",2018,3,464,355000
"17 Mccallum Parkway, Bertram",2017,4,441,347000
"17 Mccullock Rise, Bull Creek",2018,4,851,1100000
"17 Mcdermott Road, Kwinana Town Centre",2016,3,202,243750
"17 Mckay Court, Bibra Lake",2016,3,792,452222
"17 McLarty Street, Cloverdale",2019,4,989,495000
"17 McMahon Way, Samson",2012,3,717,475000
"17 Meelup Way, Ridgewood",2020,4,706,387000
"17 Melissa Street, Duncraig",2018,3,680,595000
"17 Menora Loop, Warnbro",2019,3,500,260000
"17 MERIDA TURN, Seville Grove",2018,4,602,360000
"17 Meridian Drive, Mullaloo",2017,3,762,490000
"17 Mesa Link, Baldivis",2020,4,715,559000
"17 Michael Crescent, Boya",2009,4,1983,385000
"17 Michael Street, Beaconsfield",2017,3,766,720000
"17 Millar Road, North Beach",2019,4,103,765000
"17 Mimbalup Close, Hillman",2013,3,526,345000
"17 MIMICA Street, Dayton",2016,3,213,345000
"17 Mirria Way, Mount Nasura",2019,3,694,410000
"17 Mitchell Street, Wooroloo",2015,4,2100,448000
"17 Monet Drive, Ashby",2017,4,558,500000
"17 Mons Street, Ashfield",2009,3,533,430000
"17 Moonlight Cove, Brentwood",2017,4,512,860000
"17 Moran Close, Bull Creek",2017,4,880,970000
"17 Morgan Road, Redcliffe",2020,3,465,440000
"17 Mudalla Way, Koongamia",2012,3,711,310000
"17 Mulligan Way, Orelia",2017,3,726,315000
"17 Munsie Avenue, Daglish",2014,3,629,1300000
"17 Murchison Drive, Jane Brook",2015,4,735,575000
"17 Murchison Street, Coolbinia",2011,3,840,1195000
"17 Mustang Drive, Henley Brook",2014,4,629,493000
"17 Nambucca Way, Secret Harbour",2019,3,360,370000
"17 Nance Street, Kewdale",2018,3,697,391000
"17 Nanika Crescent, Joondalup",2019,5,789,504210
"17 Navy Court, Quinns Rocks",2018,4,475,295000
"17 New England Drive, Hillarys",2019,4,786,1000000
"17 Newport Way, Darch",2020,4,684,523000
"17 Nicholson Loop, Bateman",2017,4,700,670000
"17 Nolan Way, Bateman",2020,3,850,886000
"17 North Lake Road, Alfred Cove",2017,3,505,600000
"17 Northumberland Avenue, Alexander Heights",2017,4,689,410000
"17 Northwood Loop, Thornlie",2018,4,420,480000
"17 Nowranie Place, Hillman",2011,4,1000,347500
"17 Oakmont Turn, Connolly",2019,4,719,600000
"17 Oakwood Crescent, Waikiki",2018,3,620,275000
"17 Ohrid Place, Joondalup",2018,4,711,580000
"17 Oleander Way, Kallaroo",2019,3,685,650000
"17 Opperman Place, Middle Swan",2017,3,576,310000
"17 Orara Way, Merriwa",2018,3,463,305000
"17 Ornata Bend, Banksia Grove",2017,4,623,370000
"17 Otterden Street, Gosnells",2019,3,819,280000
"17 Otunic Way, Madeley",2017,4,504,635000
"17 Ozone Road, Marmion",2013,5,589,800000
"17 Parker Avenue, Mount Nasura",2016,5,810,462000
"17 Parkfarm Drive, South Guildford",2020,3,536,721000
"17 Pasalich Bend, Aveley",2018,4,709,525000
"17 Pawlett Way, Karrinyup",2020,4,810,948000
"17 Pennine Pass, Merriwa",2017,3,522,312500
"17 Persian Street, Eglinton",2017,3,255,340000
"17 Phar Lap Road, Wattle Grove",2019,4,525,445000
"17 Pikes Close, Caversham",2016,4,488,340000
"17 Pinewood Avenue, Kardinya",2019,3,729,570000
"17 Pintabona Drive, Sinagra",2014,4,549,480000
"17 Plankton Place, Heathridge",2017,2,683,410000
"17 Portsea Gardens, Jandakot",2015,4,510,587000
"17 Portsmouth Street, Jindalee",2019,4,540,605000
"17 Potter Street, Huntingdale",2016,4,616,450000
"17 Price Parkway, Bertram",2016,4,400,360000
"17 Princess Road, Doubleview",2018,4,645,1025000
"17 Privet Pass, Bennett Springs",2015,4,400,287000
"17 Properjohn Drive, Rockingham",2018,5,871,590000
"17 Pulo Road, Brentwood",2018,3,810,1430000
"17 Purdie Avenue, Ardross",2018,4,728,1430000
"17 Purser Cove, Murdoch",2012,4,916,550000
"17 Quoll Mews, Alkimos",2019,3,300,368000
"17 Quondong Close, Kenwick",2018,4,568,315000
"17 Ragley Way, The Vines",2019,4,730,500000
"17 Raine Terrace, Winthrop",2015,4,712,845000
"17 Rainsford Way, Parkerville",2015,4,2275,627500
"17 Raphael Rise, Landsdale",2020,4,480,575000
"17 Recreation Road, Kalamunda",2020,3,1007,612000
"17 Redbank Drive, Ellenbrook",2020,4,510,405000
"17 Redgate Court, Kiara",2012,3,576,370000
"17 Redheart Road, Carramar",2018,5,1000,865000
"17 Redheart Way, Beeliar",2019,4,510,610000
"17 Reilly Street, Orelia",2015,3,640,300000
"17 Ridge Road, Cockburn Central",2014,4,666,512000
"17 Riley Road, Kardinya",2019,5,939,1070000
"17 Riversdale Pass, Jandakot",2015,4,452,525000
"17 Robertson Road, Gooseberry Hill",2014,3,2058,765000
"17 Robin Street, Menora",2014,3,956,1200000
"17 Ronez Elbow, Merriwa",2016,4,732,355000
"17 Rosedale Vista, Hocking",2017,4,580,530000
"17 Rosenburg Gardens, Dayton",2017,4,574,515000
"17 Rosslare Promenade, Mindarie",2020,3,367,705000
"17 Rotorua Grove, Joondalup",2020,3,800,489000
"17 Royston Place, Mount Helena",2015,4,2003,650000
"17 Russell Road, Madeley",2020,3,618,427000
"17 Russell Road, Maida Vale",2017,4,606,440000
"17 Sackville Terrace, Scarborough",2019,3,249,625000
"17 Saladin Street, Swanbourne",2016,5,815,1450000
"17 Saligna Way, Dayton",2015,4,416,505000
"17 Salisbury Road, Midvale",2013,4,739,375000
"17 Salmond Way, Bull Creek",2016,4,697,845500
"17 Sandpiper Street, Sorrento",2018,4,700,808000
"17 Santorini Turn, Ellenbrook",2020,4,480,442500
"17 Sao Vincente Parkway, Secret Harbour",2019,5,709,530000
"17 Sasse Avenue, Mount Hawthorn",2020,2,479,785000
"17 Saw Drive, Darlington",2020,4,2274,995000
"17 Scott Street, Guildford",2018,3,543,660000
"17 Seabrook Grove, Clarkson",2020,3,603,230000
"17 Seagull Way, Yangebup",2020,4,700,430000
"17 Seaton Court, South Guildford",2016,3,577,595000
"17 Second Avenue, Rossmoyne",2020,4,826,1175000
"17 Sedgeland Way, Ascot",2015,5,359,890000
"17 Seurat Loop, Ashby",2015,5,608,586000
"17 Shepherd Street, Beaconsfield",2017,4,556,855000
"17 Shrike Lane, Beeliar",2017,3,383,620000
"17 Silich Court, Mundijong",2011,4,900,420000
"17 Simper Crescent, White Gum Valley",2020,4,445,760000
"17 Sistina Road, Ashby",2016,4,621,600000
"17 Sittella Plaza, Brookdale",2013,4,606,330000
"17 St Tropez Vista, Ellenbrook",2020,3,300,282000
"17 St Vincents Avenue, Wembley",2019,4,427,1130000
"17 Stewart Way, Noranda",2020,5,714,565000
"17 Stirling Road, Greenmount",2015,3,1489,642000
"17 Stitfold Promenade, Salter Point",2019,4,510,1100000
"17 Stringybark Way, Yanchep",2020,4,516,360000
"17 Strombus Way, Heathridge",2020,4,755,530000
"17 Stylis Place, Bennett Springs",2019,4,496,420000
"17 Summerhayes Drive, Karrinyup",2020,5,800,985000
"17 Sunshine Way, Burns Beach",2018,4,515,810000
"17 Swallow Drive, Yangebup",2018,3,713,430000
"17 Swinford Approach, Butler",2020,4,608,490000
"17 Syme Road, Alexander Heights",2017,4,565,440000
"17 Tallinn Loop, Mindarie",2018,4,576,570000
"17 Tapalla Turn, Merriwa",2016,4,603,386000
"17 Taronga Drive, Kelmscott",2020,3,719,501000
"17 Teakdale Close, Safety Bay",2019,4,854,472000
"17 Terrex Rise, Merriwa",2018,4,718,320000
"17 Thackeray Street, Spearwood",2019,4,804,570000
"17 The Boardwalk, Ascot",2016,3,305,755000
"17 The Grange, The Vines",2019,4,550,690000
"17 Third Avenue, Burns Beach",2020,5,694,1574000
"17 Thornbill Loop, Beeliar",2017,3,449,480000
"17 Tibicen Road, Tapping",2020,4,530,440000
"17 Tillery Way, Secret Harbour",2019,4,640,440000
"17 Tindale Crest, Aveley",2019,4,704,535000
"17 Tintern Road, Ashby",2015,4,555,510000
"17 Tivoli Drive, Stirling",2019,5,501,1385000
"17 Tolbury Retreat, Kiara",2020,5,807,467500
"17 Tondoon Bend, Aveley",2020,4,700,440000
"17 Tottenham Street, Chidlow",2017,3,1461,420000
"17 Tralee Way, Waterford",2014,5,749,880000
"17 Tratton Street, Balga",2019,4,728,335000
"17 Trifund Court, Merriwa",2017,3,605,380000
"17 Trigger Plant Avenue, Ellenbrook",2020,4,686,310000
"17 Troy Street, Applecross",2018,4,790,1205000
"17 Tryall Avenue, Port Kennedy",2020,4,300,290000
"17 Tulipwood Place, South Lake",2018,4,660,475000
"17 Tullamore Drive, Darch",2020,4,480,670000
"17 Tunnel Road, Swan View",2017,4,837,565000
"17 Turnix Road, Gwelup",2019,3,500,860000
"17 Umina Way, Burns Beach",2015,4,603,890000
"17 Valentine Road, Kelmscott",2019,3,1094,289000
"17 Valinco Avenue, Ellenbrook",2020,4,533,350000
"17 Vermont Approach, Hocking",2019,4,609,585000
"17 Veronica Parkway, Stirling",2018,4,495,825000
"17 Vervain Way, Riverton",2018,5,738,1160800
"17 Vilamour Close, Currambine",2016,4,831,580000
"17 Violet Grove, Shenton Park",2018,3,432,1265000
"17 Vitis Chase, Ashby",2014,3,246,480000
"17 Vivian Way, Boya",2018,3,2025,850000
"17 Wade Street, Gosnells",2018,4,810,345000
"17 Wahroonga Way, Greenwood",2018,4,684,545000
"17 Wangalla Road, Koongamia",2012,3,796,370000
"17 Wangoola Terrace, Mount Nasura",2015,3,700,430000
"17 WANLISS STREET, Jarrahdale",2014,4,1100,420000
"17 Wardle Road, Beaconsfield",2018,4,928,825000
"17 Warner Court, Manning",2017,4,509,750000
"17 Warrandyte Drive, Craigie",2017,4,704,490000
"17 Warrior Pass, Bertram",2016,4,429,425000
"17 Waterlily CLose, Huntingdale",2015,4,538,430000
"17 Watkins Street, Fremantle",2018,3,579,860000
"17 Waylen Square, Beeliar",2019,4,741,470000
"17 Webb Street, Rossmoyne",2014,3,850,885000
"17 Welara Circle, Henley Brook",2016,4,554,470000
"17 Wellesley Way, Samson",2009,3,750,410000
"17 Wescap Rise, Merriwa",2018,4,759,385000
"17 Westbourne Way, Lynwood",2015,4,832,490000
"17 Westerway Terrace, North Lake",2013,4,631,850000
"17 Whitby Close, Mindarie",2019,4,457,500000
"17 Whitney Road, Byford",2020,3,225,268500
"17 Wicklow Circle, Darch",2015,4,610,770000
"17 Wilcannia Elbow, Currambine",2020,4,559,481000
"17 Wildwood Heights, Leeming",2018,4,749,877000
"17 Windsor Avenue, Roleystone",2016,4,2024,540000
"17 Windsor Place, Kallaroo",2020,3,684,545000
"17 Wingrove Road, Langford",2015,4,514,475000
"17 Winston Way, Madeley",2018,4,640,810000
"17 Wirilda Crescent, Greenwood",2019,3,688,510000
"17 Wonil Way, Karawara",2005,5,550,680000
"17 Woodcroft Place, Mount Richon",2019,4,2104,645000
"17 Woodrush Way, Canning Vale",2019,4,700,725000
"17 Woodview Retreat, Caversham",2016,4,546,410000
"17 Woolgar Way, Lockridge",2014,4,786,405000
"17 Woolowra Road, Greenmount",2015,3,1074,375000
"17 Wooramel Street, Heathridge",2020,4,720,545000
"17 Worrell Avenue, High Wycombe",2020,5,623,595000
"17 Wundu Entrance, South Guildford",2016,5,489,400000
"17 YALLUP PLACE, Cannington",2018,3,263,310000
"18 Darlington Loop, Pearsall",2020,4,701,615000
"17/1 Riverside Road, East Fremantle",2019,3,231,1250000
"17/11 Elvire Street, Viveash",2017,3,223,320000
"17/5 Isoodon Street, Dayton",2019,3,213,269000
"170 Broome Street, Cottesloe",2020,3,655,2300000
"170 Camberwarra Drive, Craigie",2017,4,722,445000
"170 Glen Forrest Drive, Glen Forrest",2020,4,2045,658000
"170 Glen Iris Drive, Jandakot",2014,4,703,650000
"170 Samuel Street, Mount Helena",2014,4,2000,619000
"170 Shaftesbury Avenue, Bedford",2017,3,470,580000
"170 Southacre Drive, Canning Vale",2020,4,624,680000
"170 Westminster Street, East Victoria Park",2020,4,850,390000
"170A Baden Street, Joondanna",2020,2,343,515000
"170A Flamborough Street, Doubleview",2018,3,224,703000
"171 Balfour Street, Huntingdale",2016,4,608,445000
"171 Leake Street, Belmont",2017,3,819,455000
"171 Stevens Street, White Gum Valley",2014,2,974,850000
"172 Carmel Road, Carmel",2009,5,2435,834000
"172 Douglas Avenue, Kensington",2014,3,483,805000
"172 Lakey Street, Southern River",2019,4,648,520000
"172 Morrison Road, Midvale",2015,3,848,380000
"172 Onslow Road, Shenton Park",2016,2,424,915000
"172 Planet Street, Carlisle",2020,3,513,425000
"172 Treasure Road, Queens Park",2017,3,266,375000
"172 Woodside Street, Doubleview",2020,2,338,590000
"172C Odin Road, Innaloo",2018,3,200,487500
"173 Bertram Road, Bertram",2015,4,711,466000
"173 Daglish Street, Wembley",2020,3,645,960000
"173 Shaftesbury Avenue, Bedford",2020,4,984,742000
"173 Station Street, East Cannington",2015,4,635,620000
"1735 Cook Street, Mount Helena",2015,3,2001,495000
"173B Herbert Street, Doubleview",2019,4,312,665000
"174 Calais Road, Wembley Downs",2020,3,1042,1185000
"174 Eddystone Avenue, Beldon",2019,3,717,410000
"174 Heritage Drive, Roleystone",2017,4,2005,620000
"174 Hubert Street, East Victoria Park",2020,3,359,534500
"174 Kinross Drive, Kinross",2018,4,642,520000
"174 River Way, Salter Point",2017,3,945,1500000
"174 Roberts Street, Joondanna",2016,4,648,300000
"174 Waterhall Road, South Guildford",2015,4,507,505000
"175 Cedric Street, Stirling",2018,4,657,775000
"175 Collier Road, Embleton",2017,2,875,500000
"175 Craigie Drive, Beldon",2018,3,730,515000
"175 Currie Street, Warnbro",2019,4,699,300000
"175 Ferndale Crescent, Ferndale",2016,3,995,385000
"175 Honeywood Avenue, Wandi",2019,3,299,385000
"18 Dellavanzo Street, Maddington",2017,3,796,275000
"175 Pearce Street, Sawyers Valley",2011,3,2010,450000
"175 Sexton Street, Sawyers Valley",2015,4,2365,555000
"175 Surrey Road, Rivervale",2019,3,995,715000
"175A Elliott Road, Scarborough",2020,3,366,600000
"175B Mcdonald Street, Joondanna",2016,3,337,655000
"176 Coode Street, Bedford",2017,2,510,530000
"176 Daglish Street, Wembley",2020,3,671,1400000
"176 Douglas Avenue, Kensington",2019,3,433,722000
"176 ERINDALE Road, Hamersley",2016,4,720,518000
"176 Gwenyfred Road, Kensington",2016,3,388,610000
"176 Hampton Road, Beaconsfield",2017,4,422,1200000
"176 Jones Street, Balcatta",2019,4,627,820000
"176 Pickering Brook Road, Pickering Brook",2008,4,2000,640000
"176 Seville Drive, Seville Grove",2018,3,523,280000
"176 Suffolk Street, Caversham",2018,3,360,430000
"177 Acton Avenue, Rivervale",2018,3,728,540000
"177 Egina Street, Mount Hawthorn",2019,2,491,830000
"177 Hamilton Street, Queens Park",2017,3,250,380000
"177 Nicholson Road, Lynwood",2016,3,881,400000
"177 Pomeroy Road, Lesmurdie",2018,4,1883,730000
"177 Salisbury Street, Bedford",2019,3,495,800000
"177 The Boulevard, Floreat",2018,3,930,1425000
"177A Eighth Avenue, Inglewood",2017,3,200,600000
"178 Cedric Street, Balcatta",2019,4,751,723000
"178 Douglas Avenue, Kensington",2017,3,471,741000
"178 Fremantle Road, Gosnells",2020,3,884,289000
"178 Harrington Waters Drive, Waikiki",2020,3,512,432500
"178 Kalamunda Road, Gooseberry Hill",2020,5,2057,680000
"178 Weaponess Road, Wembley Downs",2017,4,737,1065000
"1785 Cook Street, Mount Helena",2014,5,2002,760000
"178A Calais Road, Wembley Downs",2018,3,463,860000
"178A Camberwarra Drive, Craigie",2017,2,341,490000
"179 Balfour Street, Huntingdale",2018,3,607,372000
"179 Bridgewater Drive, Kallaroo",2016,3,700,520000
"179 Currie Street, Warnbro",2020,4,668,330000
"179 Patricia Street, Caversham",2018,4,711,435000
"179 Sequoia Road, Duncraig",2019,4,800,800000
"179 Station Street, East Cannington",2016,4,583,520000
"179 The Boulevard, Floreat",2017,4,930,1400000
"17A Adamson Road, Brentwood",2019,3,774,599000
"17a Beach Road, Marmion",2015,4,493,1430000
"17A Blaven Way, Ardross",2019,4,450,1300000
"17A Blythe Avenue, Yokine",2019,4,600,810000
"17A Boston Court, Woodvale",2017,3,422,550000
"17A Carcoo Court, Beckenham",2017,3,337,312000
"17A Collick Street, Hilton",2017,4,356,639000
"18 Milina Street, Hillman",2018,4,729,275000
"17A Fraser Street, East Fremantle",2017,4,465,926500
"17A Hawker Avenue, Warwick",2015,3,939,475000
"17A Isted Avenue, Hamilton Hill",2018,1,549,528000
"17A Jackson Road, Karawara",2014,4,545,665000
"17A Lombardy Street, Woodlands",2018,4,948,975000
"17A Maple Street, Lathlain",2020,4,530,890000
"17A Mimosa Avenue, Mount Claremont",2018,3,366,900000
"17A Phillips Court, Kiara",2012,3,440,388000
"17A Prospect Grove, Heathridge",2020,3,565,415000
"17A Reddington Way, Brentwood",2014,3,293,645000
"17A Robin Hood Avenue, Armadale",2019,3,441,230000
"17A Sedgman Mews, Murdoch",2015,3,476,600000
"17A Shaw Place, Innaloo",2020,3,340,585000
"17a Spence Street, Trigg",2015,3,1061,910000
"17A Valmae Road, Riverton",2019,3,485,530000
"17A View Street, Peppermint Grove",2014,2,759,2425000
"17a Watts Road, Shoalwater",2017,3,440,482500
"17A Weston Street, Carlisle",2020,4,442,790000
"17B Anglesey Drive, Kardinya",2018,3,1280,499995
"17B Burdett Retreat, Murdoch",2015,4,900,500000
"17B Eureka Road, Wilson",2016,3,595,460000
"17B Josephine Way, Alexander Heights",2019,3,467,320000
"17b Jutland Rise, Ocean Reef",2016,3,1045,660000
"17B Salina Way, Yangebup",2018,3,225,375000
"17B Sanderson Street, Embleton",2015,2,330,535000
"17B Sedgman Mews, Murdoch",2019,3,474,575000
"17B Wyong Road, Bentley",2017,3,516,385000
"17C Maroog Way, Nollamara",2019,3,260,310000
"18 Abbeytown Circle, Waikiki",2020,4,569,468500
"18 Acton Avenue, Bentley",2016,3,424,390000
"18 Addis Way, Wandi",2015,3,286,470000
"18 Adora Street, Alexander Heights",2016,4,741,529000
"18 All Saints Way, Churchlands",2017,4,733,1365000
"18 Allanson Retreat, Gwelup",2018,4,425,790000
"18 Alps Street, Mount Helena",2016,4,1800,525000
"18 Andrews Way, Herne Hill",2020,3,819,405000
"18 Annevoie Road, Landsdale",2019,3,416,465000
"18 Anzac Street, Bayswater",2019,4,357,595000
"18 Apricot Street, Forrestfield",2020,4,602,428000
"18 Archer Street, Pearsall",2017,4,570,580000
"18 Ardmore Parade, Ellenbrook",2019,4,510,355000
"18 Ardross Street, Seville Grove",2020,3,680,285000
"18 Arkwell Way, Marmion",2015,5,720,900000
"18 ASHBY TERRACE, Viveash",2009,3,809,355000
"18 Ashworth Street, Cloverdale",2018,3,957,387000
"18 Ashworth Way, Brookdale",2014,3,522,240000
"18 Atwick Way, Craigie",2017,3,684,420000
"18 Auckland Way, Hocking",2017,4,601,530000
"18 Aureate Way, Eglinton",2020,3,277,287500
"18 Aventurine Way, Byford",2019,4,541,373000
"18 Bailey Place, Beechboro",2017,3,785,320000
"18 Balboa Row, Willetton",2020,4,742,770000
"18 Ballina Close, Merriwa",2017,3,617,320000
"18 Bamlett Street, Mount Nasura",2014,3,823,370000
"18 Banjong Street, Martin",2015,4,568,289000
"18 Barang Circuit, Karawara",2005,5,511,755000
"18 Barbarossa Drive, Caversham",2017,4,502,510000
"18 Basico Avenue, Sinagra",2015,4,613,545000
"18 Bateson Heights, Clarkson",2020,3,624,299000
"18 Bayeux Avenue, Port Kennedy",2020,4,705,632000
"18 Bayley Street, Woodbridge",2015,3,919,420000
"18 Beachwood Crescent, Butler",2019,4,641,498000
"18 BEENAN CLOSE, Karawara",2010,3,818,597000
"18 Benson Way, High Wycombe",2020,4,538,479000
"18 Bergalia Mews, Currambine",2019,3,514,467000
"18 Berlotto Drive, Ashby",2020,4,608,450000
"18 Beverley Street, Coolbinia",2010,3,790,915000
"18 Bibbulmun Entrance, Sinagra",2016,4,540,417000
"18 Bicheno Way, Willetton",2019,4,680,841000
"18 Bildjar Close, South Guildford",2020,4,744,415000
"18 Bilkurra Way, Mount Nasura",2017,4,786,489000
"18 Bingfield Road, Medina",2014,3,910,320000
"18 Birch Street, Attadale",2018,4,809,1100000
"18 Birdwood Road, Melville",2020,2,477,765000
"18 Blake Street, North Perth",2018,4,356,865000
"18 Blissett Way, Hamersley",2018,3,729,460000
"18 Bluewater Drive, Alkimos",2019,4,357,390000
"18 Bonnard Crescent, Ashby",2018,4,570,497000
"18 Bonville Glen, Jandakot",2020,4,684,700000
"18 Boona Court, Karawara",2015,3,349,492000
"18 Boxworth Court, Huntingdale",2016,3,683,320000
"18 Bracken Way, Bibra Lake",2016,4,706,500000
"18 Bradbourne Drive, Carine",2019,4,701,880000
"18 Bradbury Way, Samson",2020,4,711,629000
"18 Brady Road, Jarrahdale",2020,3,1012,180000
"18 Bramdean Crescent, Canning Vale",2020,4,601,560000
"18 Bramshott Approach, Butler",2020,4,576,437000
"18 Brantwood Turn, Wellard",2019,3,462,260000
"18 Braxan Street, Glen Forrest",2015,4,1060,527500
"18 Bridgeway Avenue, Ferndale",2015,3,809,468000
"18 Brook Road, Darlington",2020,3,726,640000
"18 Brookes Way, Calista",2011,3,1642,370000
"18 Brooking Street, South Guildford",2017,4,401,515000
"18 Burndale Road, Mount Richon",2012,5,2002,550000
"18 Burnett Road, Manning",2020,4,486,880000
"18 Cabarita Road, Armadale",2019,3,698,137000
"18 Cabra Avenue, Seville Grove",2018,4,662,355000
"18 Caladenia Way, Koongamia",2015,3,655,320000
"18 Calume Street, Hillman",2014,3,687,300000
"18 Campbell Way, Parkerville",2016,4,2101,465000
"18 Campden Loop, Parmelia",2017,5,582,330000
"18 Canara Road, Westminster",2019,3,809,410000
"18 Canopus Loop, Hammond Park",2020,1,452,460000
"18 Carcoo Court, Beckenham",2017,3,680,415000
"18 Cardigan Terrace, Jolimont",2015,4,466,1380000
"18 Carew Place, Greenwood",2017,4,1000,568500
"18 Carlin Way, Butler",2020,4,348,328000
"18 Carrello Circuit, Coogee",2017,4,663,755000
"18 Casino Road, Glen Forrest",2017,3,1995,520000
"18 Centennial Gardens, Hillarys",2018,4,778,810000
"18 Cerulean Road, Karnup",2018,4,450,390000
"18 Cesare Circle, Madeley",2019,4,612,650000
"18 Cezanne Bend, Ashby",2014,4,578,520000
"18 Chartwell Bend, Hocking",2018,4,585,550000
"18 Chelsford Road, Warwick",2017,3,721,545000
"18 Cheriton Drive, Carramar",2019,4,549,360000
"18 Chernoff Loop, Darch",2017,3,201,385000
"18 Cherry Road, Woodlands",2020,3,726,1480000
"18 Chester Road, Claremont",2019,3,508,2228000
"18 Chiara Avenue, Harrisdale",2020,4,682,1110000
"18 Chiswick Street, Wembley Downs",2019,3,545,667000
"18 Chrysostom Street, North Beach",2016,4,535,1200000
"18 Chullwyne Mews, High Wycombe",2018,4,600,330000
"18 City Vista, Kalamunda",2020,3,2001,765000
"18 Cliverton Court, Marmion",2014,4,721,855000
"18 Coci Road, Balcatta",2018,3,305,694000
"18 Cockram Place, Beechboro",2018,3,783,385000
"18 Coldlake Court, Joondalup",2018,3,846,399000
"18 Colin Road, Scarborough",2020,4,392,815000
"18 Collie Close, Rockingham",2019,4,711,415000
"18 Colstoun Road, Ashfield",2013,4,487,475000
"18 Columbia Crescent, Alkimos",2018,4,450,462500
"18 Conti Road, Tapping",2020,4,608,545000
"18 Contour Road, Roleystone",2017,2,2009,575000
"18 Conway Loop, Waikiki",2018,4,680,340000
"18 Cook Street, Crawley",2014,3,683,1000000
"18 Cookham Green, Wellard",2018,2,218,236000
"18 Coorong Street, Yanchep",2019,4,350,270000
"18 Copeland Drive, Redcliffe",2016,4,537,520000
"18 Cricklewood Way, Carine",2017,3,525,1129000
"18 Dacelo Vista, Waterford",2011,4,506,469900
"18 Denia Rise, Bennett Springs",2017,4,544,440000
"18 Derricap Avenue, Ellenbrook",2020,3,495,345000
"18 Derry Avenue, Mount Nasura",2015,4,1096,520000
"18 Devon Road, Swanbourne",2017,4,514,1275000
"18 Driftwood Avenue, Karrinyup",2020,4,458,1300000
"18 Drummonds Approach, Secret Harbour",2019,4,708,1000000
"18 Duncannon Rise, Mindarie",2018,7,876,900000
"18 Duranbah Road, Secret Harbour",2019,4,648,510000
"18 Earlston Place, Booragoon",2017,4,707,850000
"18 Eden Drive, Bullsbrook",2020,3,615,290000
"18 EDGBASTON DRIVE, Madeley",2017,4,586,672500
"18 Ellement Parade, Coogee",2016,3,929,575000
"18 Elmwood Crescent, Lesmurdie",2017,4,1013,560000
"18 Elson Way, Cloverdale",2020,3,450,440000
"18 Epsom Avenue, Ascot",2015,5,764,625000
"18 Escalus Street, Coolbellup",2016,4,842,505000
"18 Essington Street, Huntingdale",2016,3,793,442500
"18 Eudanda Place, Cannington",2016,4,689,585000
"18 Ewart Street, Midvale",2014,3,1052,485000
"18 Eyre Street, Waikiki",2018,4,544,327500
"18 Fairbairn Road, Coogee",2016,4,710,1340000
"18 Farrin Street, Attadale",2017,4,900,1235000
"18 Fenton Way, Hillarys",2019,3,683,500000
"18 Ferry Way, Quinns Rocks",2019,4,541,449000
"18 Fineview Crescent, Carramar",2019,5,609,570000
"18 Finn Cove, Ascot",2015,3,190,940000
"18 Fireball Way, Ocean Reef",2020,4,901,1215000
"18 Firenze Loop, Landsdale",2019,4,607,620000
"18 Fisherton Circuit, Kinross",2018,4,637,440000
"18 Florence Road, Nedlands",2017,5,1012,2350000
"18 Fontenay Court, Port Kennedy",2019,4,677,330000
"18 Forward Street, Baldivis",2020,4,580,378000
"18 Friendly Way, Marangaroo",2017,5,500,455000
"18 Fulbrooke Loop, Canning Vale",2020,3,523,590000
"18 Fullston Way, Beaconsfield",2018,3,223,680000
"18 Galena Way, Ferndale",2015,4,731,570000
"18 Gallagher Street, Eden Hill",2017,3,747,405000
"18 Gardon Rise, Gwelup",2015,4,830,985000
"18 Garnkirk Road, Greenwood",2017,3,683,431000
"18 Gaskin Road, Kenwick",2016,3,716,360000
"18 Gausson Turn, Ashby",2014,4,539,520000
"18 George Street, Kensington",2016,3,801,885700
"18 Gilbreth Bend, Tapping",2019,4,572,514000
"18 Gimbon Green, Leda",2014,3,610,300000
"18 Glanville Street, Mosman Park",2017,3,328,1200000
"18 Gleddon Road, Bull Creek",2020,4,693,900000
"18 Glenview Way, Southern River",2019,4,686,595000
"18 Glick Road, Coolbinia",2019,4,711,1140000
"18 Gloucester Road, Kalamunda",2018,4,1631,685000
"18 Gloves Place, Beechboro",2016,3,832,330000
"18 Glyde Road, Lesmurdie",2020,4,1010,508000
"18 Golden Ash Gardens, Helena Valley",2017,4,662,280000
"18 Goldfinch Avenue, Churchlands",2016,4,800,1370000
"18 Goodrich Way, Darch",2017,6,450,600000
"18 Goongarrie Drive, Waikiki",2019,4,700,320000
