ADDRESS,PRICE
"12 Goodalli Street, Jindalee",505000
"12 Gorman Place, Calista",259000
"12 Grand Paradiso Parade, Merriwa",335000
"12 Grandis Drive, Baldivis",310000
"12 Gratwick Way, Koondoola",385000
"12 Greenlea Crescent, Warnbro",345000
"12 Grenache Chase, Pearsall",485000
"12 Grigo Close, Safety Bay",620000
"12 Guinevere Way, Carine",790500
"12 Hackett Street, Bellevue",399000
"12 Haddington Street, Beldon",450000
"12 Hamelin Street, Two Rocks",415000
"12 Hamilton Terrace, Greenmount",478000
"12 Hamlet Court, Bibra Lake",437500
"12 Hampshire Drive, Jindalee",650000
"12 Hanley Street, Stoneville",490000
"12 Hanlin Way, Samson",427000
"12 Harford Way, Girrawheen",188000
"12 Harold Street, Bellevue",245000
"12 Harrier Way, Beldon",490000
"12 Hartz Way, Wandi",520000
"12 Hastie Close, Brookdale",347000
"12 Hayton Mews, Atwell",535000
"12 Hayward Street, Myaree",590000
"12 Heal Road, Morley",520000
"12 Heathland Terrace, Ellenbrook",350000
"12 Hebe Lane, Woodbridge",900000
"12 Hedges Retreat, Atwell",480000
"12 Henry Street, Shenton Park",1600000
"12 Hestercombe Way, Landsdale",520000
"12 Hewlett Turn, Tapping",490000
"12 Hibbertia Court, Jarrahdale",687000
"12 High Street, South Perth",1200000
"12 Highlander Place, Currambine",450000
"12 Hillsborough Parkway, Ridgewood",422000
"12 Hinkler Loop, Maylands",930000
"12 Hodges Street, Middle Swan",345000
"12 Hollis Street, Samson",400000
"12 Honey Street, Mount Helena",465000
"12 Hooley Road, Midvale",410000
"12 Hopewell Pass, Carramar",690000
"12 HOWDEN Street, Brabham",569000
"12 Howie Street, Woodlands",1500000
"12 HOYPOY Gardens, Darch",460000
"12 Hubert Street, Guildford",485000
"12 Huggins Road, Byford",395000
"12 Hurd Road, Bullsbrook",367500
"12 Hyden Road, Banksia Grove",475000
"12 Hynes Court, Huntingdale",220000
"12 Impson Gardens, South Lake",370000
"12 Incana Street, Banksia Grove",425000
"12 Inlet Grove, Mullaloo",887000
"12 Inverleith Turn, Kinross",430000
"12 Ireland Court, Koondoola",405000
"12 Iris Place, Yangebup",423000
"12 Jacaranda Avenue, Mount Claremont",1301000
"12 Jade Street, Mount Richon",435000
"12 Jane Brook Drive, Jane Brook",480000
"12 Janet Street, West Perth",980000
"12 Janeville Place, South Guildford",665000
"12 Japonica Heights, Mirrabooka",442500
"12 Jason Street, Melville",890000
"12 Jasper Court, Bibra Lake",780000
"12 Javon Loop, Alexander Heights",440000
"12 Jeanhulley Road, High Wycombe",485000
"12 Jedburgh Loop, Sinagra",490000
"12 Jeffery Street, Beaconsfield",685000
"12 Jennifer Way, Rossmoyne",1550000
"12 Jindalee Court, Ballajura",440000
"12 Jindare Loop, Carramar",560000
"12 Jitti Court, South Guildford",355000
"12 Johnston Street, Peppermint Grove",1980000
"12 Jubata Court, Maida Vale",570000
"12 Juniper Place, Ballajura",277000
"12 Kadina Road, Gooseberry Hill",690000
"12 Kanowna Avenue, Ascot",950000
"12 Karalla Elbow, Quinns Rocks",620000
"12 Karreen Way, South Guildford",445000
"12 Kathleen Close, Maida Vale",525000
"12 Kattamorda Pass, Sinagra",430000
"12 Kearsley Rise, Murdoch",894000
"12 Keats Place, Spearwood",460000
"12 Kelly Place, Willetton",765000
"12 Kemmish Avenue, Parmelia",167000
"12 Kemp Road, Mount Pleasant",1800000
"12 Kentchurch Bend, The Vines",765000
"12 Kerrison Parade, Seville Grove",400000
"12 Keys Court, Leeming",770000
"12 Kielman Road, Willetton",1150000
"12 Kilmurray Way, Balga",301000
"12 Kilrush Turn, Ridgewood",390000
"12 Kilver Mews, Kiara",370000
"12 Kingsbridge Road, Warnbro",305000
"12 Kingston Heath Mews, Jandakot",815000
"12 Koorda Street, Coolbinia",2150000
"12 Korella Street, Mullaloo",790000
"12 Kullaroo Court, Hillman",290000
"12 Kurrajong Way, Camillo",335000
"12 Kwel Court, Karawara",880000
"12 Lacebark Road, Churchlands",1450000
"12 Lacrosse Vista, Secret Harbour",356000
"12 Lagonda Place, Marangaroo",435000
"12 Lakerise Mews, Edgewater",660000
"12 Lambasa Way, Mindarie",480000
"12 Larmer Place, Bull Creek",1250000
"12 Laura Rise, Marangaroo",480000
"12 Lauri Court, Parkwood",389000
"12 Leatherwood Rise, South Lake",455000
"12 Letchford Street, Samson",607500
"12 Letsom Way, Langford",370000
"12 Levant Place, Kingsley",660000
"12 Lightfoot Place, Cooloongup",258000
"12 Lilac Hill Vista, Madeley",635000
"12 Lime Street, North Fremantle",985000
"12 Limerick Crescent, Darch",750000
"12 Link Way, Cooloongup",330000
"12 Linkwater Street, Shelley",1110000
"12 Linthorn Crescent, Greenmount",750000
"12 Linton Road, Attadale",1100000
"12 Linville Avenue, Cooloongup",259000
"12 Litchfield Circle, Wandi",445000
"12 Little Rush Close, South Lake",475000
"12 Locarno Close, Stirling",835000
"12 Loder Way, South Guildford",450000
"12 Logpine Crescent, Camillo",275000
"12 Loire Elbow, Caversham",413000
"12 Lombardy Street, Woodlands",920000
"12 Longwood Bend, Aubin Grove",700000
"12 Lookout Vista, Singleton",425500
"12 Lowan Loop, Karawara",550000
"12 Lucraft Gardens, Winthrop",890000
"12 Lutey Avenue, Daglish",1075000
"12 Lynn Street, Trigg",2360000
"12 Madden Way, Parmelia",220000
"12 Madeira Place, Safety Bay",430000
"12 Mader Road, Mundijong",360000
"12 Magnesia Road, Wattle Grove",530000
"12 Magnolia Mews, Edgewater",589000
"12 Magpie Place, Brookdale",369000
"12 Malachite Avenue, Southern River",780000
"12 Malibu Entrance, Iluka",880000
"12 Manberry Way, Yangebup",405000
"12 Mandon Street, Forrestfield",531000
"12 Manila Place, Warnbro",240000
"12 Manjimup Place, Gwelup",845000
"12 Manning Rise, Woodvale",547500
"12 Mapleton Street, Stirling",870000
"12 Maquire Way, Bull Creek",1035000
"12 Marchamley Street, Carlisle",810000
"12 Mardella Street, Coolbinia",2225000
"12 Mardja Loop, Mardella",590000
"12 Margaret Terrace, Walliston",115000
"12 Marloo Street, Wattle Grove",440000
"12 Marraboor Place, Success",650000
"12 Marsengo Road, Bateman",880000
"12 Martindale Avenue, Madeley",725000
"12 Matisse Street, Ashby",490000
"12 Matsen Close, Booragoon",840000
"12 Maverick Promenade, Shoalwater",420000
"12 Mayberry Court, North Lake",855000
"12 Mayfair Street, Mount Claremont",1780000
"12 McCallum Avenue, Daglish",960000
"12 Mccallum Crescent, Ardross",1240000
"12 McCleery Street, Beaconsfield",790000
"12 McIntosh Street, Hammond Park",542500
"12 Mckenzie Road, Samson",491000
"12 McKenzie Way, Embleton",525000
"12 McKim Street, Canning Vale",725000
"12 Mclaren Street, South Fremantle",1675000
"12 McNeil Grove, Jarrahdale",410000
"12 Melliodora Circle, Mirrabooka",440000
"12 Meloway Drive, Maida Vale",526500
"12 Meneguz Drive, Tapping",490000
"12 Mercury Street, Carlisle",430000
"12 Merilee Terrace, Kelmscott",340000
"12 Merlin Way, Wattle Grove",464000
"12 Mettam Street, Trigg",1060000
"12 Meyrick Court, Currambine",574000
"12 Middlegate Mews, Quinns Rocks",362200
"12 Millen Street, Mount Nasura",419800
"12 Mills Road, Martin",355000
"12 Minter Way, Aubin Grove",511000
"12 Mirador Road, Morley",630000
"12 Mirreen Court, Karawara",418000
"12 Mission Place, Quinns Rocks",450000
"12 Mitchell Place, Two Rocks",376000
"12 Moira Mews, Stratton",320000
"12 Monaco Avenue, North Lake",650000
"12 Monet Drive, Ashby",510000
"12 Monkton Way, Warnbro",265000
"12 Montoro Drive, Port Kennedy",292500
"12 Moonah Way, Hammond Park",600000
"12 Moorland Street, Scarborough",880000
"12 Moreto Turn, Caversham",502500
"12 Morgan Road, Seville Grove",375000
"12 Morialta Avenue, Quinns Rocks",370000
"12 Mortlock Close, Jane Brook",575000
"12 Moville Pass, Ridgewood",300000
"12 Muja Lane, Woodbridge",1075000
"12 Mulberry Lane, Mirrabooka",455000
"12 Murrumbidgee Drive, Hammond Park",530000
"12 Muston Grove, Churchlands",1348000
"12 Muswell Street, Balga",250000
"12 Nambi Parkway, Banksia Grove",350500
"12 Narcissus Avenue, Parkwood",452000
"12 Nenagh Close, Orelia",342000
"12 Newbridge Green, Butler",461000
"12 Newport Way, Lynwood",420000
"12 Nicholson Loop, Bateman",975000
"12 Nicholson Road, Beckenham",512500
"12 Northecut Rise, Parmelia",350000
"12 Norwood Loop, Tapping",450000
"12 Nowranie Place, Hillman",320000
"12 Nunton Place, Port Kennedy",242000
"12 Oberon Close, Dianella",560000
"12 Oblate Retreat, Queens Park",510000
"12 Olive Street, Guildford",615000
"12 Oliveri Street, Sinagra",470000
"12 Orixa Crescent, Stirling",890000
"12 Oslo Street, Hocking",560000
"12 Overbeck Street, Ashby",505000
"12 Padua Road, Piara Waters",439000
"12 Paganoni View, Beeliar",455000
"12 Painter Crescent, Mundaring",565000
"12 Palamuna Court, Hillman",305000
"12 Palin Court, Langford",430000
"12 Pallarup Grove, Waikiki",220000
"12 Pardillo Way, Caversham",450000
"12 Parkhurst Rise, Padbury",786000
"12 Parkland Close, Edgewater",655000
"12 Parkland Road, Stoneville",560000
"12 Parkway Road, Bibra Lake",679000
"12 Paulett Way, Belmont",378500
"12 Pecan Court, South Lake",450000
"12 Peirse Way, Marmion",690000
"12 Pelham Lane, Henley Brook",355000
"12 Pendula Gardens, Mirrabooka",395000
"12 Penguin Close, Heathridge",329000
"12 Penn Street, Maddington",285000
"12 Pennine Way, Wellard",408000
"12 Percheron Entrance, Stratton",220000
"12 Perissa Road, Iluka",1090000
"12 Perrona Gardens, Mullaloo",585000
"12 Peter Way, Rossmoyne",1630000
"12 Petterson Avenue, Samson",450000
"12 Piedmont Way, Brabham",335000
"12 Pinker Crescent, Maida Vale",555000
"12 Piper Street, Quinns Rocks",565000
"12 Plume Gardens, Bennett Springs",452000
"12 PLUMOSA Crescent, Dayton",355000
"12 Podger Way, Brookdale",260400
"12 Popolo Place, Pearsall",465000
"12 Portsea Gardens, Jandakot",910000
"12 Poseidon Road, Heathridge",550000
"12 Preston Point Road, East Fremantle",980000
"12 Primula Place, Mount Claremont",1120000
"12 Princeville Tor, Connolly",800000
"12 Prospect Grove, Heathridge",420000
"12 Prosser Way, Myaree",731000
"12 Prunella Crescent, Canning Vale",640000
"12 Quindalup Court, Hillman",312500
"12 Quoll Mews, Alkimos",500000
"12 Quondong Close, Kenwick",400000
"12 Raeburn Crescent, Landsdale",545000
"12 Raintree Rise, Marangaroo",377000
"12 Rand Avenue, Waikiki",445000
"12 Randstone Parade, Butler",262000
"12 Raven Way, Harrisdale",500000
"12 Redgate Court, Kiara",590000
"12 Redgum Avenue, Bellevue",378000
"12 Redlands Street, Bayswater",465000
"12 Regatta Boulevard, Champion Lakes",460000
"12 Reginald Street, Queens Park",505000
"12 Rhapsody Close, Shoalwater",445000
"12 Rhoda Mews, Stratton",240000
"12 Ridge Road, Cockburn Central",535000
"12 Ridgewood Way, Ferndale",455000
"12 Ringrose Heights, Landsdale",560000
"12 RITAN Lane, Brabham",345000
"12 Robinia Rise, Helena Valley",722500
"12 Robinson Terrace, Daglish",740000
"12 Rochele Court, Woodvale",723000
"12 Rocky Road, Wandi",505000
"12 Rogerson Road, Mount Pleasant",930000
"12 Rometta Way, Sinagra",515000
"12 Roper Boulevard, Hammond Park",470000
"12 Rosebery Street, Jolimont",785000
"12 Rossmoyne Drive, Rossmoyne",835000
"12 Rowan Place, Woodlands",1550000
"12 Rubens Bend, Ashby",570000
"12 Rungine Way, Pearsall",523000
"12 Sabina Street, Menora",820000
"12 Sailboat Link, Jindalee",570000
"12 Saintly Turn, Byford",320000
"12 Salter Point Parade, Salter Point",1750000
"12 Sapphire Court, Mount Richon",617000
"12 Seascape Road, Jindalee",670000
"12 Seaton Court, South Guildford",630000
"12 Sedge Way, Helena Valley",290000
"12 Serotina Lane, Aubin Grove",485000
"12 Shaw Place, Mount Nasura",405000
"12 Sheppard Way, Marmion",816000
"12 Shirley Road, Walliston",639000
"12 Short Street, Kenwick",355000
"12 Sierra Key, Mindarie",680000
"12 Silver Place, Carine",770000
"12 Silvereye Close, East Cannington",525000
"12 Silverhill Loop, Seville Grove",275000
"12 Sion Close, Waterford",1500000
"12 Snook Crescent, Hilton",550000
"12 Snook Place, Seville Grove",382500
"12 Snowberry Retreat, Mirrabooka",452000
"12 Sophia Grove, Roleystone",730000
"12 Sorrento Turn, Secret Harbour",362000
"12 Sovereign Place, Forrestfield",386000
"12 Sowden Drive, Samson",495000
"12 Spence Street, Trigg",1620000
"12 Spring Hill, Tapping",565000
"12 Springfield Court, Kallaroo",460000
"12 Spurwing Way, South Guildford",645000
"12 St Andrews Loop, Cooloongup",223000
"12 St Barnabas Boulevard, Quinns Rocks",414000
"12 St Johns Wood Boulevard, Mount Claremont",1200000
"12 St Patricks Road, Sorrento",900000
"12 St Thomas Loop, Iluka",930000
"12 Stack Lane, Applecross",900000
"12 Staff Street, Jarrahdale",390000
"12 Station Street, Guildford",615000
"12 Stavros Way, Iluka",815000
"12 Stellfox Close, Murdoch",800000
"12 Stinton Street, Byford",430000
"12 Stokes Street, White Gum Valley",720000
"12 Stone Court, Kardinya",645000
"12 Strauss Boulevard, Tapping",573000
"12 Sunderland Way, Waikiki",404000
"12 Suttor Street, Brabham",440000
"12 Swift Turn, Parkerville",726000
"12 Swinford Approach, Butler",615000
"12 Tamma Court, Heathridge",483000
"12 Tappan Way, Secret Harbour",500000
"12 Tapping Way, Quinns Rocks",450000
"12 Tarrant Way, Bateman",647000
"12 Tarup Place, Hillman",260000
"12 Tassell Street, Embleton",681000
"12 Tattershall Road, Darch",598000
"12 The Circus, Burswood",1225000
"12 The Embankment, South Guildford",772000
"12 The Lakes Boulevard, Jandakot",612000
"12 The Return, Woodvale",595000
"12 Thornbill Way, Churchlands",1275000
"12 Tibicen Road, Tapping",430000
"12 Tindal Avenue, Yangebup",490000
"12 Tintern Road, Ashby",510000
"12 Tipuana Mews, Ellenbrook",530000
"12 Tobin Street, Mount Helena",520000
"12 Tonbridge Way, Thornlie",322000
"12 Torquata Drive, Mirrabooka",470000
"12 Torridon Loop, Wanneroo",620000
"12 Tortorici Avenue, Sinagra",450000
"12 Tracy Turn, Woodvale",580000
"12 Tresidder Road, Lockridge",370000
"12 Tristram Lane, Wattle Grove",513000
"12 Turnbull Way, Trigg",750000
"12 Turner Court, Mount Helena",670000
"12 Tuscany Place, Caversham",430000
"12 Tyndale Turn, Wellard",353000
"12 Tyringa Crescent, Burns Beach",645000
"12 Ufton Street, Gwelup",1100000
"12 Unity Way, Atwell",540000
"12 Uringa Way, Wanneroo",450000
"12 Verbania Loop, Beeliar",567000
"12 Vernon Street, Trigg",680000
"12 Verve Court, Marmion",790000
"12 Vetter Road, Clarkson",536000
"12 View Terrace, Quinns Rocks",635000
"12 Vinciullo Way, Sinagra",550000
"12 Voltaire Crescent, Ridgewood",430000
"12 Wahroonga Road, Mount Nasura",472500
"12 Waldorf Street, Carine",930000
"12 Wandarra Close, Karawara",735000
"12 Wapengo Close, South Lake",300000
"12 Waratah Drive, Camillo",358000
"12 Wareana Street, Menora",920000
"12 Waterford Avenue, Waterford",935000
"12 Waterlily Drive, Stratton",385000
"12 Waterview Way, Singleton",462500
"12 Wattle Court, Mahogany Creek",585000
"12 Waverley Street, Shenton Park",1750000
"12 Wedgetail Court, Brookdale",340000
"12 Weld Street, Rockingham",585000
"12 Wellard Street, Serpentine",420000
"12 Wescap Rise, Merriwa",332500
"12 Westbury Lane, Madeley",595000
"12 Weybridge Drive, Wellard",333000
"12 Wheelock Road, Medina",270000
"12 Wheyland Street, Willagee",585000
"12 Whitchurch Road, Redcliffe",445000
"12 Whitewater Lookout, Iluka",1125000
"12 Wickens Street, Beckenham",360000
"12 Willow Road, Woodlands",1375000
"12 Wilsmore Grove, Kardinya",660000
"12 Wilsmore Street, Daglish",1340000
"12 Windward Close, Safety Bay",472000
"12 Wishart Street, Gwelup",537000
"12 Woodsome Street, Mount Lawley",2210000
"12 Woolgar Way, Lockridge",360000
"12 Wooloomooloo Road, Greenmount",550000
"12 Woonan Place, Karawara",660000
"12 Wyatt Road, Hocking",527500
"12 Yallambee Crescent, Wanneroo",385000
"12 Yarnall Place, Ferndale",494000
"12 Yindana Entrance, Canning Vale",610000
"12 Yomba Street, Kewdale",500000
"12 York Avenue, Bentley",390000
"12 Ypres Road, Camillo",165000
"12 Zedora Loop, Port Kennedy",380000
"12/10 Delamere Way, Camillo",295000
"12/10 East Street, Maylands",215000
"12/10 Perina Way, City Beach",665000
"12/16 Coneflower Corner, Churchlands",920000
"12/19 Serls Street, Armadale",188000
"12/19 Woodley Way, Parmelia",205000
"12/2 Corander Gardens, Carine",400000
"12/21 Cronin Place, Armadale",249000
"12/27 Adair Parade, Coolbinia",300000
"12/32 Fielder Street, East Perth",455000
"12/40 MELL ROAD, Spearwood",323500
"12/446 Canning Highway, Attadale",360000
"12/53 Holman Street, Alfred Cove",500000
"12/8 Benson Court, Mount Nasura",390000
"120 Aitken Drive, Winthrop",760000
"120 Arkwell Street, Willagee",600000
"120 Baltimore Parade, Merriwa",302000
"120 Caridean Street, Heathridge",665000
"120 Cockman Cross, Stratton",315000
"120 Drabble Road, City Beach",1275000
"120 Glen Iris Drive, Jandakot",900000
"120 Herbert Road, Shenton Park",870000
"120 Hill View Terrace, St James",656000
"120 Hinchinbrook Avenue, Ridgewood",312000
"120 Jersey Street, Jolimont",1180000
"120 Kardan Boulevard, Byford",345000
"120 Lakeside Drive, Helena Valley",795000
"120 Manchester Drive, Hocking",575000
"120 Mcgilvray Avenue, Noranda",575000
"120 Osmaston Road, Carine",688000
"120 Princess Road, Mount Helena",415000
"120 Samuel Street, Mount Helena",575000
"120 Shiraz Boulevard, Pearsall",362500
"120 South Western Highway, Mount Richon",352000
"120 West Coast Drive, Sorrento",1605000
"120 Wilding Street, Doubleview",1125000
"120 Woodbridge Drive, Cooloongup",500000
"1200 Coulston Road, Boya",475000
"120A Alice Street, Doubleview",675000
"120A Garling Street, Willagee",550000
"120B Drake Street, Embleton",600000
"121 Lydon Boulevard, Atwell",435000
"121 Mickleham Road, Morley",462000
"121 Ridgewood Boulevard, Ridgewood",470000
"121 Rosalie Street, Shenton Park",2180000
"121 Seville Drive, Seville Grove",378000
"121 Shakespeare Street, Mount Hawthorn",1020000
"121 Thomas Street, East Cannington",340000
"121 Vincent Road, Sinagra",519000
"121 Waldburg Drive, Tapping",540000
"121A Moreing Road, Attadale",800000
"121A Odin Road, Innaloo",419000
"121a Reynolds Road, Mount Pleasant",1050000
"121A Westminster Street, East Victoria Park",650000
"122 Armadale Road, Rivervale",820000
"122 Ashley Road, Tapping",625000
"122 Baden Street, Joondanna",821000
"122 Bennett Springs Drive, Bennett Springs",330000
"122 Bridgeman Drive, Bennett Springs",640000
"122 Caledonian Avenue, Maylands",657500
"122 Caridean Street, Heathridge",185000
"122 Carosa Road, Ashby",525000
"122 Coogee Street, Mount Hawthorn",1151000
"122 Eglinton Crescent, Hamersley",547000
"122 Elliot Road, Hocking",539000
"122 Gradient Way, Beldon",420000
"122 Herbert Road, Shenton Park",1325000
"122 Highclere Boulevard, Marangaroo",520000
"122 Hinchinbrook Avenue, Ridgewood",335000
"122 Honeywood Avenue, Wandi",450000
"122 Joseph Banks Boulevard, Banksia Grove",315000
"122 Kitchener Road, Alfred Cove",475000
"122 Mullaloo Drive, Kallaroo",595000
"122 Naturaliste Boulevard, Iluka",650000
"122 Palmerston Street, Mosman Park",1250000
"122 Railway Parade, Queens Park",360000
"122 Rosalie Street, Shenton Park",1300000
"122 Roxburghe Drive, The Vines",749000
"122 Swan Road, Middle Swan",350000
"122 Waratah Avenue, Dalkeith",2030000
"122 Warnbro Beach Road, Waikiki",1200000
"122 Westgrove Drive, Ellenbrook",273000
"122 Willmott Drive, Cooloongup",230000
"122B Waddington Crescent, Koondoola",330000
"123 Bridgeman Drive, Bennett Springs",1045000
"123 Dampier Avenue, Mullaloo",840000
"123 Drabble Road, City Beach",1150000
"123 Dundas Road, Inglewood",875000
"123 East Road, Hocking",499000
"123 Fairway, Crawley",818000
"123 Forrest Road, Hamilton Hill",390000
"123 Girraween Street, Armadale",150000
"123 Goollelal Drive, Kingsley",483000
"123 Grand Promenade, Bedford",825000
"123 Harborne Street, Wembley",1050000
"123 Holland Street, Fremantle",870000
"123 Honeywood Avenue, Wandi",459000
"123 Keane Road, Harrisdale",340000
"123 Kimberley Street, West Leederville",1260000
"123 Lindsay Beach Boulevard, Yanchep",540000
"123 MILINA STREET, Hillman",300000
"123 Naturaliste Boulevard, Iluka",710000
"123 PARKWAY ROAD, Bibra Lake",443500
"123 Salisbury Road, Swan View",350000
"123 Sovereign Drive, Two Rocks",635000
"123 Stubbs Terrace, Daglish",1050000
"123 Waterhall Road, South Guildford",479000
"123 Woodrow Avenue, Dianella",517000
"124 Aitken Drive, Winthrop",875000
"124 Amherst Road, Canning Vale",575000
"124 Armadale Road, Rivervale",547000
"124 Attfield Street, South Fremantle",1260000
"124 Beasley Road, Leeming",650000
"124 Braemore Street, Armadale",165000
"124 Central Avenue, Redcliffe",620000
"124 Charles Riley Road, Trigg",850000
"124 Collier Road, Embleton",502500
"124 Coogee Street, Mount Hawthorn",872500
"124 Crawford Road, Maylands",895000
"124 Foreshore Drive, Singleton",730000
"124 Golf Links Drive, Carramar",745000
"124 Jersey Street, Jolimont",1200000
"124 Kemp Street, Pearsall",515000
"124 Marangaroo Drive, Girrawheen",350000
"124 River Way, Salter Point",1955000
"124 Rostrata Avenue, Willetton",630000
"124 Samson Street, White Gum Valley",1070000
"124 St Stephens Crescent, Tapping",510000
"124 Westgrove Drive, Ellenbrook",325000
"125 Aldersea Circle, Clarkson",322500
"125 Buxton Street, Mount Hawthorn",1440000
"125 Currie Street, Warnbro",272000
"125 Darley Circle, Bull Creek",595000
"125 Dawson Avenue, Forrestfield",361000
"125 Derby Road, Shenton Park",1275000
"125 Flamborough Street, Doubleview",592000
"125 Gibbs Street, East Cannington",578000
"125 Glen Road, Darlington",560000
"125 Herbert Street, Chidlow",388000
"125 Hillcrest Road, Alexander Heights",430000
"125 Innamincka Road, Greenmount",551000
"125 Kinross Drive, Kinross",485000
"125 Koondoola Avenue, Koondoola",405000
"125 London Street, Mount Hawthorn",865000
"125 Malibu Road, Safety Bay",299000
"125 North Street, Swanbourne",1517000
"125 Partridge Street, Brabham",189000
"125 Pavilion Circle, The Vines",510000
"125 Robinson Road, Mahogany Creek",545000
"125 Salisbury Road, Swan View",375000
"125 Stock Road, Attadale",675000
"125 Tapping Way, Quinns Rocks",395000
"125 Waddington Crescent, Koondoola",360000
"125 Wright Road, Mardella",85420
"1250 Cook Street, Mount Helena",540000
"125A Shakespeare Street, Mount Hawthorn",1185000
"125A Stock Road, Attadale",800000
"125B Ravenscar Street, Doubleview",605000
"125b St Leonards Avenue, West Leederville",1585000
"125B Tower Street, West Leederville",649000
"125b Wilding Street, Doubleview",720000
"126 Arnott Street, Trigg",1150000
"126 Baden Street, Joondanna",675000
"126 Blackall Drive, Greenwood",563000
"126 Bushmead Road, Hazelmere",470000
"126 Carosa Road, Ashby",450000
"126 Clifton Street, Chidlow",500000
"126 Clyde Avenue, Baldivis",440000
"126 East Road, Pearsall",570000
"126 Gilmore Avenue, Medina",289000
"126 Glen Iris Drive, Jandakot",725000
"126 Jersey Street, Jolimont",1275000
"126 Joseph Banks Boulevard, Banksia Grove",290000
"126 Princess Road, Nedlands",1200000
"126 Ridgewood Boulevard, Ridgewood",390000
"126 Stock Road, Attadale",640000
"126A Edinboro Street, Joondanna",550000
"126a Fifth Avenue, Mount Lawley",859000
"126b Miles Street, Karrinyup",1050000
"127 Aurora Drive, Atwell",635000
"127 Balga Avenue, Balga",140000
"127 Bennett Springs Drive, Bennett Springs",539000
"127 Bradford Street, Coolbinia",1400000
"127 Brandon Street, Kensington",910000
"127 Carr Street, West Perth",678000
"127 Fourth Avenue, Mount Lawley",942500
"127 Grovedale Road, Floreat",2325000
"127 Hamelin Drive, Ballajura",280000
"127 Hampton Road, South Fremantle",790000
"127 Innamincka Road, Greenmount",430000
"127 Lawrence Street, Bedford",640000
"127 Liberty Drive, Clarkson",385000
"127 Matheson Road, Ascot",700000
"127 Raleigh Street, Carlisle",775000
"127 Rothesay Heights, Mindarie",640000
"127 Samson Street, White Gum Valley",725000
"127 Shiraz Boulevard, Pearsall",490000
"127 St Andrews Drive, Yanchep",335000
"127 Stubbs Terrace, Daglish",1180000
"1270 Coulston Road, Boya",397500
"127A Cobb Street, Wembley Downs",729000
"127B Gradient Way, Beldon",328000
"128 Dampier Avenue, Mullaloo",525000
"128 Duffy Road, Carine",625000
"128 East Road, Pearsall",435000
"128 Grand Ocean Boulevard, Port Kennedy",340000
"128 Hill View Terrace, St James",400000
"128 Lansdowne Road, Kensington",875000
"128 Lawrence Street, Bedford",480000
"128 Marmion Street, East Fremantle",870000
"128 Matheson Road, Ascot",450000
"128 Mirrabooka Avenue, Koondoola",405000
"128 Mullaloo Drive, Kallaroo",565000
"128 Samson Street, White Gum Valley",1050000
"128 Scott Street, Boya",115000
"128 Shakespeare Street, Mount Hawthorn",960000
"128 Willespie Drive, Pearsall",410000
"128 Yangebup Road, Yangebup",500000
"128a Marmion Street, East Fremantle",870000
"128A Ninth Avenue, Inglewood",850000
"128A Rosebery Street, Bedford",825000
"129 Angelo Street, South Perth",1295000
"129 Ardross Street, Ardross",1220000
"129 Bindoon Loop, Huntingdale",410000
"129 Bottlebrush Drive, Kiara",385000
"129 Cammillo Road, Camillo",350000
"129 Cape Street, Tuart Hill",865000
"129 COLIN Road, Wembley Downs",1256000
"129 Craigie Drive, Beldon",461000
"129 Dampier Avenue, Mullaloo",580000
"129 Haddrill Road, Baskerville",515000
"129 High Street, Sorrento",795000
"129 Keane Road, Harrisdale",369000
"129 Lagoon Drive, Yanchep",579000
"129 Lawler Street, Subiaco",1070000
"129 Marine Terrace, Marmion",960000
"129 Matheson Road, Ascot",470000
"129 Vickers Street, Hamersley",500000
"129 Wright Road, Harrisdale",705000
"129A Wilding Street, Doubleview",799000
"12A Angelico Street, Woodlands",1320000
"12A Arthur Street, Inglewood",878000
"12A Barney Street, Mount Hawthorn",835000
"12A Barr Street, Dianella",645000
"12A Bettles Street, Marmion",780000
"12a Cadd Street, Beaconsfield",775000
"12A Cuvier Place, Yangebup",340000
"12A Dania Way, Butler",285000
"12A Elvire Street, Watermans Bay",1280000
"12A Garnett Place, Balga",290000
"12A Glenside Crescent, Craigie",400000
"12A Gnobar Way, Mullaloo",715000
"12A Henning Crescent, Manning",1050000
"12A Hermes Street, Riverton",630000
"12A Hooson Way, Wilson",480000
"12A Hubert Street, East Victoria Park",600000
"12A Jennifer Way, Rossmoyne",1550000
"12A Klondike Approach, Butler",249000
"12A Manning Road, Cannington",365000
"12a Mary Street, Watermans Bay",1350000
"12A Mccallum Crescent, Ardross",1250000
"12A Mcculum Street, Stirling",390000
"12A Mcgregor Street, Embleton",550000
"12A Northgate Street, Karrinyup",555000
"12A Northumberland Road, Forrestfield",411000
"12A Palm Road, Roleystone",440000
"12A Parsons Street, Embleton",510000
"12A Powis Court, Langford",390000
"12A Priestley Street, Embleton",570000
"12A Senate Street, Claremont",1570000
"12A Thomas Court, Kingsley",515000
"12A Whitfeld Street, Floreat",890000
"12A Wongan Avenue, White Gum Valley",580000
"12A Worthing Street, Westminster",360000
"12a Yeaman Court, Koondoola",383000
"12a Zamia Street, Mount Claremont",1180000
"12b Bombard Street, Ardross",1230000
"12b Burrowa Street, Armadale",143000
"12B Cuvier Place, Yangebup",301000
"12b Laser Place, Ocean Reef",785000
"12B Majestic Place, Connolly",465000
